ID,FI,BIX,HIX,β:α,Ⅰ-Area,Ⅰ-Ф,Ⅱ-Area,Ⅱ-Ф,Ⅲ-Area,Ⅲ-Ф,Ⅳ-Area,Ⅳ-Ф,Ⅴ-Area,Ⅴ-Ф,Ⅰ-P,Ⅱ-P,Ⅲ-P,Ⅳ-P,Ⅴ-P
W-P9,1.8890160183066362,1.0221902654867256,2.5084074500366222,0.9173450343485684,25088.023,677376.621,49847.71,1345888.17,105828.788,840405.0811764706,15500.24,104626.62,394166.86899999995,604687.8103977272,0.1895828706865508,0.3766846020091214,0.2352109637232358,0.02928269791854964,0.16923886566254234
W-H1,1.8949173468687834,0.8385058342173057,7.8348559455212134,0.794477866957658,23918.683,645804.441,31813.309999999998,858959.3699999999,141333.468,1122354.0105882352,10089.899999999998,68106.82499999998,537181.929,824085.9138068182,0.18350311230490168,0.24407035277488526,0.31891303462069215,0.01935232024318842,0.23416118005633238
W-H10,1.7815504012699535,0.8083066410420668,2.704123849822016,0.7649234126823748,17967.643000000004,485126.3610000001,38240.509999999995,1032493.7699999999,100290.70800000001,796426.2105882354,11088.0,74844.0,379521.819,582220.9723295455,0.16328111260170203,0.3475109684256589,0.26805667187812227,0.025190574196733425,0.19596067289778332
W-H11,1.930992833561479,0.7361204638982416,3.224186075632356,0.7014044843688733,15731.683,424755.44100000005,31321.510000000002,845680.77,106867.238,848651.5958823529,16811.440000000002,113477.22000000002,424500.279,651222.0189204545,0.14729084854521696,0.29325354354124084,0.29428372567160194,0.039350069265745476,0.22582181297619464
W-H12,1.8397269180754225,1.018604206500956,3.35846204620462,0.9025344763324638,24988.423000000003,674687.4210000001,42564.51000000001,1149241.7700000003,114620.408,910220.8870588235,17551.899999999998,118475.32499999998,453351.56899999996,695482.520625,0.19015414285919063,0.32390270947756283,0.2565369787607211,0.0333911277639472,0.19601504113857818
W-H2,1.7473151590251965,0.7387050702213758,3.398836037026853,0.7142890024398103,22231.473,600249.7710000001,32633.210000000006,881096.6700000002,90845.268,721418.3047058823,11727.0,79157.25,333093.889,510996.30698863644,0.21491848523492366,0.31547527514497864,0.25830268791245375,0.028342128705888602,0.18296142300175533
W-H3,1.7582240625718888,0.9419280795715378,2.8826887387721776,0.8936988820597203,18235.773,492365.87100000004,44537.81,1202520.8699999999,93643.27799999999,743637.7958823529,13703.07,92495.7225,325071.579,498689.35414772737,0.16251256186440838,0.3969096129311472,0.2454485382234041,0.030529566954843625,0.16459972002619652
W-H4,1.8039541092430913,0.788049805950841,2.751019117575522,0.7543107451320312,28139.783,759774.141,50271.009999999995,1357317.2699999998,134561.628,1068577.634117647,16277.74,109874.745,494766.439,759016.6961931819,0.187387546335831,0.3347631080070526,0.26354956048267675,0.027099051887612368,0.1872007332868272
W-H5,1.953892461349022,0.9466391184573003,2.3713839115516584,0.8935666736009985,17900.653000000002,483317.63100000005,39292.310000000005,1060892.37,93580.118,743136.2311764706,13126.02,88600.63500000001,293895.31899999996,450862.1371022727,0.17097640140116857,0.3752967987558415,0.2628887307390196,0.031342985983804146,0.1594950831201663
W-H6,1.8200529507216674,0.8948965783877825,2.2015902066048474,0.8255256165629402,28805.923000000003,777759.9210000001,46713.810000000005,1261272.87,118699.098,942610.484117647,23574.000000000004,159124.50000000003,438244.87899999996,672307.4848295454,0.2039718253582992,0.33077576077464244,0.2472047939936809,0.041731277027614644,0.1763163428457628
