Gene,10^,CT
nirK,5,22.61569595
nirK,4,25.21044922
nirK,4,25.67292023
nirK,4,26.6078167
nirK,3,27.7769146
nirK,3,28.40563774
nirK,3,28.07139587
nirK,2,31.14079094
nirK,2,32.26130295
nirK,2,28.19806862
nirS,9,12.120684
nirS,9,12.25035602
nirS,9,12.25327402
nirS,8,18.92929595
nirS,8,19.11026796
nirS,8,18.88282594
nirS,7,22.1588676
nirS,7,22.05998431
nirS,7,22.23901157
nirS,6,24.24891395
nirS,6,25.05153262
nirS,6,24.98634373
nirS,5,29.71616058
nirS,5,29.39062628
nirS,5,29.77126059
nirS,4,32.35962225
nirS,4,32.32953522
nirS,4,32.28217019
nirS,3,35.71596412
nirS,3,35.12877736
nirS,3,35.36627298
nirS,2,39.36792169
nirS,2,38.36013418
nirS,2,39.3082234
nosZ,9,14.09743558
nosZ,9,14.23199564
nosZ,9,14.23502364
nosZ,8,18.62701221
nosZ,8,18.81480605
nosZ,8,18.5787905
nosZ,7,20.9564607
nosZ,7,21.85384996
nosZ,7,22.03962573
nosZ,6,25.23837865
nosZ,6,26.07125239
nosZ,6,26.00360617
nosZ,5,29.79862925
nosZ,5,29.46082379
nosZ,5,29.85580628
nosZ,4,32.54173741
nosZ,4,32.51051624
nosZ,4,32.46136575
nosZ,3,34.0245981
nosZ,3,34.41527707
nosZ,3,34.6617252
nosZ,2,36.38234389
nosZ,2,36.33656737
nosZ,2,36.32039524
cnorB,9,7.99124562
cnorB,9,8.12612243
cnorB,9,8.23869174
cnorB,8,11.6538979
cnorB,8,11.81324459
cnorB,8,11.61298085
cnorB,7,14.63047981
cnorB,7,14.54341262
cnorB,7,14.70104694
cnorB,6,17.11228893
cnorB,6,17.81899834
cnorB,6,17.76159922
cnorB,5,21.28471088
cnorB,5,20.99807644
cnorB,5,21.33322669
cnorB,4,24.61229099
cnorB,4,24.58579922
cnorB,4,24.54409409
cnorB,3,27.56756537
cnorB,3,27.05054474
cnorB,3,27.25966072
cnorB,2,29.71963882
cnorB,2,28.8322773
cnorB,2,29.6670742
hzsA,9,9.019056601
hzsA,9,8.326263195
hzsA,9,8.766211312
hzsA,8,13.015879
hzsA,8,13.9147102
hzsA,8,13.31387767
hzsA,7,15.69321441
hzsA,7,15.79289049
hzsA,7,15.80078177
hzsA,6,19.75562356
hzsA,6,20.47653331
hzsA,6,20.80666375
hzsA,5,23.33049063
hzsA,5,22.59971362
hzsA,5,23.5439764
hzsA,4,25.26186916
hzsA,4,25.7165961
hzsA,4,25.88233333
hzsA,3,28.30500322
hzsA,3,27.93680426
hzsA,3,28.69485769
hzsA,2,29.4005863
hzsA,2,29.12860784
hzsA,2,30.0820111
hzsB,9,8.276124542
hzsB,9,8.948545985
hzsB,9,8.935220242
hzsB,8,10.43277914
hzsB,8,9.936282578
hzsB,8,10.35575074
hzsB,7,13.10921206
hzsB,7,12.80627732
hzsB,7,12.85022868
hzsB,6,17.38025206
hzsB,6,18.37079066
hzsB,6,17.78485971
hzsB,5,21.53164057
hzsB,5,21.23744165
hzsB,5,21.41063889
hzsB,4,23.97962718
hzsB,4,23.86236648
hzsB,4,24.33357912
hzsB,3,26.81884163
hzsB,3,26.95005633
hzsB,3,26.74910509
hzsB,2,30.94554406
hzsB,2,30.42357614
hzsB,2,30.53972844
hzo,9,14.61987712
hzo,9,14.7495511
hzo,9,14.75246915
hzo,8,17.91432495
hzo,8,18.0952997
hzo,8,17.86785424
hzo,7,20.15918755
hzo,7,20.06030276
hzo,7,20.23933273
hzo,6,25.24931087
hzo,6,25.05194167
hzo,6,25.98675179
hzo,5,28.7165948
hzo,5,28.39105558
hzo,5,28.77169564
hzo,4,31.36009645
hzo,4,31.33000896
hzo,4,31.28264321
hzo,3,34.71648906
hzo,3,34.12929342
hzo,3,34.36679263
hzo,2,40.36846731
hzo,2,39.36066456
hzo,2,40.30876812
nifH,9,11.96194562
nifH,9,12.07612243
nifH,9,12.07869174
nifH,8,16.6538979
nifH,8,16.81324459
nifH,8,16.61298085
nifH,7,18.63047981
nifH,7,18.54341262
nifH,7,18.70104694
nifH,6,22.11228893
nifH,6,22.81899834
nifH,6,22.76159922
nifH,5,25.28471088
nifH,5,24.99807644
nifH,5,25.33322669
nifH,4,28.61229099
nifH,4,28.58579922
nifH,4,28.54409409
nifH,3,31.56756537
nifH,3,31.05054474
nifH,3,31.25966072
nifH,2,33.71963882
nifH,2,32.8322773
nifH,2,33.6670742
