370.0	817.8	562.4	772.5	823.8	 1022	 1007	 1197	 1195	 1124	 1197	 1251	 1322	 1383	 1524	 1707	 1883	 2075	 2229	 2141	 2145	 2038	 2043	 2089	 2063	 2052	 1999	 1949	 1644	 1345	 1107	876.5	703.2	 1152	9999.9	9999.9	9999.9	 5676	276.5	179.7	116.3	84.79	61.81	42.37	31.43	23.03	20.73	17.29	15.54	13.31	14.19	11.69
375.0	874.4	622.3	755.3	778.3	817.2	 1119	 1160	 1248	 1248	 1361	 1337	 1504	 1601	 1672	 1910	 2044	 2255	 2306	 2370	 2304	 2258	 2286	 2368	 2358	 2375	 2282	 2206	 2098	 1711	 1397	 1136	865.6	712.3	 1132	9999.9	9999.9	9999.9	 6133	259.9	170.6	118.7	84.57	60.91	41.56	31.70	22.56	20.32	16.27	15.52	15.46	12.57
380.0	745.9	654.4	792.1	887.8	960.8	 1181	 1111	 1305	 1433	 1517	 1632	 1677	 1757	 1860	 2049	 2311	 2306	 2437	 2522	 2455	 2500	 2552	 2611	 2681	 2655	 2607	 2458	 2405	 2153	 1713	 1422	 1129	880.2	717.0	 1169	9999.9	9999.9	9999.9	 5653	242.5	169.1	117.1	76.79	56.60	39.57	30.74	25.61	19.48	15.04	17.56	12.55
385.0	815.3	659.3	836.9	855.5	 1002	 1101	 1287	 1358	 1425	 1637	 1717	 1800	 1870	 2017	 2154	 2354	 2530	 2587	 2637	 2632	 2652	 2736	 2899	 2997	 2991	 2922	 2806	 2620	 2524	 2200	 1786	 1446	 1157	891.3	718.6	 1139	9999.9	9999.9	9999.9	 5799	225.0	163.1	99.63	77.22	51.17	37.29	31.65	24.77	18.27	16.53	15.20
390.0	797.1	663.4	848.3	 1104	 1190	 1337	 1475	 1526	 1605	 1827	 1832	 2009	 2002	 2195	 2349	 2497	 2695	 2767	 2743	 2857	 2887	 3014	 3171	 3223	 3292	 3243	 3106	 2964	 2797	 2632	 2177	 1811	 1480	 1167	904.6	696.5	 1143	9999.9	9999.9	9999.9	 5472	222.5	143.7	94.82	70.13	51.77	34.86	30.82	26.29	17.66	15.47
395.0	585.1	700.1	863.8	948.5	 1076	 1448	 1492	 1693	 1804	 1883	 1994	 2113	 2231	 2431	 2561	 2694	 2860	 2930	 2977	 3038	 3086	 3240	 3408	 3503	 3559	 3494	 3446	 3339	 3098	 2885	 2605	 2233	 1814	 1514	 1174	878.3	687.4	 1123	9999.9	9999.9	9999.9	 5512	216.1	141.4	89.75	67.13	51.33	36.76	26.09	25.06	15.10
400.0	893.5	844.5	789.0	 1077	 1200	 1469	 1609	 1726	 1887	 2170	 2190	 2347	 2382	 2614	 2746	 2884	 3013	 3004	 3118	 3166	 3258	 3384	 3621	 3704	 3776	 3790	 3722	 3590	 3404	 3124	 2964	 2666	 2226	 1848	 1509	 1159	868.3	672.7	 1105	9999.9	9999.9	9999.9	 4913	206.3	131.7	84.07	67.65	45.63	36.82	28.49	21.81
405.0	797.0	698.6	713.9	977.7	 1207	 1432	 1647	 1888	 1980	 2214	 2313	 2401	 2533	 2721	 2860	 2996	 3196	 3225	 3237	 3273	 3332	 3632	 3782	 3869	 4019	 4054	 4000	 3875	 3656	 3491	 3195	 2997	 2678	 2248	 1789	 1452	 1097	797.2	638.1	 1067	9999.9	9999.9	9999.9	 4603	187.0	119.0	78.66	64.48	45.66	31.59	26.49
410.0	755.8	744.5	936.5	952.6	 1316	 1671	 1720	 1939	 1993	 2368	 2399	 2572	 2715	 2822	 2972	 3137	 3226	 3303	 3328	 3366	 3480	 3720	 3842	 3995	 4145	 4163	 4146	 4111	 3901	 3728	 3471	 3171	 3038	 2655	 2155	 1763	 1367	 1010	753.2	583.4	 1039	9999.9	9999.9	9999.9	 4232	166.2	116.4	78.29	56.79	41.12	33.10
415.0	822.1	748.1	921.7	985.6	 1226	 1364	 1815	 1916	 2304	 2382	 2531	 2674	 2862	 2990	 3124	 3300	 3430	 3376	 3305	 3337	 3503	 3715	 3929	 4099	 4240	 4227	 4249	 4256	 4137	 3964	 3692	 3458	 3230	 3010	 2552	 2077	 1607	 1269	930.8	695.4	534.7	 1013	9999.9	9999.9	9999.9	 4328	171.7	103.3	76.39	55.18	41.13
420.0	767.7	869.3	877.6	879.3	 1319	 1760	 1771	 1998	 2292	 2459	 2539	 2690	 2985	 3095	 3182	 3366	 3430	 3459	 3379	 3361	 3499	 3725	 3900	 4113	 4297	 4309	 4350	 4354	 4251	 4124	 3861	 3671	 3447	 3187	 2946	 2387	 1859	 1477	 1146	852.1	613.3	512.0	979.8	9999.9	9999.9	9999.9	 3801	152.7	101.3	69.24	55.92
425.0	733.1	871.5	847.8	984.5	 1179	 1614	 1892	 2064	 2333	 2403	 2510	 2659	 3068	 3148	 3309	 3452	 3451	 3527	 3388	 3386	 3462	 3705	 3861	 4071	 4205	 4292	 4354	 4388	 4325	 4187	 4039	 3849	 3646	 3357	 3092	 2686	 2128	 1654	 1332	 1013	763.1	578.2	466.7	941.3	9999.9	9999.9	9999.9	 3304	143.8	101.1	67.46
430.0	590.0	862.2	779.4	 1089	 1212	 1525	 1856	 1992	 2195	 2470	 2581	 2778	 2942	 3194	 3386	 3491	 3493	 3503	 3403	 3414	 3406	 3690	 3818	 3989	 4199	 4276	 4382	 4435	 4377	 4255	 4097	 3948	 3775	 3486	 3198	 2857	 2397	 1879	 1484	 1174	896.9	692.2	521.2	445.0	942.6	9999.9	9999.9	9999.9	 2974	145.2	95.94
435.0	673.2	923.0	926.0	 1111	 1403	 1594	 1749	 1845	 2084	 2430	 2610	 2799	 2947	 3229	 3378	 3538	 3527	 3527	 3397	 3407	 3443	 3557	 3770	 3959	 4137	 4254	 4329	 4386	 4351	 4322	 4147	 3981	 3850	 3607	 3327	 2916	 2611	 2098	 1664	 1332	 1046	827.5	631.5	484.1	423.4	920.3	9999.9	9999.9	9999.9	 2983	140.0
440.0	557.9	747.8	816.5	895.0	 1190	 1437	 1681	 1849	 2242	 2478	 2521	 2714	 2842	 3234	 3368	 3493	 3487	 3523	 3329	 3322	 3305	 3455	 3694	 3854	 4009	 4137	 4229	 4293	 4294	 4245	 4126	 4002	 3892	 3632	 3394	 2996	 2663	 2283	 1824	 1467	 1181	945.4	737.1	575.0	443.7	401.3	921.9	9999.9	9999.9	9999.9	 2651
445.0	701.5	914.6	806.0	944.6	 1182	 1497	 1600	 1777	 2122	 2357	 2456	 2724	 2878	 3098	 3309	 3390	 3516	 3336	 3304	 3184	 3206	 3362	 3536	 3685	 3891	 4016	 4095	 4152	 4195	 4125	 4058	 3930	 3840	 3682	 3439	 3059	 2709	 2343	 1969	 1601	 1289	 1045	843.8	674.1	544.1	434.0	389.2	911.0	9999.9	9999.9	9999.9
450.0	896.6	678.3	716.4	881.4	 1211	 1408	 1606	 1700	 1859	 2219	 2442	 2727	 2774	 3027	 3275	 3401	 3360	 3233	 3205	 3045	 3128	 3166	 3396	 3492	 3661	 3843	 3957	 3969	 4004	 3981	 3946	 3855	 3766	 3637	 3441	 3068	 2680	 2360	 2052	 1723	 1399	 1147	941.1	762.3	629.0	508.3	404.5	366.2	903.6	9999.9	9999.9
455.0	658.1	587.0	647.9	 1005	 1191	 1291	 1527	 1636	 1857	 2159	 2308	 2400	 2699	 2874	 3261	 3302	 3273	 3155	 2962	 2952	 2945	 3012	 3160	 3280	 3500	 3588	 3714	 3745	 3817	 3852	 3793	 3667	 3659	 3497	 3341	 3016	 2703	 2361	 2096	 1771	 1494	 1213	 1029	876.1	696.8	571.9	485.0	383.9	344.9	881.5	9999.9
460.0	520.5	637.8	600.7	882.7	878.1	 1204	 1521	 1563	 1748	 1993	 2243	 2299	 2583	 2828	 2995	 3076	 3151	 3041	 2852	 2764	 2806	 2818	 2978	 3123	 3232	 3377	 3457	 3565	 3605	 3580	 3524	 3507	 3456	 3361	 3173	 2959	 2630	 2295	 2038	 1805	 1547	 1316	 1074	934.7	781.0	649.3	533.1	427.6	355.9	325.2	857.9
465.0	609.5	684.4	812.5	737.7	962.1	 1136	 1380	 1436	 1734	 1974	 2045	 2326	 2405	 2738	 2783	 2998	 3001	 2963	 2835	 2650	 2604	 2686	 2811	 2891	 3061	 3130	 3288	 3328	 3343	 3384	 3334	 3291	 3294	 3196	 3085	 2829	 2543	 2258	 1997	 1747	 1563	 1355	 1135	960.5	816.3	716.5	592.3	484.5	389.7	320.9	298.6
470.0	406.6	616.6	530.2	710.1	834.0	 1048	 1213	 1396	 1533	 1785	 1947	 2110	 2210	 2556	 2648	 2831	 2772	 2755	 2600	 2485	 2441	 2495	 2605	 2739	 2832	 2887	 3001	 3001	 3096	 3090	 3074	 3126	 3067	 2970	 2894	 2700	 2439	 2196	 1915	 1722	 1523	 1369	 1193	997.2	872.6	754.3	626.9	533.6	437.7	357.9	287.9
475.0	482.8	495.0	602.3	584.2	716.9	 1025	 1095	 1320	 1455	 1581	 1841	 1899	 2060	 2420	 2525	 2661	 2692	 2553	 2466	 2313	 2261	 2282	 2406	 2510	 2557	 2647	 2708	 2777	 2839	 2900	 2864	 2852	 2821	 2802	 2693	 2550	 2325	 2079	 1829	 1655	 1475	 1332	 1200	 1023	888.8	782.4	650.9	564.9	464.0	390.3	315.6
480.0	435.5	476.8	441.4	608.4	727.2	878.0	941.3	 1136	 1336	 1528	 1596	 1791	 2020	 2158	 2341	 2553	 2508	 2372	 2278	 2178	 2086	 2133	 2194	 2279	 2388	 2412	 2485	 2575	 2633	 2623	 2630	 2646	 2655	 2611	 2545	 2423	 2208	 1980	 1789	 1603	 1442	 1288	 1186	 1063	921.5	791.2	683.8	597.5	494.6	433.0	352.1
485.0	407.2	348.6	531.0	736.6	675.2	873.8	978.2	 1055	 1241	 1434	 1530	 1649	 1936	 2057	 2247	 2332	 2400	 2276	 2168	 2021	 2012	 1989	 2072	 2166	 2210	 2263	 2318	 2395	 2424	 2446	 2474	 2429	 2427	 2487	 2406	 2263	 2093	 1907	 1747	 1568	 1419	 1264	 1153	 1031	944.7	821.8	721.6	606.6	543.5	454.2	375.9
490.0	378.5	401.1	474.2	647.8	632.9	884.4	924.5	 1111	 1148	 1322	 1507	 1587	 1839	 1951	 2095	 2274	 2302	 2272	 2055	 1962	 1878	 1890	 1950	 2001	 2065	 2087	 2137	 2229	 2265	 2260	 2280	 2299	 2306	 2314	 2277	 2162	 1995	 1839	 1674	 1512	 1357	 1261	 1102	 1021	929.5	829.4	738.7	626.9	558.6	480.8	406.4
495.0	393.2	378.4	493.9	451.8	727.1	736.3	929.0	 1030	 1074	 1179	 1411	 1549	 1655	 1803	 2072	 2141	 2060	 2042	 1915	 1830	 1759	 1752	 1865	 1860	 1950	 1981	 1974	 2046	 2084	 2096	 2104	 2096	 2125	 2153	 2130	 2024	 1885	 1730	 1574	 1433	 1320	 1205	 1103	968.6	906.8	844.5	738.8	642.0	553.0	500.8	425.1
500.0	333.3	381.0	402.7	491.8	617.3	700.7	807.3	871.9	 1097	 1139	 1197	 1374	 1588	 1704	 1866	 1932	 1958	 1911	 1794	 1743	 1654	 1665	 1682	 1713	 1723	 1768	 1806	 1891	 1906	 1936	 1962	 1946	 1970	 1983	 1946	 1869	 1716	 1609	 1482	 1381	 1270	 1153	 1065	949.3	893.8	813.8	751.1	649.1	562.7	503.5	433.1
505.0	256.2	373.7	316.0	427.0	460.0	683.7	744.4	768.8	958.9	 1130	 1119	 1320	 1463	 1576	 1700	 1751	 1806	 1757	 1642	 1611	 1565	 1524	 1566	 1594	 1575	 1644	 1692	 1683	 1749	 1759	 1770	 1762	 1848	 1826	 1771	 1722	 1622	 1454	 1365	 1279	 1198	 1115	 1016	921.1	861.3	779.5	715.8	657.8	572.8	501.3	439.9
510.0	238.7	331.8	307.3	342.7	354.0	724.6	731.2	742.1	860.2	 1013	988.9	 1285	 1310	 1459	 1578	 1650	 1699	 1604	 1563	 1437	 1364	 1371	 1398	 1424	 1463	 1501	 1501	 1526	 1548	 1584	 1585	 1631	 1670	 1641	 1637	 1589	 1449	 1368	 1299	 1194	 1124	 1031	949.6	876.5	796.6	745.5	678.8	623.2	573.9	499.9	444.8
515.0	171.4	213.3	286.3	325.4	377.4	580.5	597.1	679.7	788.7	889.3	985.7	 1073	 1157	 1346	 1445	 1477	 1540	 1528	 1446	 1363	 1329	 1282	 1282	 1296	 1325	 1374	 1378	 1371	 1394	 1433	 1447	 1458	 1487	 1504	 1507	 1433	 1381	 1271	 1189	 1079	 1013	959.8	878.0	819.3	734.9	698.0	649.4	595.7	550.3	502.1	432.7
520.0	263.6	193.9	265.8	412.1	362.0	419.6	498.7	612.5	684.8	800.3	874.7	973.8	976.4	 1159	 1268	 1348	 1344	 1381	 1298	 1208	 1180	 1166	 1133	 1195	 1181	 1204	 1249	 1240	 1265	 1305	 1289	 1293	 1323	 1373	 1327	 1307	 1231	 1144	 1067	997.8	934.7	863.0	794.7	764.8	689.5	660.4	604.2	555.0	528.4	485.5	416.4
525.0	157.1	225.9	239.9	276.2	330.1	391.4	453.5	579.9	646.8	746.0	841.5	883.6	 1014	 1089	 1180	 1253	 1251	 1195	 1158	 1107	 1068	 1056	 1049	 1051	 1101	 1109	 1097	 1124	 1137	 1161	 1166	 1157	 1184	 1243	 1245	 1164	 1107	 1060	969.9	917.4	856.1	802.4	763.2	714.2	643.3	608.2	559.0	513.6	486.9	478.9	424.8
530.0	190.6	193.4	232.2	244.7	269.8	426.8	438.2	448.1	550.4	651.2	691.3	771.2	854.4	930.8	 1052	 1093	 1146	 1112	 1036	994.0	969.2	941.0	952.5	950.9	963.1	987.5	 1001	999.2	 1009	 1060	 1030	 1036	 1090	 1093	 1105	 1067	 1010	951.5	902.0	819.5	770.5	749.5	689.2	660.6	593.9	570.6	531.0	501.9	461.1	422.6	404.8
535.0	190.4	217.1	226.4	185.0	241.1	364.1	385.7	455.2	519.1	627.3	633.8	681.8	744.3	837.2	959.6	 1038	 1033	976.9	933.8	927.0	904.3	860.5	861.7	848.9	871.0	872.1	914.0	899.7	908.4	933.4	946.8	945.7	961.9	985.1	992.3	934.5	891.0	854.9	790.3	743.7	704.0	678.9	634.7	587.9	548.1	516.3	502.6	461.3	421.3	404.1	364.0
540.0	202.8	113.2	224.9	179.9	277.4	342.0	387.2	421.6	424.9	562.3	614.7	641.4	711.0	726.0	899.9	899.3	932.1	907.9	873.2	794.6	801.8	744.4	774.2	777.3	756.3	769.7	780.2	789.0	795.9	826.8	829.1	874.7	867.6	884.1	875.0	856.7	812.7	753.2	736.5	661.9	647.2	593.6	580.1	543.0	511.6	484.9	447.3	424.7	388.6	361.1	332.6
545.0	206.3	165.6	169.4	248.4	250.9	272.3	305.6	394.0	357.7	437.1	538.3	584.0	582.8	758.9	816.2	 1018	847.1	806.8	772.6	711.5	742.1	704.7	680.4	694.0	665.9	701.5	687.6	708.1	725.6	723.3	732.6	744.4	773.7	781.0	779.1	763.8	723.2	683.6	648.1	608.8	575.7	530.7	519.7	499.3	460.0	438.5	413.3	387.3	365.5	333.9	310.1
550.0	148.9	81.53	210.9	194.3	220.8	246.2	278.3	346.8	380.9	404.4	474.1	550.4	567.0	637.9	705.7	 1189	883.6	746.2	688.7	675.3	658.7	638.9	630.0	634.1	610.5	642.0	624.1	658.9	658.6	670.7	672.9	692.9	722.9	697.7	715.9	707.0	649.9	618.0	586.8	559.0	527.8	495.7	490.5	440.3	430.0	408.7	372.2	348.6	342.1	310.7	296.8
