Sample:	'SLABO1-5-5-320
File name:	1P6.FD3
Run Date:	17:17:05, 08/15/2022
Operator:	Administrator
Comment:	'

Instrument
Model:	F-7000 FL Spectrophotometer
Serial Number:	2354-007
ROM Version:	5J14000 06

Instrument Parameters
Measurement type:	3-D Scan
Data mode:	Fluorescence
EX  Start WL:	200.0 nm
EX  End WL:	450.0 nm
EX Sampling Interval:	5.0 nm
EM  Start WL:	280.0 nm
EM  End WL:	550.0 nm
EM Sampling Interval:	5.0 nm
Scan speed:	12000 nm/min
EX Slit:	5.0 nm
EM Slit:	5.0 nm
PMT Voltage:	700 V
Response:	Auto 
Corrected spectra:	Off
Shutter control:	On
Contour interval:	25.000

Peak integration
Integration method:	Rectangular
Sensitivity:	1
Threshold:	1.000

Peaks
No.	ApexEX/EM(nm)	Height(Data)
1	205.0/325.0	669.1
2	210.0/305.0	502.7
3	210.0/465.0	812.5
4	215.0/520.0	412.1
5	220.0/325.0	691.3
6	225.0/320.0	686.5
7	225.0/330.0	851.6
8	225.0/365.0	 1114
9	230.0/335.0	952.0
10	230.0/360.0	 1006
11	230.0/370.0	 1197
12	275.0/435.0	 3538
13	285.0/425.0	 3527
14	335.0/430.0	 4435
15	385.0/290.0	13.32
16	405.0/290.0	10.01
17	410.0/305.0	12.02
18	425.0/355.0	16.19
19	430.0/310.0	10.18
20	430.0/325.0	11.19
21	430.0/340.0	13.56
22	435.0/330.0	11.17
23	445.0/380.0	17.56

Data Points
	200.0	205.0	210.0	215.0	220.0	225.0	230.0	235.0	240.0	245.0	250.0	255.0	260.0	265.0	270.0	275.0	280.0	285.0	290.0	295.0	300.0	305.0	310.0	315.0	320.0	325.0	330.0	335.0	340.0	345.0	350.0	355.0	360.0	365.0	370.0	375.0	380.0	385.0	390.0	395.0	400.0	405.0	410.0	415.0	420.0	425.0	430.0	435.0	440.0	445.0	450.0
280.0	-9.048	87.88	-3.075	-14.68	-0.699	-9.457	-10.66	2.604	5.962	8.283	30.43	28.39	15.39	5.780	7.182	 1837	9999.9	 5061	164.8	23.36	28.47	31.42	23.67	20.69	19.01	15.84	15.77	16.40	13.40	14.34	14.93	12.98	14.42	14.82	14.95	10.84	12.85	9.727	13.20	6.332	7.918	6.795	5.386	4.488	4.916	5.041	3.922	3.135	3.854	3.110	2.173
285.0	50.87	72.32	27.65	69.58	51.46	37.94	38.10	12.41	22.27	48.53	64.50	59.43	66.02	55.46	46.50	152.8	 4586	9999.9	9999.9	 1113	50.14	49.54	39.70	35.65	23.80	23.41	21.77	21.53	15.88	17.37	15.25	14.78	17.17	14.23	14.90	12.32	13.11	10.69	11.21	9.540	10.20	7.259	5.980	4.878	3.889	3.709	4.499	3.750	3.353	4.210	2.784
290.0	164.1	123.4	106.9	81.37	107.4	85.21	103.7	52.89	52.75	68.78	83.10	83.61	119.1	156.7	150.9	140.1	424.3	9999.9	9999.9	9999.9	 1544	66.38	51.86	48.96	39.55	29.46	24.99	22.84	22.01	19.38	17.40	14.94	14.63	17.34	14.79	13.12	10.80	13.32	10.85	9.513	8.701	10.01	7.210	6.832	4.362	4.600	5.886	4.900	4.374	3.986	4.883
295.0	177.2	184.3	164.5	146.0	244.3	207.7	168.2	122.1	79.55	101.4	140.2	124.8	143.3	221.8	358.9	312.6	313.2	870.0	9999.9	9999.9	9999.9	 2154	75.55	62.18	54.80	44.05	32.40	27.68	24.21	25.62	18.08	17.96	17.99	17.08	14.59	14.43	14.21	10.74	10.54	8.785	9.153	6.645	8.660	7.060	6.150	5.255	5.020	5.265	5.990	3.491	5.950
300.0	163.4	267.0	210.8	259.4	327.7	275.9	303.8	207.4	185.0	138.6	177.2	200.3	201.2	284.8	489.3	609.3	528.6	447.1	873.4	9999.9	9999.9	9999.9	 2377	105.0	78.01	64.66	52.96	38.20	33.92	27.05	19.73	22.49	20.81	20.78	16.02	19.77	17.04	12.63	9.858	10.59	11.08	9.128	9.317	7.808	7.172	6.784	5.395	5.937	5.880	5.266	4.634
305.0	278.0	382.3	502.7	389.8	398.6	403.6	451.7	270.2	219.6	177.5	189.5	251.7	305.1	390.7	543.7	863.4	874.0	630.2	409.1	860.5	9999.9	9999.9	9999.9	 2816	116.5	91.05	74.75	63.34	45.41	32.81	34.86	28.96	24.68	20.98	21.98	18.70	17.56	15.32	15.76	12.24	11.22	10.11	12.02	9.913	8.006	7.310	6.391	7.920	4.642	5.171	5.747
310.0	494.6	430.6	444.3	425.3	531.1	494.7	551.0	383.7	307.2	204.1	239.9	298.5	355.0	460.7	678.4	915.0	 1113	871.6	525.1	338.2	863.3	9999.9	9999.9	9999.9	 2963	136.4	109.0	92.28	63.06	46.97	41.57	34.03	28.60	24.25	20.72	22.22	18.84	17.86	15.20	13.00	12.81	11.47	11.14	9.760	8.771	7.833	10.18	8.147	8.067	6.530	5.705
315.0	550.5	503.8	467.8	375.7	621.2	641.9	578.0	461.7	321.4	285.6	261.0	341.8	413.9	571.1	764.1	994.8	 1155	 1196	711.5	435.2	305.7	887.6	9999.9	9999.9	9999.9	 2748	160.2	124.6	86.16	71.89	51.47	38.80	35.98	28.97	26.09	23.84	21.45	19.23	17.00	15.55	14.04	13.92	10.59	9.675	10.85	10.19	8.499	8.539	6.751	6.653	6.040
320.0	714.3	536.2	595.9	425.1	540.1	686.5	629.3	518.1	418.5	366.3	387.6	428.5	482.8	615.8	861.5	 1107	 1202	 1201	 1049	614.3	377.0	313.9	897.4	9999.9	9999.9	9999.9	 2894	179.3	127.9	99.18	80.38	57.60	40.29	36.56	31.40	29.17	20.71	20.96	19.17	14.94	11.89	14.03	11.47	10.83	10.40	9.333	10.63	9.252	7.337	7.362	6.693
325.0	547.4	669.1	616.6	639.6	691.3	632.9	754.1	600.8	459.9	385.4	438.9	441.2	591.6	693.6	951.8	 1132	 1388	 1236	 1149	933.4	514.0	359.7	326.4	891.5	9999.9	9999.9	9999.9	 3335	194.3	136.0	113.1	89.61	63.27	43.90	41.80	33.17	27.65	22.91	17.35	16.26	16.09	14.91	14.30	11.15	9.913	10.27	11.19	8.981	8.356	8.054	8.167
330.0	504.1	633.7	624.2	613.1	655.9	851.6	807.8	735.4	531.6	510.5	475.0	517.9	617.1	769.1	994.4	 1264	 1445	 1349	 1178	 1019	789.0	486.1	352.8	328.5	911.2	9999.9	9999.9	9999.9	 3327	222.1	149.8	115.3	102.0	66.74	49.85	40.01	34.17	26.83	21.44	19.54	16.97	14.54	14.83	12.62	12.18	11.94	9.220	11.17	9.732	10.30	8.546
335.0	546.9	656.3	630.0	559.6	648.5	832.8	952.0	724.2	599.1	570.4	512.7	578.8	649.2	822.0	 1092	 1357	 1497	 1442	 1286	 1006	948.3	727.1	482.3	390.3	382.3	948.5	9999.9	9999.9	9999.9	 3671	237.7	172.9	125.0	98.68	71.78	49.98	37.44	33.32	25.00	18.88	18.97	16.16	15.10	12.59	13.40	10.78	9.213	9.394	11.04	10.68	8.712
340.0	689.0	538.7	560.3	656.3	756.1	844.2	746.0	709.2	651.5	565.5	595.5	593.9	734.9	883.9	 1156	 1402	 1580	 1574	 1422	 1143	902.4	954.3	724.3	513.2	447.0	400.8	969.5	9999.9	9999.9	9999.9	 4147	254.9	186.2	133.9	106.8	68.55	54.12	42.79	31.69	22.67	21.26	20.44	14.74	13.74	14.04	11.90	13.56	11.71	11.31	9.591	8.024
345.0	594.6	571.8	624.6	736.5	721.7	845.9	793.8	756.2	612.9	629.9	704.3	696.8	711.8	972.3	 1193	 1439	 1639	 1635	 1572	 1272	 1037	973.2	985.9	734.1	605.5	475.9	474.3	 1016	9999.9	9999.9	9999.9	 4667	274.8	195.5	140.1	99.44	66.94	52.20	37.98	29.70	20.18	19.54	16.06	14.03	13.03	12.70	11.53	11.79	12.17	10.95	8.705
350.0	555.0	629.6	641.2	680.9	776.0	893.6	886.7	858.0	728.5	794.6	788.8	762.4	792.1	 1011	 1245	 1474	 1647	 1733	 1647	 1439	 1260	 1128	 1084	 1140	872.7	704.7	582.9	507.6	 1050	9999.9	9999.9	9999.9	 4796	276.9	203.4	135.4	100.4	72.51	43.82	35.38	28.09	20.01	19.59	17.94	12.75	14.82	12.69	12.00	11.81	10.51	11.88
355.0	664.2	643.3	710.8	751.7	754.5	910.5	974.4	814.2	819.6	812.0	828.7	874.6	927.0	 1050	 1397	 1523	 1707	 1888	 1823	 1625	 1437	 1322	 1297	 1334	 1255	981.2	836.8	666.4	594.6	 1095	9999.9	9999.9	9999.9	 5250	289.4	197.5	134.9	94.06	69.76	47.56	39.19	29.60	20.31	20.71	12.82	16.19	13.12	13.75	12.92	9.802	11.51
360.0	646.4	566.2	656.6	753.4	799.6	966.9	 1006	996.0	978.5	959.5	907.5	936.4	 1062	 1194	 1425	 1663	 1836	 2008	 1950	 1796	 1614	 1586	 1503	 1481	 1546	 1362	 1124	929.6	772.0	656.6	 1138	9999.9	9999.9	9999.9	 5078	278.8	188.1	135.6	91.62	65.70	46.30	34.65	25.28	20.91	14.30	13.21	13.61	14.08	11.71	12.39	12.54
365.0	669.9	757.6	699.7	820.8	781.8	 1114	957.4	998.3	964.6	 1050	 1092	 1072	 1252	 1407	 1615	 1832	 2007	 2086	 2018	 1996	 1857	 1812	 1768	 1757	 1758	 1793	 1504	 1223	 1033	837.9	678.8	 1159	9999.9	9999.9	9999.9	 5747	283.8	195.8	126.0	88.88	64.87	42.66	34.70	24.03	21.00	15.97	14.61	14.81	12.57	12.01	11.29
