325.0	498.8	549.0	498.1	536.5	680.9	866.4	747.9	624.1	461.4	379.4	361.1	471.9	527.0	622.4	770.7	882.2	971.0	932.9	999.4	857.0	465.0	331.6	307.5	878.7	9999.9	9999.9	9999.9	 1960	139.6	101.4	78.85	63.34	39.03	33.40	29.23	27.57	20.26	18.14	14.68	13.35	12.59	10.74	11.57	8.738	9.260	10.19	7.034	7.132	6.960	8.421	7.849
330.0	607.0	518.7	535.5	617.2	738.3	795.5	959.6	764.3	503.1	467.1	511.5	520.7	606.2	727.0	823.0	 1011	 1106	 1077	965.1	973.2	755.7	443.4	341.3	300.8	882.4	9999.9	9999.9	9999.9	 1966	161.1	113.2	85.78	64.07	43.46	35.15	31.54	22.10	19.10	18.04	12.50	13.06	10.38	12.85	9.346	12.96	10.92	8.450	8.574	7.584	8.285	7.519
335.0	530.0	541.2	633.8	654.4	667.1	889.8	946.4	824.3	673.4	518.1	563.1	597.1	667.5	800.0	950.8	 1159	 1263	 1182	 1119	936.1	965.9	736.8	478.8	372.9	350.7	936.2	9999.9	9999.9	9999.9	 2105	165.3	121.4	89.89	65.73	50.72	34.76	30.09	21.05	18.88	14.52	14.34	13.73	9.515	10.46	11.16	10.84	9.515	8.428	8.462	8.851	9.091
340.0	537.5	521.8	721.8	607.7	821.7	996.7	 1020	924.7	714.9	652.6	688.3	715.3	774.4	844.5	 1098	 1255	 1386	 1379	 1234	 1084	922.5	 1040	740.2	543.5	459.2	405.8	955.5	9999.9	9999.9	9999.9	 2417	172.1	128.6	90.03	73.88	45.29	37.65	29.24	20.27	20.80	15.83	12.89	12.22	10.11	11.02	10.19	10.40	9.109	8.640	9.833	8.836
345.0	572.2	559.4	642.8	810.8	 1013	 1068	 1156	 1105	821.1	787.9	744.7	796.3	834.5	 1004	 1217	 1400	 1510	 1561	 1472	 1229	 1075	 1012	 1089	814.3	650.6	532.6	480.3	981.8	9999.9	9999.9	9999.9	 2744	174.9	136.9	100.2	68.54	46.94	36.74	28.45	19.87	16.70	14.38	11.63	10.67	11.63	12.72	9.949	10.29	10.27	8.758	10.69
350.0	570.0	588.3	640.0	732.6	921.4	 1191	 1153	 1125	868.7	870.5	885.7	943.9	948.6	 1187	 1369	 1581	 1646	 1701	 1659	 1408	 1247	 1195	 1220	 1273	942.7	757.5	617.7	524.8	 1040	9999.9	9999.9	9999.9	 2781	197.7	128.1	100.6	67.26	46.97	30.45	27.56	19.28	15.49	13.72	13.19	12.96	11.23	11.60	10.16	9.659	10.05	8.985
355.0	618.8	520.5	693.2	759.8	967.5	 1087	 1244	 1160	 1116	 1102	 1083	 1033	 1160	 1353	 1583	 1726	 1825	 1893	 1831	 1664	 1549	 1404	 1392	 1458	 1405	 1058	906.2	711.3	604.6	 1092	9999.9	9999.9	9999.9	 2975	210.5	137.1	94.45	67.58	47.05	32.07	25.43	18.40	17.19	15.26	11.41	12.50	12.12	11.98	10.60	8.965	9.248
360.0	603.2	619.6	789.9	850.6	964.7	 1390	 1333	 1407	 1244	 1307	 1305	 1260	 1371	 1553	 1705	 1923	 2103	 2151	 2086	 1922	 1775	 1696	 1667	 1633	 1782	 1513	 1208	986.0	779.9	659.1	 1125	9999.9	9999.9	9999.9	 2837	195.2	123.2	91.25	62.87	43.94	32.00	22.40	19.93	16.43	13.06	11.19	10.27	11.25	10.74	10.21	8.673
365.0	548.6	744.4	688.8	953.4	 1096	 1395	 1475	 1536	 1354	 1440	 1545	 1535	 1723	 1735	 2064	 2124	 2287	 2302	 2353	 2153	 2012	 2007	 2024	 1972	 1957	 1971	 1616	 1344	 1084	895.5	701.7	 1104	9999.9	9999.9	9999.9	 3166	202.4	131.5	83.90	63.83	45.26	30.20	22.16	18.92	15.76	14.38	10.55	11.71	12.58	10.84	11.42
370.0	542.3	623.7	908.9	916.4	 1211	 1446	 1693	 1588	 1686	 1680	 1896	 1885	 1875	 2061	 2290	 2399	 2421	 2601	 2505	 2378	 2273	 2280	 2323	 2296	 2281	 2211	 2139	 1790	 1396	 1156	896.9	702.8	 1124	9999.9	9999.9	9999.9	 3148	185.5	125.9	83.51	64.18	45.40	28.37	22.97	19.94	15.73	12.56	11.89	11.14	13.13	11.10
375.0	579.4	729.1	924.5	 1054	 1286	 1560	 1774	 1767	 1788	 1858	 1997	 2023	 2222	 2303	 2525	 2594	 2676	 2731	 2715	 2609	 2595	 2551	 2595	 2654	 2628	 2492	 2398	 2256	 1837	 1469	 1177	911.0	701.3	 1136	9999.9	9999.9	9999.9	 3352	177.1	107.9	81.30	58.70	39.28	29.23	20.12	18.84	16.39	15.84	11.96	11.69	10.99
380.0	580.2	719.6	 1007	 1222	 1342	 1697	 1853	 1971	 2130	 2174	 2287	 2268	 2414	 2560	 2722	 2898	 2903	 2913	 2927	 2852	 2792	 2815	 2909	 2896	 2945	 2820	 2628	 2592	 2278	 1819	 1489	 1185	890.2	688.7	 1129	9999.9	9999.9	9999.9	 2976	163.3	111.4	74.68	53.47	37.24	24.83	22.02	18.16	15.82	15.87	12.20	12.39
385.0	591.0	848.3	 1044	 1315	 1460	 1838	 1947	 2058	 2263	 2383	 2514	 2526	 2722	 2882	 2922	 3045	 3149	 3126	 3173	 3075	 3057	 3120	 3139	 3211	 3266	 3148	 2987	 2793	 2714	 2279	 1836	 1493	 1178	889.3	703.2	 1108	9999.9	9999.9	9999.9	 3036	150.6	110.9	73.53	50.84	31.59	25.85	19.97	18.36	14.57	16.16	12.57
390.0	703.7	791.5	 1109	 1327	 1544	 1934	 2218	 2331	 2352	 2650	 2721	 2794	 3010	 3097	 3231	 3259	 3333	 3333	 3221	 3234	 3197	 3321	 3388	 3519	 3505	 3412	 3284	 3113	 2934	 2707	 2291	 1828	 1491	 1203	901.8	692.8	 1085	9999.9	9999.9	9999.9	 2907	154.4	96.69	67.82	46.68	37.47	24.50	21.97	18.38	15.72	13.84
395.0	634.8	798.5	 1165	 1277	 1685	 2115	 2320	 2470	 2648	 2957	 2930	 2964	 3166	 3325	 3452	 3518	 3527	 3528	 3459	 3412	 3357	 3544	 3601	 3671	 3782	 3744	 3554	 3353	 3156	 2971	 2716	 2236	 1860	 1511	 1188	865.1	659.7	 1085	9999.9	9999.9	9999.9	 2998	141.6	95.32	59.59	45.61	33.00	26.23	21.56	18.08	14.28
400.0	767.1	809.6	 1156	 1560	 1843	 2024	 2395	 2603	 2997	 3060	 3146	 3276	 3434	 3549	 3597	 3774	 3721	 3793	 3570	 3519	 3533	 3732	 3770	 3857	 3881	 3885	 3782	 3633	 3461	 3157	 2984	 2698	 2245	 1861	 1493	 1119	830.2	637.4	 1058	9999.9	9999.9	9999.9	 2641	137.1	91.42	60.03	43.74	33.45	23.57	23.90	18.40
405.0	630.6	833.1	 1085	 1383	 1905	 2058	 2481	 2654	 2936	 3186	 3273	 3327	 3582	 3683	 3782	 3981	 3881	 3813	 3693	 3625	 3687	 3756	 3935	 4021	 4092	 4083	 4012	 3913	 3706	 3428	 3201	 2994	 2645	 2224	 1803	 1435	 1073	775.5	595.8	 1028	9999.9	9999.9	9999.9	 2337	129.1	78.89	60.17	43.66	30.66	24.87	18.58
410.0	745.4	 1097	 1241	 1454	 1938	 2242	 2461	 2836	 3093	 3359	 3422	 3498	 3766	 3800	 4006	 4013	 4004	 3917	 3849	 3816	 3725	 3824	 3990	 4073	 4112	 4198	 4162	 4030	 3881	 3711	 3454	 3229	 2976	 2611	 2103	 1718	 1332	988.1	712.6	553.2	994.9	9999.9	9999.9	9999.9	 2165	116.2	79.68	50.62	43.75	30.10	26.64
415.0	752.5	806.5	 1067	 1447	 1876	 2300	 2428	 2999	 3050	 3265	 3475	 3747	 3853	 4094	 4144	 4166	 4116	 3976	 3902	 3724	 3720	 3806	 4013	 4172	 4189	 4269	 4217	 4204	 4032	 3878	 3661	 3402	 3165	 3006	 2492	 1965	 1562	 1215	903.4	657.9	503.0	955.6	9999.9	9999.9	9999.9	 2200	105.3	70.88	51.36	38.78	33.85
420.0	912.1	920.9	 1109	 1513	 1928	 2205	 2707	 2935	 3109	 3325	 3512	 3731	 3964	 4181	 4168	 4236	 4292	 4044	 3910	 3783	 3718	 3754	 3929	 4117	 4128	 4185	 4273	 4219	 4161	 3981	 3811	 3541	 3336	 3146	 2811	 2302	 1816	 1417	 1071	792.5	582.5	484.0	940.4	9999.9	9999.9	9999.9	 1941	108.1	69.38	49.69	34.37
425.0	825.7	947.4	 1231	 1452	 1935	 2176	 2648	 3040	 3177	 3349	 3629	 3736	 3887	 4120	 4342	 4378	 4317	 4099	 3934	 3743	 3713	 3749	 3860	 4056	 4100	 4160	 4275	 4237	 4126	 4006	 3856	 3693	 3476	 3204	 3006	 2555	 1976	 1601	 1240	980.7	710.0	516.1	422.8	908.1	9999.9	9999.9	9999.9	 1659	98.61	66.23	47.21
430.0	635.9	818.3	 1124	 1418	 1929	 2269	 2840	 2980	 3100	 3194	 3600	 3708	 4118	 4191	 4315	 4409	 4318	 4056	 3805	 3694	 3640	 3695	 3821	 3964	 4010	 4162	 4198	 4260	 4130	 4078	 3934	 3770	 3594	 3333	 3050	 2748	 2244	 1801	 1415	 1110	828.3	642.0	460.6	386.4	894.9	9999.9	9999.9	9999.9	 1499	100.1	66.17
435.0	653.1	872.4	 1126	 1448	 1812	 2305	 2511	 2867	 3069	 3373	 3556	 3719	 3954	 4166	 4453	 4305	 4230	 4075	 3916	 3655	 3560	 3670	 3728	 3927	 3950	 4051	 4080	 4122	 4165	 4032	 3965	 3816	 3672	 3464	 3166	 2844	 2468	 2018	 1556	 1250	970.8	750.4	572.1	425.9	360.4	881.7	9999.9	9999.9	9999.9	 1481	96.48
440.0	644.6	770.8	 1159	 1371	 1853	 2020	 2568	 2741	 2992	 3319	 3558	 3551	 3896	 4103	 4201	 4438	 4290	 4101	 3853	 3630	 3518	 3537	 3657	 3746	 3882	 3966	 4000	 4037	 4062	 4002	 3892	 3783	 3646	 3516	 3272	 2910	 2537	 2169	 1744	 1379	 1111	862.8	674.8	514.0	398.7	342.3	872.2	9999.9	9999.9	9999.9	 1314
445.0	639.7	738.1	 1122	 1276	 1679	 2226	 2360	 2659	 3023	 3325	 3323	 3603	 3835	 4127	 4200	 4327	 4184	 4023	 3671	 3559	 3388	 3387	 3535	 3634	 3729	 3810	 3838	 3950	 3872	 3932	 3873	 3786	 3592	 3507	 3302	 2951	 2582	 2250	 1840	 1483	 1203	979.9	768.3	604.3	475.7	372.8	329.8	860.4	9999.9	9999.9	9999.9
450.0	675.0	924.2	 1113	 1503	 1800	 2012	 2231	 2569	 2717	 3199	 3411	 3387	 3728	 3967	 4134	 4274	 4038	 3909	 3594	 3477	 3283	 3222	 3359	 3459	 3595	 3616	 3690	 3760	 3759	 3764	 3709	 3618	 3536	 3420	 3246	 2935	 2572	 2176	 1944	 1580	 1283	 1064	852.2	675.0	564.9	437.3	343.2	318.0	845.7	9999.9	9999.9
455.0	546.1	730.9	 1067	 1122	 1454	 1810	 2169	 2341	 2533	 2874	 3129	 3329	 3549	 3784	 4038	 4125	 3883	 3788	 3439	 3204	 3114	 3134	 3155	 3248	 3342	 3381	 3501	 3604	 3531	 3569	 3524	 3436	 3393	 3290	 3139	 2918	 2539	 2218	 1915	 1675	 1392	 1112	949.3	768.4	626.5	506.1	413.1	328.4	299.3	840.3	9999.9
460.0	447.0	732.6	 1065	 1304	 1398	 1781	 2076	 2163	 2409	 2774	 3038	 3087	 3446	 3714	 3902	 3829	 3831	 3603	 3364	 3129	 2999	 2940	 3032	 3033	 3117	 3223	 3269	 3316	 3361	 3335	 3338	 3269	 3274	 3186	 3033	 2767	 2490	 2198	 1885	 1662	 1454	 1206	986.0	813.7	677.0	572.5	463.6	383.5	295.0	282.9	814.8
465.0	513.2	746.3	902.7	988.4	 1326	 1593	 1951	 2074	 2274	 2618	 2815	 3038	 3325	 3432	 3683	 3659	 3571	 3325	 3101	 2936	 2780	 2831	 2781	 2842	 2884	 2973	 3083	 3114	 3111	 3139	 3146	 3102	 3048	 3038	 2902	 2662	 2421	 2104	 1857	 1623	 1428	 1245	 1032	879.7	730.0	603.3	511.1	426.9	337.5	273.1	257.3
470.0	484.7	588.4	849.6	963.5	 1270	 1534	 1807	 2014	 2062	 2380	 2599	 2841	 3056	 3249	 3468	 3461	 3420	 3184	 2925	 2699	 2621	 2560	 2576	 2645	 2687	 2746	 2799	 2897	 2891	 2855	 2829	 2906	 2867	 2827	 2743	 2550	 2285	 2060	 1821	 1570	 1388	 1229	 1070	907.8	762.0	643.8	546.9	458.5	372.8	309.5	245.0
475.0	441.0	629.9	710.5	862.4	 1120	 1351	 1662	 1781	 1928	 2377	 2506	 2553	 2695	 2952	 3192	 3251	 3158	 2964	 2792	 2566	 2446	 2397	 2416	 2448	 2504	 2483	 2562	 2591	 2672	 2656	 2664	 2651	 2636	 2610	 2566	 2388	 2164	 1920	 1728	 1536	 1339	 1199	 1082	911.5	795.5	648.7	567.5	482.5	408.5	327.5	263.8
480.0	487.0	546.9	756.4	769.9	 1076	 1340	 1500	 1709	 1838	 2019	 2287	 2444	 2687	 2939	 3041	 3003	 2997	 2840	 2599	 2373	 2272	 2249	 2196	 2235	 2310	 2298	 2361	 2419	 2438	 2426	 2467	 2474	 2456	 2486	 2342	 2238	 2060	 1871	 1665	 1465	 1327	 1139	 1044	937.9	796.9	677.2	590.3	500.8	425.8	339.8	299.9
485.0	387.0	657.7	770.7	950.0	895.1	 1158	 1348	 1622	 1741	 1944	 2175	 2311	 2543	 2710	 2835	 3002	 2787	 2581	 2437	 2296	 2198	 2071	 2047	 2107	 2123	 2129	 2161	 2232	 2211	 2273	 2299	 2295	 2289	 2286	 2235	 2105	 1962	 1755	 1618	 1418	 1267	 1150	 1019	942.2	819.7	693.7	609.9	523.7	455.6	383.2	329.4
490.0	407.3	488.9	614.4	695.7	858.9	 1172	 1441	 1484	 1706	 1801	 2025	 2163	 2408	 2490	 2656	 2739	 2670	 2491	 2289	 2168	 2042	 1939	 1949	 1915	 1964	 2006	 2076	 2075	 2095	 2083	 2124	 2100	 2139	 2122	 2080	 1989	 1811	 1677	 1504	 1372	 1231	 1095	989.5	888.0	830.6	739.8	628.6	543.3	484.4	405.1	333.0
495.0	292.6	452.8	666.7	727.8	919.6	 1014	 1256	 1384	 1506	 1706	 1855	 2035	 2268	 2344	 2466	 2574	 2505	 2302	 2220	 2054	 1900	 1819	 1811	 1817	 1837	 1836	 1885	 1932	 1936	 1977	 1922	 1945	 1987	 1978	 1981	 1848	 1706	 1575	 1443	 1298	 1190	 1075	985.1	849.1	800.8	742.6	623.7	558.6	481.6	408.5	365.1
500.0	336.7	498.8	554.1	611.2	825.8	920.5	 1270	 1257	 1293	 1477	 1570	 1866	 2050	 2189	 2314	 2416	 2345	 2194	 2026	 1903	 1760	 1699	 1671	 1650	 1680	 1672	 1687	 1731	 1735	 1791	 1788	 1795	 1815	 1822	 1822	 1679	 1574	 1441	 1330	 1243	 1118	 1039	934.2	837.1	769.9	700.7	644.0	547.0	485.7	423.1	363.7
505.0	298.4	400.7	408.8	640.0	732.1	940.6	970.4	 1230	 1325	 1314	 1592	 1739	 1923	 1997	 2168	 2186	 2170	 2033	 1909	 1747	 1600	 1569	 1488	 1550	 1516	 1534	 1549	 1588	 1582	 1606	 1607	 1613	 1657	 1677	 1635	 1592	 1455	 1363	 1216	 1139	 1069	971.9	882.8	808.9	724.6	649.8	619.3	552.0	474.7	418.6	371.9
510.0	370.2	337.8	378.6	486.2	720.1	883.8	985.9	 1092	 1196	 1248	 1378	 1474	 1682	 1867	 1961	 2064	 1991	 1883	 1801	 1609	 1516	 1403	 1407	 1396	 1412	 1381	 1400	 1451	 1448	 1448	 1470	 1468	 1509	 1525	 1504	 1421	 1352	 1240	 1160	 1059	977.3	896.7	818.8	761.4	693.4	628.7	582.3	542.9	478.3	414.7	373.6
515.0	350.6	340.4	363.2	510.3	611.8	762.2	951.4	883.0	 1097	 1166	 1272	 1384	 1549	 1633	 1804	 1790	 1810	 1701	 1588	 1460	 1342	 1306	 1300	 1281	 1254	 1266	 1281	 1316	 1277	 1306	 1295	 1351	 1339	 1343	 1354	 1291	 1220	 1136	 1075	969.4	913.1	834.7	773.4	710.9	651.9	601.6	540.8	519.9	465.9	424.9	358.2
520.0	276.7	285.6	391.9	380.1	587.8	721.8	888.3	867.1	981.5	 1051	 1110	 1258	 1400	 1544	 1670	 1640	 1617	 1560	 1449	 1310	 1205	 1183	 1160	 1164	 1109	 1146	 1159	 1152	 1147	 1167	 1180	 1189	 1205	 1254	 1217	 1169	 1117	 1023	955.6	883.9	838.5	778.5	707.5	668.2	598.8	575.1	517.3	467.7	440.4	418.3	352.8
525.0	300.6	301.4	268.9	339.3	458.8	648.2	760.5	874.4	885.6	987.7	 1005	 1169	 1220	 1321	 1452	 1495	 1445	 1395	 1326	 1229	 1160	 1079	 1060	 1037	 1004	 1020	 1016	 1030	 1033	 1060	 1066	 1077	 1107	 1085	 1088	 1081	 1013	943.1	877.6	810.3	749.9	679.1	644.9	609.4	570.5	524.7	483.8	450.6	405.1	390.1	341.4
530.0	195.0	219.0	296.3	357.7	394.2	533.8	653.6	688.0	788.5	882.4	971.4	 1005	 1092	 1235	 1339	 1388	 1332	 1303	 1170	 1076	 1020	970.7	921.1	924.9	941.8	916.1	910.7	925.1	924.0	942.4	950.8	947.9	954.8	971.1	978.6	938.8	900.6	849.5	782.9	737.3	684.5	644.8	615.1	556.5	510.4	491.9	443.0	406.6	380.1	358.7	325.3
535.0	148.5	253.0	330.9	293.9	402.7	463.8	530.1	687.5	727.3	792.3	877.2	940.0	997.2	 1100	 1199	 1165	 1207	 1182	 1024	950.9	920.9	858.2	842.9	818.1	831.3	824.3	804.6	814.2	844.8	844.5	838.4	861.7	875.0	896.4	884.8	848.7	797.9	757.7	697.3	662.1	615.4	585.6	543.4	501.8	475.7	446.3	413.9	377.6	347.4	329.0	298.9
540.0	228.5	186.6	263.9	330.3	336.7	451.0	528.8	613.1	629.9	707.6	728.6	823.1	906.3	999.9	 1102	 1174	 1074	 1061	925.6	902.4	799.2	765.5	755.6	748.1	732.6	714.9	718.1	729.7	744.2	746.6	729.5	754.1	783.0	783.8	773.3	762.5	719.9	670.9	625.6	581.3	555.4	518.3	497.6	468.2	426.6	416.0	379.2	356.5	317.2	292.9	282.1
545.0	147.2	187.7	271.2	267.0	302.2	448.8	490.9	499.6	532.5	644.8	696.9	700.7	763.6	862.5	986.7	 1116	998.9	925.0	833.9	773.5	708.9	678.4	675.8	652.1	633.6	653.1	648.4	636.3	663.1	658.8	663.0	649.3	690.3	698.5	692.4	674.7	643.4	598.8	564.1	531.3	496.0	465.2	444.2	415.6	384.8	375.1	346.5	314.2	294.7	280.2	257.9
550.0	182.4	284.7	243.4	325.3	248.6	406.5	414.5	435.6	486.0	564.9	588.0	620.6	668.7	778.2	899.0	 1257	 1026	831.1	771.6	704.8	669.4	647.9	615.6	594.3	596.8	581.0	590.7	584.8	590.9	616.3	608.7	605.1	617.3	615.2	623.0	588.0	588.3	535.7	502.4	471.2	447.6	429.9	407.9	381.2	352.2	336.8	310.1	308.9	271.8	255.8	236.1
