Sample:	'SLABO1-5-5-320
File name:	2H7.FD3
Run Date:	17:33:18, 08/17/2022
Operator:	Administrator
Comment:	'

Instrument
Model:	F-7000 FL Spectrophotometer
Serial Number:	2354-007
ROM Version:	5J14000 06

Instrument Parameters
Measurement type:	3-D Scan
Data mode:	Fluorescence
EX  Start WL:	200.0 nm
EX  End WL:	450.0 nm
EX Sampling Interval:	5.0 nm
EM  Start WL:	280.0 nm
EM  End WL:	550.0 nm
EM Sampling Interval:	5.0 nm
Scan speed:	12000 nm/min
EX Slit:	5.0 nm
EM Slit:	5.0 nm
PMT Voltage:	700 V
Response:	Auto 
Corrected spectra:	Off
Shutter control:	On
Contour interval:	25.000

Peak integration
Integration method:	Rectangular
Sensitivity:	1
Threshold:	1.000

Peaks
No.	ApexEX/EM(nm)	Height(Data)
1	210.0/310.0	580.3
2	210.0/340.0	721.8
3	225.0/325.0	866.4
4	225.0/350.0	 1191
5	270.0/435.0	 4453
6	275.0/305.0	648.6
7	275.0/430.0	 4409
8	275.0/440.0	 4438
9	280.0/310.0	918.1
10	285.0/315.0	973.3
11	325.0/415.0	 4269
12	330.0/425.0	 4275
13	335.0/430.0	 4260
14	340.0/435.0	 4165
15	370.0/290.0	15.79
16	370.0/310.0	21.78
17	395.0/310.0	13.04
18	405.0/320.0	11.58
19	410.0/330.0	12.85
20	420.0/330.0	12.96
21	425.0/345.0	12.72
22	425.0/355.0	12.50
23	430.0/300.0	6.669
24	430.0/320.0	8.560
25	440.0/365.0	12.58

Data Points
	200.0	205.0	210.0	215.0	220.0	225.0	230.0	235.0	240.0	245.0	250.0	255.0	260.0	265.0	270.0	275.0	280.0	285.0	290.0	295.0	300.0	305.0	310.0	315.0	320.0	325.0	330.0	335.0	340.0	345.0	350.0	355.0	360.0	365.0	370.0	375.0	380.0	385.0	390.0	395.0	400.0	405.0	410.0	415.0	420.0	425.0	430.0	435.0	440.0	445.0	450.0
280.0	37.72	51.63	33.36	40.74	29.63	26.27	50.15	13.03	20.53	31.07	46.96	41.66	27.03	15.63	22.99	 2035	9999.9	 4251	116.2	24.15	27.57	24.90	20.74	16.08	15.08	14.23	13.12	12.33	11.44	13.66	12.78	11.55	9.089	11.89	9.951	9.437	7.672	8.725	5.323	8.541	6.414	3.866	4.380	3.853	2.759	3.488	3.100	2.777	3.164	2.353	3.243
285.0	134.7	78.40	115.7	79.21	80.27	109.5	75.42	40.17	44.16	62.11	94.13	106.2	121.7	92.66	45.18	160.0	 5047	9999.9	9999.9	822.3	42.46	40.42	31.87	23.44	19.97	20.65	17.94	16.20	14.73	13.47	12.17	13.50	12.70	12.27	8.955	11.78	10.08	8.439	5.068	6.653	5.864	5.239	4.811	5.522	5.406	3.192	3.712	3.839	3.203	3.253	2.418
290.0	167.7	160.8	108.6	146.0	128.6	225.8	160.2	109.0	69.56	84.67	119.6	133.9	124.9	203.0	123.9	102.5	410.9	9999.9	9999.9	9999.9	 1092	45.37	45.32	36.66	34.23	28.49	19.66	15.95	15.56	16.11	15.93	12.99	12.07	13.04	15.79	10.59	9.742	9.512	8.523	8.854	6.258	6.520	5.424	5.253	3.898	3.749	4.284	4.926	2.820	3.966	2.968
295.0	243.5	276.6	236.9	234.0	254.6	238.6	222.3	159.3	112.6	124.9	143.7	163.2	152.6	256.1	355.4	228.9	215.3	781.3	9999.9	9999.9	9999.9	 1436	71.05	55.44	47.26	33.99	27.26	22.42	20.49	16.49	15.15	13.29	13.14	14.18	13.11	11.85	10.67	9.162	8.269	8.880	7.612	6.438	6.520	4.979	5.161	4.264	3.445	4.853	4.473	4.750	4.669
300.0	353.7	373.4	281.6	349.2	396.9	343.9	343.8	229.0	153.8	148.5	172.0	181.3	202.9	235.2	426.7	470.6	322.5	296.0	828.3	9999.9	9999.9	9999.9	 1627	77.22	60.22	57.54	40.62	29.18	24.82	23.30	22.95	14.35	17.33	13.96	15.35	15.42	13.66	10.65	10.28	10.55	8.222	7.349	6.193	5.066	6.390	4.517	6.669	4.256	5.230	5.119	6.908
305.0	407.3	386.4	348.0	378.8	384.2	499.0	388.5	338.0	204.5	186.5	218.1	202.7	244.2	302.0	378.5	648.6	602.9	398.8	273.7	803.6	9999.9	9999.9	9999.9	 1866	99.64	75.12	57.62	45.53	34.03	28.52	23.03	22.63	19.81	14.88	16.05	14.12	13.69	10.05	10.13	10.49	7.226	6.862	7.329	8.086	7.410	6.294	5.189	5.035	3.676	5.086	5.484
310.0	439.3	577.4	580.3	464.6	527.7	477.3	463.5	363.0	254.4	245.8	236.1	266.2	303.0	380.3	452.9	578.1	918.1	643.9	351.6	281.7	813.4	9999.9	9999.9	9999.9	 1947	106.2	81.64	64.79	58.35	31.33	28.89	24.90	19.24	18.31	21.78	18.61	14.50	12.95	10.28	13.04	9.960	8.921	7.696	8.434	8.111	6.789	6.112	6.038	6.693	4.470	5.330
315.0	599.4	542.7	561.1	489.2	498.8	549.4	614.4	411.2	318.8	283.8	312.2	322.7	370.2	446.7	561.2	615.1	799.5	973.3	512.5	319.5	262.3	842.7	9999.9	9999.9	9999.9	 1745	109.9	91.92	75.17	48.05	36.13	32.16	24.91	23.80	18.17	18.39	14.67	13.60	14.02	11.90	9.037	8.687	8.231	8.128	5.994	7.756	6.374	7.544	5.394	7.364	5.678
320.0	600.9	564.9	560.1	606.5	714.1	646.8	696.2	538.1	392.5	298.3	340.2	392.9	467.6	528.1	627.3	776.5	830.2	909.6	912.4	479.7	277.8	271.1	867.4	9999.9	9999.9	9999.9	 1818	131.0	96.22	77.15	62.08	37.68	32.04	27.59	24.01	20.15	17.71	16.09	12.78	12.72	10.32	11.58	9.060	9.299	8.159	6.994	8.560	7.055	7.950	7.401	6.976
