Sample:	'SLABO1-5-5-320
File name:	3H7.FD3
Run Date:	17:37:00, 08/24/2022
Operator:	Administrator
Comment:	'

Instrument
Model:	F-7000 FL Spectrophotometer
Serial Number:	2354-007
ROM Version:	5J14000 06

Instrument Parameters
Measurement type:	3-D Scan
Data mode:	Fluorescence
EX  Start WL:	200.0 nm
EX  End WL:	450.0 nm
EX Sampling Interval:	5.0 nm
EM  Start WL:	280.0 nm
EM  End WL:	550.0 nm
EM Sampling Interval:	5.0 nm
Scan speed:	12000 nm/min
EX Slit:	5.0 nm
EM Slit:	5.0 nm
PMT Voltage:	700 V
Response:	Auto 
Corrected spectra:	Off
Shutter control:	On
Contour interval:	25.000

Peak integration
Integration method:	Rectangular
Sensitivity:	1
Threshold:	1.000

Peaks
No.	ApexEX/EM(nm)	Height(Data)
300.0	850.1	675.1	497.6	492.5	611.4	625.9	545.0	333.6	194.7	225.4	259.9	231.8	254.8	264.1	584.2	607.2	325.9	272.7	784.9	9999.9	9999.9	9999.9	 1277	44.84	39.41	28.01	20.29	17.95	10.27	9.511	10.59	9.103	7.770	8.476	8.314	5.239	6.028	6.035	4.859	6.086	6.445	4.890	3.903	4.947	4.937	4.236	3.448	3.407	4.625	3.400	3.960
305.0	672.3	483.9	571.0	605.7	720.4	651.0	534.6	383.5	221.9	201.6	252.7	248.1	233.7	292.5	398.2	846.7	731.2	322.1	242.0	753.1	9999.9	9999.9	9999.9	 1422	52.70	39.78	38.76	27.48	18.38	15.25	12.13	8.543	12.17	10.10	9.099	8.006	6.459	6.083	5.902	6.357	4.765	4.652	4.985	4.708	4.999	4.142	4.070	3.991	3.933	4.620	4.340
310.0	825.4	640.7	560.3	680.2	749.0	764.6	616.8	443.8	268.0	231.1	244.8	249.7	283.8	358.3	434.7	577.6	994.5	617.1	257.4	195.4	733.0	9999.9	9999.9	9999.9	 1403	61.60	44.67	34.47	27.14	18.84	14.46	14.04	11.48	10.83	9.029	10.25	6.673	6.950	5.756	5.662	6.899	4.672	6.753	5.690	4.532	4.255	4.935	4.088	4.339	4.823	5.363
315.0	670.8	622.6	564.8	623.0	645.1	812.2	679.0	448.8	302.0	241.5	214.3	268.6	278.5	363.6	456.2	520.9	703.9	987.2	434.4	181.2	146.1	731.3	9999.9	9999.9	9999.9	 1236	64.96	48.74	39.65	32.54	19.87	15.37	13.34	10.70	11.50	12.57	8.603	7.787	7.949	6.858	6.909	6.794	6.125	6.931	4.525	5.378	5.800	4.546	4.051	4.691	5.507
320.0	562.0	651.3	524.8	602.9	626.7	780.2	741.4	498.8	375.4	243.6	263.4	271.5	317.5	397.1	478.8	534.9	554.6	690.6	834.2	295.8	127.5	132.9	750.4	9999.9	9999.9	9999.9	 1190	69.54	46.40	38.19	26.12	21.36	15.39	14.06	11.57	13.07	10.09	8.574	7.619	6.539	7.529	7.515	6.771	5.795	5.523	5.547	4.114	4.660	4.281	4.847	4.359
325.0	465.6	524.1	471.1	506.8	651.3	787.6	711.1	554.5	355.2	274.6	231.3	291.6	317.2	378.2	496.9	549.1	564.1	539.4	706.7	655.4	197.0	114.9	139.3	735.4	9999.9	9999.9	9999.9	 1266	75.56	51.48	43.53	31.80	21.88	19.20	14.71	12.15	9.861	8.545	8.162	7.710	6.527	6.743	6.500	4.725	5.627	5.499	5.653	4.774	5.451	5.630	5.772
330.0	603.9	458.0	492.3	480.5	671.5	812.2	863.8	591.2	403.7	283.3	275.9	286.0	328.6	411.0	484.5	538.8	568.8	549.9	445.6	651.4	509.6	156.6	116.9	137.7	723.4	9999.9	9999.9	9999.9	 1225	79.10	55.68	42.94	33.06	22.51	18.39	13.62	12.81	12.26	8.667	9.989	6.748	5.380	5.821	6.025	5.815	6.415	5.532	5.536	6.393	4.968	5.213
335.0	453.2	549.3	496.2	470.9	659.3	767.2	742.0	595.1	428.6	294.6	286.3	296.6	320.9	404.9	452.9	549.4	596.6	520.1	437.2	360.5	564.1	392.4	130.4	102.7	130.6	737.5	9999.9	9999.9	9999.9	 1254	83.83	59.69	46.73	31.26	22.90	16.82	13.30	11.01	9.876	6.279	6.571	7.522	6.000	6.603	5.889	5.052	5.268	6.163	5.724	5.363	5.494
340.0	535.3	464.3	438.3	526.8	654.4	706.1	751.8	578.0	412.1	305.3	302.6	288.0	331.2	386.6	481.3	525.4	551.6	498.4	419.9	314.9	294.9	580.6	276.8	109.3	95.35	129.9	731.5	9999.9	9999.9	9999.9	 1410	89.19	59.76	45.18	37.84	24.67	19.01	15.00	11.56	8.639	9.672	6.641	6.151	6.010	5.112	5.695	6.691	4.396	5.421	4.946	4.526
345.0	389.2	510.0	467.2	400.9	616.2	610.7	700.8	572.8	456.4	331.0	302.4	296.5	326.7	387.6	479.0	537.4	526.9	519.8	439.4	348.8	254.9	306.8	533.7	215.1	115.1	106.2	131.6	727.0	9999.9	9999.9	9999.9	 1547	90.91	67.13	47.63	34.77	25.16	17.58	12.52	9.617	8.969	7.371	7.731	7.273	5.790	5.981	4.708	5.360	5.903	5.796	5.862
