Sample:	'SLABO1-5-5-320
File name:	3H8.FD3
Run Date:	17:16:38, 08/24/2022
Operator:	Administrator
Comment:	'

Instrument
Model:	F-7000 FL Spectrophotometer
Serial Number:	2354-007
ROM Version:	5J14000 06

Instrument Parameters
Measurement type:	3-D Scan
Data mode:	Fluorescence
EX  Start WL:	200.0 nm
EX  End WL:	450.0 nm
EX Sampling Interval:	5.0 nm
EM  Start WL:	280.0 nm
EM  End WL:	550.0 nm
EM Sampling Interval:	5.0 nm
Scan speed:	12000 nm/min
EX Slit:	5.0 nm
EM Slit:	5.0 nm
PMT Voltage:	700 V
Response:	Auto 
Corrected spectra:	Off
Shutter control:	On
Contour interval:	25.000

Peak integration
Integration method:	Rectangular
Sensitivity:	1
Threshold:	1.000

Peaks
No.	ApexEX/EM(nm)	Height(Data)
1	205.0/470.0	264.2
2	210.0/335.0	573.8
3	210.0/505.0	170.2
4	210.0/525.0	142.4
5	210.0/540.0	99.06
6	215.0/340.0	599.8
7	215.0/415.0	456.3
8	215.0/450.0	369.7
9	215.0/495.0	229.7
10	220.0/310.0	730.0
11	220.0/395.0	505.6
12	220.0/475.0	252.0
13	220.0/500.0	208.0
14	225.0/305.0	723.7
15	225.0/350.0	631.4
16	225.0/375.0	494.4
17	225.0/390.0	499.5
18	225.0/400.0	483.2
19	225.0/490.0	234.1
20	225.0/505.0	202.9
21	225.0/520.0	159.3
22	230.0/330.0	752.3
23	230.0/370.0	592.8
24	230.0/385.0	520.4
25	230.0/410.0	542.0
26	230.0/480.0	277.9
27	230.0/495.0	247.0
28	230.0/510.0	192.4
29	230.0/535.0	145.0
30	235.0/395.0	514.2
31	235.0/405.0	517.2
32	235.0/490.0	260.7
33	235.0/500.0	234.9
34	235.0/545.0	118.7
35	240.0/390.0	506.2
36	240.0/400.0	513.3
37	240.0/415.0	535.3
38	240.0/435.0	506.6
39	240.0/450.0	476.7
40	240.0/520.0	160.5
41	240.0/530.0	131.2
42	245.0/405.0	529.0
43	250.0/310.0	243.0
44	250.0/420.0	509.9
45	255.0/295.0	222.2
46	255.0/370.0	414.0
47	255.0/425.0	502.2
48	255.0/435.0	512.6
49	255.0/445.0	473.4
50	255.0/465.0	419.5
51	260.0/420.0	511.6
52	260.0/450.0	464.4
53	265.0/405.0	493.9
54	265.0/455.0	456.4
55	270.0/395.0	481.6
56	270.0/410.0	483.9
57	270.0/435.0	509.2
58	270.0/485.0	330.0
59	275.0/305.0	799.7
60	275.0/350.0	510.0
61	275.0/370.0	501.6
62	275.0/415.0	497.2
63	275.0/455.0	452.3
64	280.0/310.0	964.7
65	280.0/330.0	549.5
66	280.0/395.0	503.1
67	280.0/410.0	489.0
68	280.0/425.0	499.2
69	285.0/315.0	994.1
70	285.0/355.0	516.3
71	285.0/375.0	489.4
72	290.0/320.0	823.8
73	290.0/385.0	462.2
74	290.0/405.0	479.6
75	295.0/330.0	635.6
76	295.0/410.0	492.0
77	300.0/335.0	567.8
78	305.0/340.0	544.4
79	310.0/345.0	543.6
80	310.0/395.0	468.0
81	310.0/445.0	380.6
82	315.0/350.0	490.0
83	315.0/405.0	483.6
84	320.0/360.0	497.3
85	320.0/395.0	468.3
86	325.0/365.0	521.3
87	325.0/415.0	519.0
88	325.0/425.0	518.5
89	325.0/435.0	506.0
90	330.0/370.0	521.1
91	335.0/375.0	493.2
92	340.0/385.0	486.5
93	345.0/390.0	493.6
94	350.0/395.0	482.3
95	355.0/405.0	439.6
96	360.0/410.0	451.8
97	365.0/415.0	432.8
98	370.0/305.0	8.444
99	370.0/425.0	395.6
100	375.0/430.0	372.1
101	380.0/435.0	328.9
102	390.0/450.0	249.2
103	395.0/455.0	223.0
104	400.0/305.0	6.421
105	400.0/460.0	190.7
106	405.0/470.0	169.1
107	410.0/475.0	147.9
108	415.0/305.0	5.123
109	420.0/490.0	111.9
110	425.0/335.0	5.754
111	425.0/495.0	99.60
