Sample:	'SLABO1-5-5-320
File name:	2N7.FD3
Run Date:	15:37:11, 08/17/2022
Operator:	Administrator
Comment:	'

Instrument
Model:	F-7000 FL Spectrophotometer
Serial Number:	2354-007
ROM Version:	5J14000 06

Instrument Parameters
Measurement type:	3-D Scan
Data mode:	Fluorescence
EX  Start WL:	200.0 nm
EX  End WL:	450.0 nm
EX Sampling Interval:	5.0 nm
EM  Start WL:	280.0 nm
EM  End WL:	550.0 nm
EM Sampling Interval:	5.0 nm
Scan speed:	12000 nm/min
EX Slit:	5.0 nm
EM Slit:	5.0 nm
PMT Voltage:	700 V
Response:	Auto 
Corrected spectra:	Off
Shutter control:	On
Contour interval:	25.000

Peak integration
Integration method:	Rectangular
Sensitivity:	1
Threshold:	1.000

Peaks
No.	ApexEX/EM(nm)	Height(Data)
1	205.0/305.0	 1020
2	225.0/545.0	192.6
3	230.0/345.0	 2860
4	240.0/380.0	 2049
5	240.0/395.0	 1961
6	245.0/385.0	 2085
7	245.0/405.0	 1999
8	250.0/390.0	 2038
9	255.0/425.0	 1990
10	270.0/440.0	 2041
11	275.0/400.0	 2188
12	275.0/410.0	 2185
13	275.0/420.0	 2128
14	280.0/310.0	 1885
15	280.0/345.0	 2675
16	280.0/365.0	 2663
17	280.0/430.0	 2041
18	285.0/355.0	 2624
19	310.0/400.0	 1836
20	320.0/410.0	 1901
21	325.0/415.0	 1872
22	330.0/420.0	 1854
23	365.0/295.0	2.855
24	400.0/300.0	3.842
25	410.0/350.0	4.890
26	415.0/310.0	4.060
27	430.0/345.0	6.356
28	435.0/310.0	5.455
29	440.0/355.0	8.012
30	445.0/345.0	8.414
31	445.0/360.0	9.170

Data Points
325.0	565.6	837.8	888.7	 1254	 1373	 1951	 2090	 1575	 1025	889.1	930.4	 1108	 1200	 1465	 1776	 1995	 2021	 1875	 1664	 1259	620.8	353.3	252.4	527.8	 5970	9999.9	9999.9	516.5	23.13	15.62	9.837	8.368	7.521	5.935	4.857	3.847	3.595	3.335	4.130	2.940	2.546	3.014	3.525	3.686	3.607	3.719	3.623	5.853	5.655	4.887	7.779
330.0	500.0	968.4	848.0	 1252	 1594	 2300	 2377	 1925	 1328	 1056	 1091	 1198	 1355	 1588	 1963	 2193	 2261	 2111	 1689	 1465	 1018	527.9	341.8	250.3	522.8	 5698	9999.9	9999.9	494.8	22.81	15.75	11.61	10.27	6.940	6.633	5.182	5.065	4.175	3.647	3.793	2.577	3.827	3.156	3.385	3.006	2.674	4.123	5.699	4.927	6.352	7.132
335.0	434.3	767.5	 1150	 1254	 1709	 2231	 2468	 1973	 1428	 1111	 1142	 1222	 1423	 1683	 1981	 2291	 2478	 2234	 1853	 1398	 1237	853.2	470.3	324.3	253.9	510.0	 5675	9999.9	9999.9	509.6	25.67	16.63	11.46	9.591	6.265	5.255	3.359	3.883	3.283	3.745	2.933	2.921	3.789	3.504	2.639	3.470	4.438	4.015	6.032	7.749	7.730
340.0	513.5	748.9	966.2	 1119	 1551	 2255	 2563	 2295	 1517	 1327	 1289	 1382	 1526	 1795	 2089	 2350	 2569	 2456	 2064	 1519	 1135	 1126	723.3	437.1	308.4	254.0	504.9	 5143	9999.9	9999.9	561.9	28.15	16.55	14.16	9.148	7.885	4.664	4.571	4.148	2.633	3.859	4.566	3.812	3.829	3.699	3.845	4.354	4.479	5.166	7.368	8.419
345.0	435.6	576.8	878.0	 1055	 1704	 2427	 2860	 2361	 1785	 1426	 1300	 1363	 1564	 1799	 2173	 2424	 2675	 2517	 2220	 1638	 1205	 1017	 1071	661.1	467.6	348.8	263.8	482.8	 5085	9999.9	9999.9	579.5	24.40	16.56	11.70	9.802	6.140	4.231	3.614	3.783	4.109	2.750	3.416	2.627	4.063	4.765	6.356	4.829	6.234	8.414	7.921
350.0	355.7	698.1	969.7	 1109	 1744	 2299	 2450	 2422	 1880	 1517	 1393	 1536	 1723	 1903	 2229	 2493	 2646	 2579	 2339	 1761	 1305	 1053	 1039	 1004	610.2	471.8	371.8	303.9	489.5	 4807	9999.9	9999.9	556.5	27.23	16.58	11.11	8.338	5.093	5.705	4.198	2.457	3.915	4.890	4.769	2.450	4.337	3.847	4.770	5.509	8.316	8.560
355.0	407.2	614.2	943.7	 1158	 1564	 2270	 2514	 2338	 1962	 1695	 1547	 1641	 1798	 2069	 2384	 2467	 2613	 2624	 2402	 1885	 1497	 1197	 1056	 1088	976.5	656.7	510.0	397.1	308.3	475.7	 4486	9999.9	9999.9	574.7	23.94	16.44	13.29	7.352	6.699	3.854	4.272	3.470	3.662	2.875	4.316	3.709	4.290	4.752	8.012	6.660	7.878
360.0	417.0	653.0	870.3	 1091	 1672	 2192	 2315	 2283	 1962	 1770	 1697	 1741	 1899	 2037	 2381	 2498	 2636	 2591	 2410	 1971	 1584	 1315	 1172	 1110	 1182	961.8	662.4	537.5	411.2	290.8	457.8	 4698	9999.9	9999.9	534.6	24.08	16.55	10.84	8.946	6.112	4.313	3.692	4.655	3.623	3.123	3.889	4.413	5.322	5.739	9.170	6.731
365.0	364.0	701.2	780.6	 1075	 1545	 2010	 2088	 2180	 2123	 1941	 1737	 1756	 1789	 2144	 2360	 2500	 2663	 2552	 2392	 1973	 1662	 1508	 1356	 1213	 1171	 1228	987.5	712.5	527.2	392.3	285.6	456.2	 4498	9999.9	9999.9	561.5	22.50	16.79	11.79	7.086	5.995	4.599	4.461	5.279	3.627	3.799	3.857	5.060	5.504	7.333	7.475
370.0	361.1	519.6	814.6	 1001	 1448	 1878	 2133	 2042	 2097	 1957	 1865	 1906	 1924	 2049	 2310	 2493	 2625	 2479	 2345	 2029	 1738	 1591	 1447	 1328	 1270	 1274	 1261	954.5	688.9	512.0	382.1	271.1	433.9	 4529	9999.9	9999.9	529.0	23.54	15.81	7.369	7.479	5.520	4.973	4.579	3.689	4.624	3.512	4.974	5.699	4.948	7.318
