Sample:	'SLABO1-5-5-320
File name:	3H4.FD3
Run Date:	17:00:04, 08/24/2022
Operator:	Administrator
Comment:	'

Instrument
Model:	F-7000 FL Spectrophotometer
Serial Number:	2354-007
ROM Version:	5J14000 06

Instrument Parameters
Measurement type:	3-D Scan
Data mode:	Fluorescence
EX  Start WL:	200.0 nm
EX  End WL:	450.0 nm
EX Sampling Interval:	5.0 nm
EM  Start WL:	280.0 nm
EM  End WL:	550.0 nm
EM Sampling Interval:	5.0 nm
Scan speed:	12000 nm/min
EX Slit:	5.0 nm
EM Slit:	5.0 nm
PMT Voltage:	700 V
Response:	Auto 
Corrected spectra:	Off
Shutter control:	On
Contour interval:	25.000

Peak integration
Integration method:	Rectangular
Sensitivity:	1
Threshold:	1.000

Peaks
No.	ApexEX/EM(nm)	Height(Data)
1	205.0/315.0	781.1
2	205.0/330.0	665.1
3	205.0/340.0	610.9
4	210.0/355.0	563.0
5	210.0/365.0	588.0
6	215.0/395.0	627.9
7	215.0/470.0	422.0
8	215.0/500.0	292.7
9	215.0/525.0	199.1
10	220.0/305.0	869.7
11	220.0/315.0	782.8
12	220.0/435.0	723.4
13	220.0/460.0	517.2
14	220.0/480.0	391.4
15	220.0/520.0	230.9
16	225.0/300.0	831.8
17	225.0/325.0	884.1
18	225.0/350.0	799.6
19	225.0/410.0	871.3
20	225.0/490.0	360.4
21	225.0/500.0	335.7
22	225.0/525.0	236.7
23	230.0/330.0	838.7
24	230.0/340.0	845.3
25	230.0/355.0	821.9
26	230.0/375.0	682.7
27	230.0/390.0	785.8
28	230.0/415.0	775.7
29	230.0/435.0	704.7
30	230.0/540.0	156.3
31	235.0/505.0	321.2
32	240.0/395.0	760.6
33	240.0/405.0	780.6
34	240.0/420.0	827.7
35	240.0/445.0	718.7
36	245.0/365.0	629.1
37	245.0/400.0	754.5
38	245.0/435.0	762.3
39	245.0/510.0	315.1
40	250.0/380.0	682.1
41	250.0/405.0	781.6
42	250.0/425.0	806.0
43	255.0/315.0	355.5
44	255.0/340.0	439.6
45	255.0/430.0	774.2
46	255.0/460.0	691.3
47	260.0/390.0	673.5
48	260.0/435.0	808.3
49	260.0/465.0	700.0
50	265.0/290.0	345.3
51	265.0/430.0	833.1
52	270.0/440.0	848.2
53	270.0/460.0	774.1
54	270.0/490.0	528.4
55	275.0/305.0	728.1
56	275.0/350.0	609.1
57	275.0/385.0	678.8
58	275.0/425.0	828.5
59	280.0/310.0	896.4
60	280.0/340.0	619.5
61	280.0/360.0	642.0
62	280.0/420.0	837.2
63	280.0/435.0	828.0
64	280.0/445.0	837.0
65	280.0/485.0	535.3
66	285.0/315.0	849.8
67	285.0/395.0	738.4
68	285.0/410.0	804.4
69	290.0/320.0	778.9
70	300.0/335.0	609.5
71	305.0/340.0	594.0
72	305.0/415.0	722.3
73	310.0/345.0	573.1
74	315.0/350.0	522.0
75	315.0/425.0	729.7
76	320.0/360.0	557.6
77	325.0/365.0	612.6
78	330.0/370.0	625.0
79	330.0/420.0	762.3
80	335.0/380.0	607.1
81	340.0/385.0	658.7
82	340.0/425.0	768.2
83	345.0/390.0	636.3
84	350.0/395.0	646.5
85	355.0/405.0	676.8
86	360.0/410.0	672.9
87	365.0/415.0	655.2
88	370.0/295.0	15.04
89	400.0/320.0	13.63
90	405.0/305.0	10.30
91	405.0/315.0	12.94
92	405.0/470.0	257.3
93	410.0/345.0	14.66
94	420.0/300.0	8.483
95	420.0/490.0	173.6
96	425.0/315.0	9.838
97	425.0/495.0	156.0
98	430.0/500.0	138.9
99	435.0/310.0	7.528
100	435.0/325.0	10.18
101	435.0/510.0	113.7
102	440.0/305.0	8.071
103	440.0/320.0	9.462
104	440.0/515.0	99.56

Data Points
