Sample:	'SLABO1-5-5-320
File name:	BlankSample.FD3
Run Date:	15:17:40, 08/24/2022
Operator:	Administrator
Comment:	'

Instrument
Model:	F-7000 FL Spectrophotometer
Serial Number:	2354-007
ROM Version:	5J14000 06

Instrument Parameters
Measurement type:	3-D Scan
Data mode:	Fluorescence
EX  Start WL:	200.0 nm
EX  End WL:	450.0 nm
EX Sampling Interval:	5.0 nm
EM  Start WL:	280.0 nm
EM  End WL:	550.0 nm
EM Sampling Interval:	5.0 nm
Scan speed:	12000 nm/min
EX Slit:	5.0 nm
EM Slit:	5.0 nm
PMT Voltage:	700 V
Response:	Auto 
Corrected spectra:	Off
Shutter control:	On
Contour interval:	25.000

Peak integration
Integration method:	Rectangular
Sensitivity:	1
Threshold:	1.000

Peaks
No.	ApexEX/EM(nm)	Height(Data)
1	205.0/365.0	179.6
2	205.0/425.0	120.7
3	205.0/440.0	145.2
4	205.0/515.0	54.75
5	210.0/305.0	478.4
6	210.0/350.0	247.2
7	210.0/370.0	172.9
8	210.0/390.0	201.2
9	210.0/415.0	160.1
10	210.0/445.0	131.1
11	210.0/495.0	80.66
12	210.0/525.0	52.53
13	210.0/540.0	62.65
14	215.0/375.0	180.8
15	215.0/410.0	161.6
16	215.0/455.0	117.8
17	215.0/470.0	93.71
18	215.0/485.0	82.91
19	215.0/545.0	55.45
20	220.0/295.0	488.4
21	220.0/305.0	443.5
22	220.0/325.0	289.3
23	220.0/335.0	283.7
24	220.0/365.0	166.0
25	220.0/435.0	132.5
26	220.0/475.0	84.30
27	220.0/500.0	68.51
28	225.0/300.0	447.1
29	225.0/340.0	253.4
30	225.0/485.0	84.18
31	225.0/525.0	49.98
32	225.0/535.0	38.77
33	230.0/325.0	313.4
34	230.0/360.0	197.9
35	230.0/370.0	179.0
36	230.0/395.0	143.8
37	230.0/410.0	148.9
38	230.0/445.0	117.7
39	230.0/500.0	72.22
40	230.0/520.0	48.63
41	230.0/530.0	44.02
42	235.0/385.0	140.1
43	235.0/405.0	131.1
44	235.0/430.0	125.1
45	235.0/510.0	38.86
46	235.0/535.0	29.56
47	240.0/350.0	169.0
48	240.0/375.0	139.3
49	240.0/395.0	150.2
50	240.0/415.0	126.8
51	240.0/435.0	105.3
52	245.0/340.0	166.8
53	245.0/385.0	153.8
54	245.0/410.0	122.7
55	250.0/295.0	167.3
56	250.0/315.0	153.6
57	250.0/335.0	155.0
58	250.0/355.0	148.5
59	250.0/395.0	136.5
60	250.0/420.0	126.0
61	250.0/440.0	118.3
62	250.0/530.0	37.68
63	255.0/300.0	166.6
64	255.0/320.0	169.2
65	255.0/350.0	141.9
66	255.0/385.0	128.8
67	255.0/405.0	109.6
68	255.0/435.0	111.5
69	255.0/465.0	86.36
70	255.0/480.0	72.93
71	255.0/490.0	55.50
72	255.0/540.0	30.99
73	260.0/285.0	188.9
74	260.0/325.0	154.1
75	260.0/355.0	134.3
76	260.0/365.0	124.2
77	260.0/500.0	56.17
78	265.0/290.0	314.3
79	265.0/345.0	137.2
80	265.0/430.0	90.64
81	265.0/490.0	61.52
82	265.0/525.0	41.98
83	270.0/380.0	104.5
84	270.0/410.0	94.42
85	270.0/440.0	95.36
86	270.0/495.0	57.79
87	275.0/305.0	586.5
88	275.0/390.0	105.2
89	275.0/405.0	103.0
90	275.0/430.0	79.99
91	275.0/465.0	67.44
92	275.0/510.0	43.30
93	280.0/310.0	703.2
94	280.0/380.0	106.8
95	280.0/415.0	90.65
96	280.0/425.0	81.08
97	280.0/455.0	69.57
98	285.0/315.0	648.1
99	285.0/375.0	106.5
100	285.0/420.0	86.26
101	285.0/510.0	38.66
102	285.0/525.0	27.56
103	290.0/320.0	561.4
104	290.0/400.0	96.66
105	290.0/410.0	88.23
106	290.0/440.0	69.73
107	290.0/455.0	67.10
108	290.0/530.0	22.42
109	295.0/325.0	433.6
110	295.0/415.0	84.17
111	295.0/460.0	58.47
112	300.0/335.0	416.3
113	300.0/405.0	84.30
114	300.0/440.0	73.94
115	305.0/340.0	398.8
116	305.0/435.0	67.69
117	310.0/345.0	386.3
118	310.0/515.0	20.92
119	315.0/350.0	331.1
120	315.0/380.0	64.75
121	315.0/410.0	68.90
122	315.0/420.0	71.20
123	315.0/430.0	64.78
124	315.0/445.0	60.85
125	320.0/360.0	299.2
126	320.0/390.0	63.55
127	320.0/405.0	69.38
128	320.0/415.0	69.52
129	320.0/495.0	27.24
130	325.0/365.0	289.9
131	325.0/530.0	15.92
132	330.0/370.0	275.7
133	330.0/420.0	63.21
134	335.0/375.0	241.7
135	335.0/445.0	58.26
136	335.0/490.0	29.58
137	340.0/385.0	211.7
138	340.0/410.0	52.58
139	340.0/440.0	53.52
140	340.0/520.0	17.26
141	345.0/390.0	218.5
142	345.0/470.0	38.12
143	350.0/395.0	207.3
144	350.0/435.0	49.32
145	350.0/485.0	30.01
146	350.0/500.0	24.25
147	350.0/520.0	20.36
148	355.0/400.0	191.6
149	355.0/505.0	22.37
150	360.0/310.0	5.496
151	360.0/410.0	189.5
152	365.0/415.0	181.5
153	365.0/435.0	46.23
154	365.0/535.0	12.63
155	370.0/420.0	155.0
156	375.0/430.0	135.4
157	380.0/435.0	119.0
158	380.0/535.0	12.30
159	385.0/440.0	103.2
160	390.0/450.0	87.11
161	390.0/530.0	10.04
162	395.0/455.0	76.95
163	395.0/505.0	13.76
164	400.0/460.0	66.54
165	400.0/535.0	7.611
166	405.0/315.0	3.824
167	405.0/435.0	12.66
168	405.0/465.0	58.44
169	410.0/475.0	51.69
170	415.0/315.0	3.524
171	415.0/350.0	4.314
172	415.0/480.0	44.61
173	420.0/355.0	3.390
174	420.0/490.0	36.41
175	425.0/495.0	35.50
176	430.0/500.0	32.49
177	430.0/525.0	7.391
178	435.0/310.0	2.681
179	435.0/510.0	30.42
180	440.0/325.0	2.927
181	440.0/515.0	28.45
182	445.0/300.0	3.165
183	445.0/485.0	7.078
184	445.0/520.0	23.34

Data Points
	200.0	205.0	210.0	215.0	220.0	225.0	230.0	235.0	240.0	245.0	250.0	255.0	260.0	265.0	270.0	275.0	280.0	285.0	290.0	295.0	300.0	305.0	310.0	315.0	320.0	325.0	330.0	335.0	340.0	345.0	350.0	355.0	360.0	365.0	370.0	375.0	380.0	385.0	390.0	395.0	400.0	405.0	410.0	415.0	420.0	425.0	430.0	435.0	440.0	445.0	450.0
280.0	61.82	52.16	40.01	69.08	34.77	44.62	27.49	8.107	16.16	21.91	52.01	75.43	40.48	15.44	12.91	542.2	 3284	 1497	41.54	5.942	6.617	5.596	4.163	3.090	2.857	2.643	2.322	3.625	3.085	1.341	1.553	2.623	1.677	1.127	1.727	1.158	1.959	0.913	1.740	0.967	1.582	1.386	0.892	0.561	0.760	1.283	1.380	0.724	0.853	0.937	1.230
285.0	274.6	172.9	167.7	145.2	143.2	167.8	97.93	64.44	32.28	64.91	98.33	135.0	188.9	83.69	29.56	58.07	 1283	 8906	 5319	328.1	6.781	8.932	6.994	6.908	4.179	3.723	2.216	2.436	2.111	2.639	2.003	2.270	2.140	1.982	2.552	1.972	2.613	2.520	1.860	1.734	1.506	1.699	1.755	0.700	1.467	0.983	1.600	1.364	1.093	1.561	1.311
