Sample:	'SLABO1-5-5-320
File name:	3H10.FD3
Run Date:	17:24:43, 08/24/2022
Operator:	Administrator
Comment:	'

Instrument
Model:	F-7000 FL Spectrophotometer
Serial Number:	2354-007
ROM Version:	5J14000 06

Instrument Parameters
Measurement type:	3-D Scan
Data mode:	Fluorescence
EX  Start WL:	200.0 nm
EX  End WL:	450.0 nm
EX Sampling Interval:	5.0 nm
EM  Start WL:	280.0 nm
EM  End WL:	550.0 nm
EM Sampling Interval:	5.0 nm
Scan speed:	12000 nm/min
EX Slit:	5.0 nm
EM Slit:	5.0 nm
PMT Voltage:	700 V
Response:	Auto 
Corrected spectra:	Off
Shutter control:	On
Contour interval:	25.000

Peak integration
Integration method:	Rectangular
Sensitivity:	1
Threshold:	1.000

Peaks
No.	ApexEX/EM(nm)	Height(Data)
1	205.0/310.0	652.4
2	205.0/320.0	644.8
3	205.0/340.0	535.3
4	205.0/365.0	451.8
5	205.0/385.0	509.8
6	205.0/430.0	447.4
7	205.0/445.0	398.3
8	205.0/475.0	266.4
9	210.0/330.0	574.4
10	210.0/345.0	566.3
11	210.0/370.0	529.8
12	210.0/380.0	526.6
13	210.0/415.0	550.7
14	210.0/465.0	341.4
15	210.0/515.0	192.5
16	210.0/535.0	138.4
17	215.0/300.0	617.6
18	215.0/335.0	692.9
19	215.0/400.0	579.7
20	220.0/310.0	675.2
21	220.0/455.0	484.7
22	220.0/505.0	260.1
23	220.0/545.0	102.8
24	225.0/305.0	739.7
25	225.0/325.0	686.5
26	225.0/335.0	662.6
27	225.0/345.0	639.7
28	225.0/360.0	602.7
29	225.0/395.0	607.9
30	225.0/420.0	570.8
31	225.0/465.0	432.1
32	225.0/525.0	174.1
33	225.0/535.0	178.9
34	230.0/330.0	644.2
35	230.0/380.0	576.0
36	230.0/405.0	591.6
37	230.0/425.0	566.0
38	230.0/435.0	584.3
39	230.0/515.0	207.9
40	235.0/360.0	528.0
41	235.0/400.0	585.1
42	235.0/420.0	561.5
43	235.0/430.0	612.4
44	235.0/510.0	265.6
45	240.0/370.0	505.4
46	240.0/390.0	579.6
47	240.0/405.0	633.8
48	240.0/425.0	584.3
49	240.0/435.0	556.3
50	245.0/320.0	378.1
51	245.0/385.0	521.2
52	245.0/395.0	569.3
53	245.0/420.0	584.4
54	245.0/430.0	579.4
55	245.0/450.0	539.0
56	245.0/540.0	141.5
57	250.0/305.0	266.5
58	250.0/330.0	355.0
59	250.0/375.0	495.3
60	250.0/390.0	528.0
61	250.0/425.0	601.0
62	250.0/475.0	415.3
63	255.0/325.0	355.6
64	255.0/415.0	589.4
65	255.0/535.0	163.5
66	260.0/310.0	274.7
67	260.0/340.0	379.2
68	260.0/445.0	587.3
69	260.0/465.0	529.3
70	265.0/290.0	305.0
71	265.0/410.0	598.4
72	265.0/430.0	595.3
73	270.0/300.0	473.6
74	270.0/365.0	456.0
75	270.0/450.0	587.3
76	270.0/505.0	341.2
77	275.0/305.0	598.7
78	275.0/325.0	414.4
79	275.0/360.0	447.6
80	275.0/390.0	528.1
81	275.0/425.0	623.1
82	275.0/440.0	629.5
83	280.0/310.0	757.7
84	280.0/345.0	449.7
85	280.0/430.0	616.2
86	280.0/445.0	616.3
87	285.0/315.0	782.3
88	285.0/350.0	450.4
89	285.0/360.0	450.6
90	285.0/400.0	581.7
91	285.0/415.0	596.3
92	290.0/320.0	696.3
93	290.0/370.0	467.4
94	290.0/425.0	601.2
95	300.0/335.0	554.8
96	305.0/340.0	558.2
97	305.0/415.0	557.5
98	310.0/345.0	525.6
99	315.0/350.0	487.0
100	315.0/405.0	578.4
101	315.0/435.0	552.4
102	320.0/360.0	520.9
103	320.0/415.0	601.4
104	325.0/365.0	566.6
105	325.0/430.0	589.1
106	330.0/370.0	554.8
107	330.0/420.0	613.7
108	335.0/375.0	542.8
109	335.0/425.0	603.2
110	340.0/385.0	560.2
111	345.0/390.0	560.2
112	350.0/395.0	551.9
113	355.0/405.0	550.4
114	360.0/410.0	558.6
115	365.0/305.0	22.88
116	365.0/415.0	546.1
117	370.0/420.0	515.4
118	375.0/430.0	474.0
119	390.0/450.0	327.0
120	395.0/455.0	295.6
121	405.0/330.0	16.72
122	410.0/475.0	197.5
123	420.0/320.0	11.20
124	425.0/495.0	142.3
125	430.0/345.0	12.22
126	435.0/315.0	9.812
127	440.0/330.0	10.50
128	440.0/345.0	10.88
129	440.0/360.0	12.03
130	445.0/520.0	81.84

Data Points
	200.0	205.0	210.0	215.0	220.0	225.0	230.0	235.0	240.0	245.0	250.0	255.0	260.0	265.0	270.0	275.0	280.0	285.0	290.0	295.0	300.0	305.0	310.0	315.0	320.0	325.0	330.0	335.0	340.0	345.0	350.0	355.0	360.0	365.0	370.0	375.0	380.0	385.0	390.0	395.0	400.0	405.0	410.0	415.0	420.0	425.0	430.0	435.0	440.0	445.0	450.0
280.0	135.6	53.19	63.46	52.62	96.23	44.75	59.97	23.70	24.01	25.90	63.76	71.88	54.10	18.80	20.77	 3614	9999.9	 7293	193.5	35.07	39.58	27.47	25.09	19.87	19.99	15.99	15.79	15.27	14.34	13.78	12.64	12.54	13.44	10.45	13.15	12.04	10.69	8.687	7.526	5.776	6.853	6.204	4.408	5.473	4.893	4.019	3.405	2.663	3.866	2.835	3.576
285.0	222.6	124.1	132.3	159.9	227.8	188.2	178.1	100.9	74.46	86.62	91.73	121.8	163.5	103.5	53.14	273.1	 8098	9999.9	9999.9	 1328	54.98	45.82	40.08	30.15	27.51	24.82	18.67	18.21	16.10	14.06	14.88	10.87	12.48	12.10	13.96	12.10	8.937	11.55	8.631	7.854	7.251	6.292	5.890	5.254	5.003	5.084	2.920	3.749	5.207	3.935	3.164
290.0	384.5	342.1	329.4	279.1	280.4	365.7	309.9	145.5	80.80	120.0	151.5	169.5	170.8	305.0	151.6	113.0	588.0	9999.9	9999.9	9999.9	 1742	74.60	55.95	49.04	41.79	30.57	27.70	20.44	20.09	15.70	16.88	15.48	14.18	14.19	17.14	11.32	11.24	9.147	11.67	9.937	9.800	8.135	8.619	6.088	6.082	4.885	5.198	3.991	6.063	4.546	5.905
295.0	674.4	402.7	361.3	466.2	509.8	514.4	404.0	213.6	143.2	173.4	203.0	200.8	189.6	291.7	396.6	197.7	178.9	775.9	9999.9	9999.9	9999.9	 2226	82.51	75.85	64.01	43.77	34.55	28.42	25.86	20.68	17.65	16.22	15.61	13.50	16.81	13.75	12.78	10.76	11.77	10.61	9.492	7.498	7.626	6.742	7.209	4.899	5.718	5.903	5.176	4.840	5.481
300.0	811.0	592.6	486.2	617.6	596.7	562.4	557.9	263.7	195.2	183.7	209.2	212.8	216.6	219.8	473.6	456.0	225.6	233.8	828.2	9999.9	9999.9	9999.9	 2313	101.1	77.86	71.00	60.11	37.10	25.15	28.56	19.83	20.35	18.55	18.16	16.23	16.20	12.00	12.51	12.99	10.55	9.036	8.929	8.371	8.392	5.250	6.624	6.722	6.558	5.945	7.040	5.577
305.0	756.3	632.1	559.9	559.6	590.5	739.7	510.7	352.8	284.1	213.5	266.5	241.7	215.0	256.2	302.1	598.7	515.6	243.5	229.7	810.0	9999.9	9999.9	9999.9	 2617	125.0	96.60	68.55	54.86	43.09	30.34	27.63	24.55	20.37	22.88	20.66	15.62	14.78	12.34	14.04	11.40	10.27	11.28	10.78	9.185	8.226	6.197	6.347	8.249	6.670	7.328	6.423
