Sample:	'SLABO1-5-5-320
File name:	3P9.FD3
Run Date:	16:29:07, 08/24/2022
Operator:	Administrator
Comment:	'

Instrument
Model:	F-7000 FL Spectrophotometer
Serial Number:	2354-007
ROM Version:	5J14000 06

Instrument Parameters
Measurement type:	3-D Scan
Data mode:	Fluorescence
EX  Start WL:	200.0 nm
EX  End WL:	450.0 nm
EX Sampling Interval:	5.0 nm
EM  Start WL:	280.0 nm
EM  End WL:	550.0 nm
EM Sampling Interval:	5.0 nm
Scan speed:	12000 nm/min
EX Slit:	5.0 nm
EM Slit:	5.0 nm
PMT Voltage:	700 V
Response:	Auto 
Corrected spectra:	Off
Shutter control:	On
Contour interval:	25.000

Peak integration
Integration method:	Rectangular
Sensitivity:	1
Threshold:	1.000

Peaks
No.	ApexEX/EM(nm)	Height(Data)
1	205.0/305.0	946.2
2	205.0/320.0	685.4
3	205.0/350.0	462.5
4	205.0/380.0	446.1
5	210.0/330.0	673.3
6	210.0/465.0	352.2
7	215.0/300.0	737.6
8	215.0/470.0	363.0
9	215.0/500.0	258.3
10	215.0/525.0	159.0
11	215.0/540.0	101.5
12	220.0/305.0	749.5
13	220.0/420.0	526.6
14	220.0/515.0	191.0
15	225.0/475.0	386.1
16	225.0/530.0	163.0
17	225.0/545.0	104.4
18	230.0/325.0	920.8
19	230.0/340.0	964.1
20	230.0/380.0	795.7
21	230.0/485.0	365.0
22	235.0/365.0	817.5
23	235.0/385.0	720.6
24	235.0/420.0	708.1
25	235.0/435.0	636.5
26	235.0/445.0	603.8
27	235.0/515.0	248.0
28	235.0/545.0	121.5
29	240.0/380.0	744.5
30	240.0/410.0	745.6
31	240.0/450.0	580.7
32	240.0/500.0	319.3
33	245.0/390.0	756.2
34	245.0/415.0	727.1
35	250.0/405.0	735.8
36	250.0/485.0	431.3
37	250.0/525.0	225.8
38	255.0/415.0	701.2
39	255.0/435.0	673.2
40	255.0/450.0	645.0
41	255.0/475.0	516.7
42	260.0/370.0	634.3
43	260.0/395.0	700.8
44	260.0/440.0	664.2
45	260.0/455.0	648.6
46	265.0/375.0	642.5
47	265.0/400.0	682.9
48	265.0/415.0	732.6
49	265.0/425.0	682.9
50	265.0/480.0	482.0
51	270.0/390.0	671.9
52	270.0/420.0	685.2
53	270.0/445.0	658.1
54	275.0/305.0	802.3
55	275.0/360.0	602.9
56	275.0/380.0	670.8
57	275.0/395.0	683.2
58	275.0/410.0	738.3
59	280.0/310.0	881.7
60	280.0/340.0	589.6
61	280.0/355.0	635.3
62	280.0/400.0	706.5
63	280.0/425.0	689.7
64	285.0/315.0	877.4
65	285.0/375.0	656.6
66	290.0/320.0	799.7
67	290.0/360.0	596.2
68	295.0/325.0	669.9
69	295.0/395.0	619.2
70	300.0/335.0	675.0
71	300.0/485.0	312.8
72	305.0/340.0	621.9
73	310.0/345.0	596.5
74	310.0/400.0	594.2
75	315.0/350.0	565.3
76	315.0/390.0	579.7
77	320.0/360.0	573.7
78	320.0/415.0	585.2
79	325.0/365.0	595.1
80	325.0/405.0	588.2
81	325.0/425.0	575.9
82	330.0/370.0	611.1
83	330.0/410.0	594.6
84	330.0/420.0	577.5
85	335.0/375.0	575.3
86	340.0/385.0	574.3
87	340.0/430.0	551.9
88	345.0/390.0	578.2
89	350.0/395.0	543.3
90	355.0/405.0	526.0
91	360.0/410.0	546.0
92	365.0/415.0	522.2
93	370.0/420.0	482.1
94	375.0/290.0	6.378
95	375.0/310.0	9.091
96	375.0/430.0	446.4
97	380.0/435.0	389.0
98	385.0/315.0	7.713
99	390.0/320.0	8.469
100	390.0/450.0	308.4
101	395.0/455.0	270.0
102	400.0/460.0	239.0
103	405.0/470.0	209.4
104	410.0/305.0	6.084
105	410.0/475.0	178.0
106	415.0/320.0	5.557
107	415.0/480.0	161.9
108	420.0/330.0	6.585
109	420.0/490.0	140.8
110	425.0/495.0	124.3
111	430.0/310.0	4.905
112	430.0/360.0	7.082
113	430.0/500.0	113.8
114	435.0/335.0	5.415
115	440.0/375.0	5.740
116	440.0/515.0	83.95
117	445.0/300.0	4.929
118	445.0/335.0	6.157

Data Points
	200.0	205.0	210.0	215.0	220.0	225.0	230.0	235.0	240.0	245.0	250.0	255.0	260.0	265.0	270.0	275.0	280.0	285.0	290.0	295.0	300.0	305.0	310.0	315.0	320.0	325.0	330.0	335.0	340.0	345.0	350.0	355.0	360.0	365.0	370.0	375.0	380.0	385.0	390.0	395.0	400.0	405.0	410.0	415.0	420.0	425.0	430.0	435.0	440.0	445.0	450.0
280.0	175.8	91.68	47.66	74.09	64.71	93.91	52.33	24.87	13.25	21.44	63.69	92.84	48.88	33.53	15.21	 1667	 9933	 3865	108.4	21.05	14.26	17.64	12.74	13.06	7.174	5.892	7.349	5.885	6.289	4.094	4.443	3.104	5.240	4.987	3.779	2.707	3.459	2.928	4.765	2.918	2.824	1.533	1.647	2.829	1.427	1.752	1.407	2.267	1.460	1.790	1.552
285.0	405.2	306.0	246.3	217.7	246.6	181.6	138.8	83.40	46.80	67.53	135.7	146.9	211.0	137.8	65.76	164.8	 3850	9999.9	9999.9	790.3	22.19	21.84	20.53	15.01	8.813	9.321	8.772	6.792	7.308	5.893	5.394	3.949	5.554	4.590	3.799	4.468	3.236	2.553	3.554	2.747	2.782	3.201	2.009	2.663	2.208	2.030	2.250	2.367	1.387	2.582	2.119
290.0	603.1	591.4	472.8	452.8	437.1	429.9	325.3	145.4	135.4	143.6	153.6	172.4	217.3	368.9	191.5	120.4	321.8	 8352	9999.9	9999.9	 1023	34.08	27.08	22.84	15.80	13.74	7.532	7.404	7.006	6.808	6.545	5.257	5.971	6.004	5.000	6.378	4.403	4.623	4.309	4.647	3.872	3.453	3.295	3.669	2.100	3.067	2.544	3.156	2.548	2.795	3.058
295.0	978.6	609.7	607.3	627.3	706.7	666.8	413.3	220.3	157.4	164.1	209.3	219.0	203.6	372.4	485.4	234.5	149.5	628.8	9999.9	9999.9	9999.9	 1166	43.65	29.26	26.04	19.08	11.97	13.63	12.33	8.743	8.366	7.016	6.216	6.269	5.922	5.842	4.371	5.299	5.862	4.441	4.903	3.618	4.049	3.660	3.531	3.534	3.377	4.150	3.307	3.504	3.518
300.0	 1055	837.2	622.5	737.6	680.4	665.1	514.2	295.1	218.6	195.2	201.3	254.7	244.1	263.4	561.2	582.7	255.6	191.1	750.6	9999.9	9999.9	9999.9	 1241	49.40	33.73	28.40	19.90	18.04	13.20	11.92	7.910	10.59	10.46	6.409	6.070	4.660	6.158	5.364	5.598	4.183	5.229	4.158	4.413	4.233	3.956	3.208	4.361	4.101	3.671	4.929	3.773
305.0	945.5	946.2	856.4	702.8	749.5	719.4	603.1	353.1	265.8	221.5	246.4	301.1	284.2	305.0	385.7	802.3	595.9	261.4	210.3	741.1	9999.9	9999.9	9999.9	 1419	52.02	38.29	30.20	21.64	15.42	12.88	11.45	10.28	9.272	7.416	7.870	6.297	6.675	5.244	6.811	5.806	4.255	6.032	6.084	5.173	4.072	3.139	3.660	3.332	3.326	3.662	3.479
310.0	775.0	703.2	639.6	641.7	654.8	668.0	549.6	429.5	300.9	227.7	278.5	293.7	329.5	353.1	346.3	487.8	881.7	527.6	214.2	175.5	742.1	9999.9	9999.9	9999.9	 1475	56.01	46.41	34.05	24.40	15.18	13.01	9.702	10.81	10.35	6.341	9.091	5.800	5.586	6.125	4.825	5.486	5.549	4.719	4.938	3.483	3.862	4.905	3.771	4.496	3.968	4.099
315.0	697.5	616.9	593.3	640.0	581.1	677.6	531.9	377.9	306.9	254.5	303.2	303.0	351.5	367.1	408.8	436.8	598.3	877.4	360.4	183.0	160.1	744.9	9999.9	9999.9	9999.9	 1254	65.14	44.73	34.94	25.71	16.98	13.88	12.72	11.51	8.847	6.353	6.810	7.713	7.296	4.342	5.457	4.906	3.895	4.930	4.444	3.640	3.585	3.588	4.942	4.092	4.316
