Sample:	'SLABO1-5-5-320
File name:	2N1.FD3
Run Date:	15:46:10, 08/17/2022
Operator:	Administrator
Comment:	'

Instrument
Model:	F-7000 FL Spectrophotometer
Serial Number:	2354-007
ROM Version:	5J14000 06

Instrument Parameters
Measurement type:	3-D Scan
Data mode:	Fluorescence
EX  Start WL:	200.0 nm
EX  End WL:	450.0 nm
EX Sampling Interval:	5.0 nm
EM  Start WL:	280.0 nm
EM  End WL:	550.0 nm
EM Sampling Interval:	5.0 nm
Scan speed:	12000 nm/min
EX Slit:	5.0 nm
EM Slit:	5.0 nm
PMT Voltage:	700 V
Response:	Auto 
Corrected spectra:	Off
Shutter control:	On
Contour interval:	25.000

Peak integration
Integration method:	Rectangular
Sensitivity:	1
Threshold:	1.000

Peaks
No.	ApexEX/EM(nm)	Height(Data)
1	205.0/315.0	845.7
2	205.0/360.0	840.2
3	205.0/390.0	666.0
4	205.0/465.0	445.1
5	205.0/500.0	295.9
6	210.0/335.0	835.3
7	210.0/365.0	651.5
8	210.0/395.0	660.0
9	210.0/450.0	588.5
10	210.0/470.0	447.0
11	210.0/505.0	267.4
12	210.0/515.0	264.0
13	210.0/545.0	181.0
14	215.0/370.0	736.9
15	215.0/380.0	659.0
16	215.0/485.0	339.7
17	215.0/520.0	194.8
18	220.0/315.0	672.1
19	220.0/345.0	730.2
20	220.0/360.0	652.8
21	220.0/395.0	725.2
22	220.0/490.0	377.0
23	220.0/515.0	298.4
24	220.0/535.0	186.1
25	225.0/305.0	713.6
26	225.0/350.0	725.9
27	225.0/400.0	732.0
28	225.0/410.0	710.4
29	225.0/495.0	352.6
30	225.0/510.0	271.9
31	230.0/340.0	729.2
32	230.0/375.0	702.4
33	230.0/405.0	740.0
34	230.0/425.0	737.8
35	235.0/345.0	659.6
36	235.0/360.0	653.5
37	235.0/420.0	725.8
38	235.0/430.0	728.1
39	235.0/490.0	450.3
40	235.0/510.0	308.2
41	235.0/525.0	249.7
42	240.0/395.0	754.7
43	240.0/410.0	759.7
44	240.0/425.0	756.8
45	240.0/460.0	613.6
46	240.0/495.0	409.2
47	240.0/520.0	255.8
48	245.0/335.0	532.2
49	245.0/355.0	579.0
50	245.0/380.0	655.3
51	245.0/400.0	776.4
52	245.0/415.0	789.8
53	245.0/440.0	732.0
54	245.0/475.0	540.2
55	250.0/365.0	587.2
56	250.0/375.0	681.7
57	250.0/395.0	770.9
58	250.0/410.0	784.5
59	250.0/420.0	788.0
60	250.0/460.0	674.3
61	255.0/335.0	506.8
62	260.0/285.0	208.3
63	260.0/400.0	748.9
64	260.0/415.0	758.5
65	265.0/325.0	407.4
66	265.0/375.0	595.0
67	265.0/395.0	721.7
68	265.0/410.0	790.0
69	270.0/435.0	849.2
70	270.0/450.0	757.1
71	270.0/505.0	435.9
72	275.0/305.0	722.8
73	275.0/335.0	446.2
74	275.0/430.0	862.2
75	275.0/445.0	801.4
76	280.0/310.0	842.7
77	280.0/395.0	697.0
78	280.0/415.0	798.2
79	285.0/315.0	793.8
80	290.0/320.0	695.3
81	290.0/520.0	299.3
82	295.0/325.0	600.4
83	300.0/335.0	581.4
84	305.0/340.0	574.8
85	310.0/345.0	559.3
86	310.0/440.0	602.7
87	315.0/350.0	551.7
88	315.0/420.0	674.5
89	320.0/360.0	575.7
90	320.0/415.0	687.8
91	325.0/365.0	645.6
92	330.0/370.0	678.3
93	330.0/415.0	675.6
94	335.0/375.0	635.3
95	340.0/385.0	640.3
96	345.0/390.0	638.3
97	350.0/395.0	620.9
98	355.0/405.0	586.4
99	360.0/410.0	606.5
100	365.0/415.0	589.7
101	370.0/425.0	544.6
102	375.0/430.0	519.2
103	395.0/305.0	15.69
104	395.0/455.0	324.4
105	405.0/310.0	13.49
106	405.0/330.0	17.41
107	415.0/320.0	14.46
108	420.0/490.0	168.0
109	430.0/500.0	134.5
110	435.0/330.0	12.32
111	440.0/515.0	100.8

Data Points
	200.0	205.0	210.0	215.0	220.0	225.0	230.0	235.0	240.0	245.0	250.0	255.0	260.0	265.0	270.0	275.0	280.0	285.0	290.0	295.0	300.0	305.0	310.0	315.0	320.0	325.0	330.0	335.0	340.0	345.0	350.0	355.0	360.0	365.0	370.0	375.0	380.0	385.0	390.0	395.0	400.0	405.0	410.0	415.0	420.0	425.0	430.0	435.0	440.0	445.0	450.0
280.0	94.31	26.45	41.18	57.75	70.75	64.14	49.51	20.43	13.98	37.23	58.71	60.37	45.86	16.25	20.28	 4034	9999.9	 7612	191.8	40.92	35.12	34.32	30.44	19.95	21.46	18.58	18.37	16.95	17.06	14.29	13.27	16.37	16.06	11.00	13.53	12.34	12.47	9.617	9.362	8.277	7.998	5.988	6.005	5.416	3.643	4.722	3.823	5.133	4.167	3.630	2.916
285.0	266.9	175.3	169.6	161.7	172.9	212.5	171.8	102.8	56.86	74.45	111.3	125.0	208.3	109.6	62.46	302.6	 9231	9999.9	9999.9	 1315	58.45	52.73	44.46	35.53	25.97	23.66	24.74	22.08	19.60	17.11	17.21	16.88	13.00	15.27	15.20	12.93	12.27	9.939	10.32	8.921	8.430	8.081	7.119	4.821	5.963	4.499	4.021	3.639	4.495	3.601	3.005
290.0	468.7	455.1	398.2	302.6	402.6	411.2	284.5	156.5	94.51	126.2	171.0	169.8	201.8	325.9	179.7	127.4	687.4	9999.9	9999.9	9999.9	 1721	78.40	68.39	59.44	43.30	34.57	26.04	24.15	18.03	19.63	18.20	16.98	16.56	15.63	16.20	16.13	13.61	12.42	11.63	11.03	8.981	9.571	7.659	6.560	5.646	5.301	4.788	4.711	5.272	5.230	6.171
295.0	685.9	709.4	552.2	541.1	633.3	499.2	424.1	260.5	152.6	189.0	204.1	201.8	183.9	341.0	470.3	251.6	207.4	791.8	9999.9	9999.9	9999.9	 2175	94.68	78.62	68.44	46.83	40.44	32.71	29.38	23.52	20.77	20.43	20.75	17.89	17.23	16.15	13.78	14.50	12.33	10.58	9.994	10.60	9.801	8.321	5.966	6.821	5.725	7.083	6.033	7.754	6.176
300.0	916.0	784.9	571.8	655.9	647.8	627.0	508.2	294.1	203.7	211.9	213.0	233.0	217.8	273.7	500.6	525.6	292.9	238.1	837.6	9999.9	9999.9	9999.9	 2332	123.0	92.50	75.61	52.95	44.87	36.27	28.71	25.63	24.54	22.69	24.29	19.84	18.30	16.49	16.03	13.39	12.61	10.79	11.74	10.88	9.345	7.470	6.903	5.846	6.916	7.911	7.297	5.452
305.0	981.6	760.8	603.8	654.0	602.0	713.6	564.5	357.5	274.3	234.1	283.3	260.4	295.3	296.5	363.2	722.8	568.6	236.1	231.0	828.7	9999.9	9999.9	9999.9	 2736	147.2	112.7	82.93	73.46	49.36	36.66	30.79	27.96	27.23	26.83	20.34	20.58	19.58	16.84	12.63	15.69	10.78	11.30	10.38	10.56	8.824	8.106	7.003	7.515	7.303	7.348	6.591
310.0	915.4	784.5	706.1	727.8	635.5	687.9	583.5	374.8	284.0	309.3	326.6	307.4	281.9	300.3	333.4	445.3	842.7	450.2	220.0	203.7	831.4	9999.9	9999.9	9999.9	 2830	150.9	124.3	102.9	78.55	50.30	44.80	35.83	31.58	31.92	26.42	23.14	20.70	19.08	16.63	13.88	11.06	13.49	11.31	10.84	9.387	8.665	8.156	6.664	7.889	7.409	7.244
315.0	731.1	845.7	804.6	609.9	672.1	646.3	609.7	395.4	362.4	353.9	383.3	372.2	338.7	310.3	352.0	402.7	526.5	793.8	348.9	189.6	202.0	864.9	9999.9	9999.9	9999.9	 2582	171.3	124.7	104.6	76.25	55.37	41.16	40.16	32.57	25.44	23.05	21.11	19.54	17.28	16.74	13.25	11.53	12.03	11.39	11.79	11.38	8.895	9.645	6.967	7.926	7.959
320.0	792.1	694.0	776.7	662.4	663.8	652.9	579.1	424.4	371.0	374.9	406.6	427.3	375.4	338.8	375.1	414.3	380.5	559.0	695.3	277.9	161.3	205.4	883.1	9999.9	9999.9	9999.9	 2543	183.8	147.7	111.7	87.35	56.34	43.47	38.05	30.84	30.36	23.82	24.81	20.53	16.35	14.64	13.58	12.30	14.46	11.01	11.33	9.712	8.883	8.530	8.638	7.277
325.0	867.6	739.2	778.4	694.7	528.6	618.4	665.6	506.2	441.8	415.0	446.2	438.6	401.1	407.4	403.2	412.3	421.7	399.2	590.1	600.4	219.6	166.0	214.6	897.3	9999.9	9999.9	9999.9	 2800	212.0	148.9	122.8	83.01	57.28	52.58	43.06	34.88	30.03	23.13	19.13	15.67	14.27	16.27	14.67	11.45	11.95	10.76	11.33	8.248	8.816	9.414	8.485
330.0	823.8	723.1	833.2	705.1	732.1	648.0	636.4	595.1	423.0	502.5	456.2	480.1	446.5	393.1	395.2	404.0	409.3	367.2	376.2	581.2	501.4	204.2	173.9	217.0	887.9	9999.9	9999.9	9999.9	 2860	227.3	166.1	122.7	93.90	65.72	52.29	40.27	30.83	27.39	22.05	20.77	15.83	17.41	16.75	12.24	11.90	10.73	11.31	12.32	9.010	9.561	7.930
335.0	641.0	672.4	835.3	703.7	622.5	583.1	697.5	536.0	502.4	532.2	475.5	506.8	450.6	372.9	397.2	446.2	437.0	404.6	351.5	335.1	581.4	413.7	185.7	167.0	213.9	909.5	9999.9	9999.9	9999.9	 3023	245.5	172.5	131.6	98.30	64.95	52.74	37.35	29.84	24.32	21.27	17.85	15.81	17.28	14.21	12.14	12.70	12.99	11.83	9.493	9.842	8.662
340.0	777.4	740.0	734.9	505.5	598.9	663.0	729.2	525.0	501.8	481.6	436.7	453.8	419.6	405.4	420.0	438.5	432.4	428.2	365.5	294.7	334.2	574.8	324.6	182.2	169.8	221.8	893.8	9999.9	9999.9	9999.9	 3446	260.8	185.0	133.7	98.86	67.57	48.69	36.28	28.94	24.98	19.72	18.97	17.88	13.03	13.86	11.92	12.29	11.08	10.83	9.904	8.135
