Sample:	'SLABO1-5-5-320
File name:	1P2.FD3
Run Date:	17:08:40, 08/15/2022
Operator:	Administrator
Comment:	'

Instrument
Model:	F-7000 FL Spectrophotometer
Serial Number:	2354-007
ROM Version:	5J14000 06

Instrument Parameters
Measurement type:	3-D Scan
Data mode:	Fluorescence
EX  Start WL:	200.0 nm
EX  End WL:	450.0 nm
EX Sampling Interval:	5.0 nm
EM  Start WL:	280.0 nm
EM  End WL:	550.0 nm
EM Sampling Interval:	5.0 nm
Scan speed:	12000 nm/min
EX Slit:	5.0 nm
EM Slit:	5.0 nm
PMT Voltage:	700 V
Response:	Auto 
Corrected spectra:	Off
Shutter control:	On
Contour interval:	25.000

Peak integration
Integration method:	Rectangular
Sensitivity:	1
Threshold:	1.000

Peaks
No.	ApexEX/EM(nm)	Height(Data)
1	205.0/305.0	 1086
2	205.0/325.0	 1318
3	205.0/370.0	 1244
4	205.0/410.0	828.3
5	205.0/440.0	707.7
6	205.0/490.0	414.0
7	205.0/535.0	211.7
8	205.0/545.0	163.6
9	210.0/335.0	 1269
10	210.0/385.0	886.2
11	210.0/460.0	523.9
12	210.0/480.0	465.6
13	210.0/510.0	237.9
14	210.0/540.0	177.2
15	215.0/340.0	 1149
16	215.0/390.0	925.6
17	215.0/500.0	270.1
18	220.0/345.0	 1027
19	220.0/360.0	951.5
20	220.0/400.0	835.2
21	220.0/425.0	731.6
22	220.0/460.0	530.4
23	220.0/470.0	571.3
24	220.0/490.0	334.1
25	220.0/530.0	186.5
26	225.0/320.0	 1114
27	225.0/330.0	 1121
28	225.0/375.0	878.9
29	225.0/465.0	529.4
30	225.0/485.0	423.3
31	225.0/540.0	154.1
32	230.0/335.0	 1098
33	230.0/400.0	752.9
34	230.0/415.0	751.0
35	230.0/450.0	647.3
36	230.0/545.0	131.2
37	235.0/525.0	207.7
38	240.0/370.0	674.2
39	240.0/385.0	698.1
40	240.0/520.0	247.0
41	240.0/535.0	177.7
42	245.0/335.0	853.5
43	245.0/375.0	652.4
44	245.0/390.0	671.9
45	245.0/400.0	702.5
46	245.0/420.0	757.8
47	245.0/435.0	698.3
48	250.0/295.0	591.7
49	250.0/325.0	881.6
50	250.0/355.0	718.1
51	250.0/385.0	656.0
52	250.0/540.0	165.3
53	255.0/345.0	776.0
54	255.0/370.0	655.3
55	255.0/410.0	724.6
56	255.0/430.0	727.3
57	255.0/445.0	717.6
58	260.0/335.0	784.6
59	260.0/375.0	657.4
60	260.0/420.0	725.7
61	265.0/390.0	671.6
62	265.0/415.0	709.3
63	265.0/440.0	747.6
64	275.0/305.0	 1277
65	275.0/405.0	747.8
66	275.0/420.0	812.2
67	275.0/445.0	845.2
68	280.0/310.0	 1504
69	280.0/385.0	728.6
70	280.0/415.0	794.0
71	280.0/430.0	835.7
72	280.0/440.0	850.2
73	280.0/490.0	509.2
74	285.0/315.0	 1347
75	285.0/395.0	741.8
76	285.0/420.0	786.4
77	295.0/390.0	672.5
78	300.0/335.0	663.0
79	300.0/400.0	691.4
80	300.0/435.0	680.3
81	305.0/340.0	638.9
82	305.0/410.0	729.2
83	305.0/440.0	695.5
84	310.0/345.0	589.5
85	310.0/425.0	716.0
86	315.0/350.0	579.7
87	320.0/360.0	586.6
88	325.0/365.0	674.0
89	325.0/420.0	779.9
90	330.0/370.0	669.2
91	335.0/380.0	667.9
92	335.0/430.0	767.4
93	340.0/385.0	688.6
94	345.0/390.0	711.1
95	350.0/395.0	674.5
96	355.0/405.0	681.1
97	360.0/410.0	684.0
98	365.0/415.0	679.5
99	410.0/475.0	242.2
100	415.0/480.0	214.6
101	420.0/490.0	202.8
102	425.0/495.0	175.9
103	435.0/305.0	11.61
104	440.0/310.0	11.95
105	440.0/330.0	15.36
106	445.0/315.0	12.99

Data Points
	200.0	205.0	210.0	215.0	220.0	225.0	230.0	235.0	240.0	245.0	250.0	255.0	260.0	265.0	270.0	275.0	280.0	285.0	290.0	295.0	300.0	305.0	310.0	315.0	320.0	325.0	330.0	335.0	340.0	345.0	350.0	355.0	360.0	365.0	370.0	375.0	380.0	385.0	390.0	395.0	400.0	405.0	410.0	415.0	420.0	425.0	430.0	435.0	440.0	445.0	450.0
280.0	7.408	6.610	59.76	31.28	24.22	64.09	2.882	27.24	30.91	132.5	184.7	163.7	101.8	44.24	19.78	 4467	9999.9	9999.9	314.2	55.25	50.79	55.20	43.11	39.79	30.64	26.54	26.63	22.90	22.28	20.31	23.52	19.78	21.68	18.33	18.84	18.37	16.83	15.81	12.89	12.64	11.08	8.995	8.528	6.955	6.334	6.430	5.932	6.137	4.963	3.958	4.625
285.0	96.94	109.5	88.20	107.0	83.91	103.8	55.26	77.62	125.2	287.3	409.0	383.2	281.3	140.5	86.56	352.1	 9841	9999.9	9999.9	 2339	98.21	75.39	65.01	55.15	45.09	35.58	32.87	35.18	28.41	24.36	23.94	25.16	23.90	19.56	21.55	18.62	16.93	13.78	13.87	11.44	10.47	9.912	7.612	7.863	6.592	7.017	5.611	5.359	5.076	4.645	5.126
290.0	397.6	308.4	304.8	265.1	251.2	234.3	225.0	152.0	204.6	404.7	578.1	502.7	390.4	386.0	260.8	258.7	829.7	9999.9	9999.9	9999.9	 3143	116.2	96.59	82.38	68.07	49.43	42.30	37.99	34.03	34.69	25.04	25.21	25.51	22.06	21.05	19.51	17.83	17.64	13.76	14.02	12.54	11.87	9.075	7.163	8.360	7.640	7.669	6.863	5.637	5.965	4.521
295.0	579.9	630.0	478.8	437.2	453.4	513.2	405.9	292.1	322.2	438.6	591.7	532.5	438.2	458.8	602.6	477.8	487.5	959.7	9999.9	9999.9	9999.9	 4116	150.3	117.0	106.7	77.51	48.98	46.01	42.31	37.77	32.01	28.38	29.47	21.37	24.60	24.38	20.95	20.78	18.21	13.98	13.84	13.08	12.29	9.870	9.726	6.510	8.189	6.993	8.235	7.500	7.108
