Sample:	'SLABO1-5-5-320
File name:	2P4.FD3
Run Date:	17:12:59, 08/17/2022
Operator:	Administrator
Comment:	'

Instrument
Model:	F-7000 FL Spectrophotometer
Serial Number:	2354-007
ROM Version:	5J14000 06

Instrument Parameters
Measurement type:	3-D Scan
Data mode:	Fluorescence
EX  Start WL:	200.0 nm
EX  End WL:	450.0 nm
EX Sampling Interval:	5.0 nm
EM  Start WL:	280.0 nm
EM  End WL:	550.0 nm
EM Sampling Interval:	5.0 nm
Scan speed:	12000 nm/min
EX Slit:	5.0 nm
EM Slit:	5.0 nm
PMT Voltage:	700 V
Response:	Auto 
Corrected spectra:	Off
Shutter control:	On
Contour interval:	25.000

Peak integration
Integration method:	Rectangular
Sensitivity:	1
Threshold:	1.000

Peaks
No.	ApexEX/EM(nm)	Height(Data)
1	205.0/320.0	612.5
2	205.0/340.0	619.7
3	210.0/335.0	652.4
4	210.0/345.0	604.0
5	215.0/305.0	554.9
6	220.0/300.0	480.0
7	225.0/315.0	633.9
8	225.0/330.0	857.9
9	225.0/340.0	892.8
10	225.0/380.0	 1610
11	230.0/535.0	564.0
12	250.0/295.0	609.9
13	275.0/305.0	694.8
14	275.0/430.0	 3626
15	275.0/440.0	 3617
16	280.0/310.0	894.8
17	280.0/420.0	 3503
18	285.0/315.0	929.9
19	290.0/320.0	865.9
20	295.0/330.0	827.5
21	300.0/335.0	852.1
22	305.0/340.0	869.0
23	325.0/420.0	 3065
24	330.0/425.0	 3114
25	365.0/290.0	10.77
26	410.0/330.0	9.484
27	425.0/320.0	7.763
28	435.0/295.0	4.908
29	440.0/325.0	6.874
30	445.0/315.0	6.548

Data Points
	200.0	205.0	210.0	215.0	220.0	225.0	230.0	235.0	240.0	245.0	250.0	255.0	260.0	265.0	270.0	275.0	280.0	285.0	290.0	295.0	300.0	305.0	310.0	315.0	320.0	325.0	330.0	335.0	340.0	345.0	350.0	355.0	360.0	365.0	370.0	375.0	380.0	385.0	390.0	395.0	400.0	405.0	410.0	415.0	420.0	425.0	430.0	435.0	440.0	445.0	450.0
280.0	70.00	36.12	55.59	32.24	56.25	54.39	34.47	32.98	45.38	125.9	148.1	179.8	113.3	43.25	26.70	 1342	 8064	 2978	84.45	15.04	17.40	12.99	16.01	11.18	10.71	12.43	11.82	7.824	8.251	8.051	8.156	7.270	7.653	7.218	6.174	7.835	5.697	5.270	5.901	4.842	4.201	3.887	3.914	2.497	4.364	2.140	2.050	2.299	2.094	2.117	2.581
285.0	143.4	146.2	96.73	158.3	106.9	125.0	98.26	69.24	124.6	309.2	405.7	415.8	309.0	144.8	61.96	127.3	 3361	9999.9	9999.9	564.3	26.36	22.65	15.88	20.33	11.47	13.27	9.832	8.638	9.216	10.02	10.26	8.506	9.457	6.991	7.859	7.989	6.523	6.513	5.117	5.011	4.818	4.273	2.897	4.006	3.087	3.998	3.006	2.661	2.832	3.269	2.739
290.0	280.8	227.4	216.7	240.9	240.7	250.6	223.0	144.1	213.2	386.3	590.5	565.9	400.2	332.0	168.1	97.53	294.8	 7690	9999.9	9999.9	770.4	33.76	26.88	25.67	22.23	16.03	12.11	13.42	11.11	11.12	10.44	7.880	9.431	10.77	7.882	8.812	6.987	6.543	5.822	4.045	4.341	4.533	3.612	4.391	3.472	3.604	3.703	3.395	3.058	3.287	3.166
295.0	400.2	297.4	304.0	292.7	354.2	418.5	285.7	182.0	263.0	458.1	609.9	557.8	357.8	378.9	449.3	231.1	163.0	618.2	9999.9	9999.9	9999.9	962.1	38.15	34.74	29.49	26.05	16.16	16.61	11.41	12.32	11.27	10.44	9.871	9.372	9.403	8.122	7.919	6.461	6.997	6.903	4.427	4.991	4.615	4.860	4.754	3.150	4.222	4.908	3.549	3.785	3.528
300.0	558.7	400.6	298.1	357.5	480.0	453.7	295.4	240.7	302.6	396.3	513.5	464.8	372.5	308.0	508.4	529.1	297.1	237.7	769.0	9999.9	9999.9	9999.9	 1064	49.72	41.69	29.02	26.92	19.58	15.02	13.53	11.56	11.93	9.982	11.50	10.35	9.066	8.689	9.177	6.326	6.467	6.862	5.788	4.266	3.888	4.802	4.083	4.132	3.643	4.053	4.415	4.661
305.0	496.3	436.4	360.6	554.9	454.2	589.1	430.1	329.4	338.5	377.2	474.2	456.6	407.3	337.7	389.6	694.8	622.3	315.6	246.9	758.2	9999.9	9999.9	9999.9	 1234	64.85	47.06	37.15	28.29	21.58	17.09	15.09	14.14	10.56	12.11	10.04	8.901	7.740	10.52	8.348	6.720	6.639	6.944	5.620	5.499	4.798	4.837	4.787	4.130	5.150	4.216	4.699
310.0	430.9	550.6	449.8	475.8	464.4	577.3	523.5	363.7	354.0	395.7	423.1	430.7	385.2	393.5	416.3	548.4	894.8	559.7	283.8	221.1	753.4	9999.9	9999.9	9999.9	 1318	75.19	53.90	39.71	34.16	19.18	17.84	16.34	16.19	13.67	11.93	10.29	8.874	9.667	9.727	8.183	6.981	7.259	6.926	5.714	4.891	5.959	4.889	3.775	4.768	4.069	3.991
315.0	629.4	546.1	506.0	443.3	515.0	633.9	552.4	410.7	394.6	384.1	406.0	438.5	475.9	443.5	476.4	531.4	665.4	929.9	487.5	239.2	202.8	777.1	9999.9	9999.9	9999.9	 1149	81.54	60.56	49.15	39.77	26.91	21.64	18.80	16.85	13.60	11.24	12.21	10.73	8.600	8.855	7.895	6.724	4.736	6.175	4.733	5.489	5.745	5.188	5.874	6.548	4.286
320.0	482.7	612.5	607.3	462.8	563.6	569.0	634.0	514.7	475.0	427.4	499.0	530.3	501.5	507.5	581.4	637.9	667.0	783.3	865.9	371.6	239.9	212.5	798.3	9999.9	9999.9	9999.9	 1183	79.84	66.61	46.97	37.03	21.14	20.43	19.12	15.90	13.43	13.74	11.20	8.302	9.358	8.082	7.175	6.059	6.629	7.180	7.763	6.452	5.513	5.335	4.676	3.963
