Sample:	'SLABO1-5-5-320
File name:	3H11.FD3
Run Date:	17:28:43, 08/24/2022
Operator:	Administrator
Comment:	'

Instrument
Model:	F-7000 FL Spectrophotometer
Serial Number:	2354-007
ROM Version:	5J14000 06

Instrument Parameters
Measurement type:	3-D Scan
Data mode:	Fluorescence
EX  Start WL:	200.0 nm
EX  End WL:	450.0 nm
EX Sampling Interval:	5.0 nm
EM  Start WL:	280.0 nm
EM  End WL:	550.0 nm
EM Sampling Interval:	5.0 nm
Scan speed:	12000 nm/min
EX Slit:	5.0 nm
EM Slit:	5.0 nm
PMT Voltage:	700 V
Response:	Auto 
Corrected spectra:	Off
Shutter control:	On
Contour interval:	25.000

Peak integration
Integration method:	Rectangular
Sensitivity:	1
Threshold:	1.000

Peaks
No.	ApexEX/EM(nm)	Height(Data)
1	205.0/320.0	559.8
2	205.0/355.0	398.5
3	210.0/310.0	503.0
4	210.0/325.0	590.1
5	210.0/485.0	275.1
6	215.0/430.0	513.7
7	215.0/490.0	309.5
8	215.0/505.0	226.1
9	215.0/535.0	125.2
10	220.0/320.0	617.2
11	220.0/375.0	521.9
12	220.0/390.0	541.2
13	220.0/410.0	663.4
14	220.0/455.0	497.5
15	220.0/480.0	325.3
16	220.0/515.0	218.9
17	220.0/545.0	135.9
18	225.0/305.0	559.1
19	225.0/335.0	674.0
20	225.0/380.0	571.8
21	225.0/405.0	689.8
22	225.0/490.0	350.2
23	230.0/320.0	603.5
24	230.0/340.0	692.3
25	230.0/355.0	631.2
26	230.0/365.0	600.9
27	230.0/385.0	590.0
28	230.0/395.0	627.2
29	230.0/410.0	729.2
30	230.0/475.0	401.5
31	230.0/485.0	395.4
32	230.0/510.0	248.7
33	235.0/375.0	516.4
34	240.0/390.0	588.3
35	240.0/420.0	693.1
36	240.0/435.0	691.8
37	240.0/530.0	212.5
38	245.0/405.0	662.3
39	245.0/415.0	656.8
40	245.0/430.0	663.3
41	250.0/290.0	639.9
42	250.0/420.0	679.3
43	250.0/435.0	686.9
44	255.0/445.0	696.2
45	255.0/455.0	662.3
46	260.0/395.0	575.4
47	260.0/415.0	657.9
48	260.0/425.0	672.8
49	260.0/440.0	693.1
50	260.0/450.0	688.8
51	265.0/445.0	685.7
52	270.0/470.0	601.5
53	275.0/305.0	677.8
54	275.0/380.0	533.4
55	275.0/435.0	723.8
56	280.0/310.0	826.9
57	280.0/330.0	494.2
58	280.0/345.0	520.2
59	280.0/395.0	636.9
60	280.0/445.0	720.5
61	285.0/315.0	836.3
62	285.0/335.0	483.6
63	285.0/365.0	547.6
64	285.0/375.0	540.7
65	285.0/425.0	739.4
66	290.0/320.0	741.0
67	290.0/405.0	693.5
68	295.0/330.0	589.3
69	300.0/335.0	568.3
70	305.0/340.0	537.5
71	310.0/345.0	502.3
72	315.0/350.0	478.7
73	315.0/410.0	654.3
74	320.0/360.0	500.0
75	325.0/365.0	549.9
76	330.0/370.0	557.3
77	330.0/415.0	712.1
78	335.0/375.0	553.5
79	335.0/425.0	706.5
80	340.0/385.0	598.3
81	345.0/390.0	597.1
82	345.0/430.0	710.2
83	350.0/400.0	611.6
84	350.0/440.0	679.0
85	355.0/405.0	663.3
86	360.0/410.0	657.8
87	365.0/415.0	655.3
88	370.0/425.0	603.5
89	385.0/315.0	7.724
90	395.0/315.0	5.850
91	405.0/320.0	6.043
92	405.0/470.0	246.1
93	410.0/340.0	6.806
94	410.0/475.0	216.4
95	420.0/490.0	163.9
96	425.0/295.0	3.974
97	425.0/495.0	146.5
98	430.0/300.0	3.959
99	430.0/355.0	6.517
100	440.0/515.0	89.94
101	445.0/300.0	4.644
102	445.0/335.0	6.599

Data Points
	200.0	205.0	210.0	215.0	220.0	225.0	230.0	235.0	240.0	245.0	250.0	255.0	260.0	265.0	270.0	275.0	280.0	285.0	290.0	295.0	300.0	305.0	310.0	315.0	320.0	325.0	330.0	335.0	340.0	345.0	350.0	355.0	360.0	365.0	370.0	375.0	380.0	385.0	390.0	395.0	400.0	405.0	410.0	415.0	420.0	425.0	430.0	435.0	440.0	445.0	450.0
280.0	40.85	48.88	37.95	42.29	47.89	71.23	39.86	27.44	66.90	141.8	207.0	198.3	125.8	47.67	22.58	 1113	 7343	 3133	90.21	11.28	14.32	9.571	9.508	8.436	6.171	5.386	4.691	4.526	4.827	4.137	3.467	2.618	4.771	4.733	4.273	2.722	3.789	3.458	2.931	2.603	2.549	1.084	2.319	1.698	2.666	1.656	1.922	1.518	1.403	1.329	1.297
285.0	167.1	161.4	93.44	126.7	119.0	139.7	113.9	91.11	183.4	342.0	508.5	449.0	375.3	187.6	51.92	105.9	 2928	9999.9	9999.9	636.0	20.34	17.19	13.68	12.64	7.996	8.207	6.133	8.181	5.361	4.327	5.150	5.020	4.868	3.803	5.277	3.673	4.058	4.656	1.832	3.262	3.103	2.542	2.340	1.393	1.976	2.646	1.816	1.554	1.351	1.574	1.966
290.0	237.5	202.8	194.5	204.6	274.3	273.3	232.5	158.4	253.0	433.5	639.9	583.6	384.2	380.9	178.0	88.02	266.6	 6010	9999.9	9999.9	752.2	26.70	19.96	19.74	10.74	11.10	6.792	6.676	6.508	5.776	5.733	3.962	6.006	3.704	3.979	4.531	3.492	3.748	3.064	3.892	2.538	2.602	1.885	2.225	1.764	1.991	2.335	2.803	2.384	2.244	3.116
295.0	254.4	324.4	295.3	239.3	438.2	428.5	292.1	237.4	284.4	459.6	611.9	586.2	383.2	357.4	433.5	221.6	147.5	487.3	 9424	9999.9	9999.9	944.6	30.31	22.67	19.49	12.40	11.76	12.47	6.726	6.657	4.456	4.826	5.194	4.733	5.294	4.573	3.416	4.089	4.053	4.293	3.343	2.669	3.179	2.545	3.445	3.974	3.332	2.372	2.096	2.881	3.540
