Sample:	'SLABO1-5-5-320
File name:	1H3.FD3
Run Date:	17:13:00, 08/15/2022
Operator:	Administrator
Comment:	'

Instrument
Model:	F-7000 FL Spectrophotometer
Serial Number:	2354-007
ROM Version:	5J14000 06

Instrument Parameters
Measurement type:	3-D Scan
Data mode:	Fluorescence
EX  Start WL:	200.0 nm
EX  End WL:	450.0 nm
EX Sampling Interval:	5.0 nm
EM  Start WL:	280.0 nm
EM  End WL:	550.0 nm
EM Sampling Interval:	5.0 nm
Scan speed:	12000 nm/min
EX Slit:	5.0 nm
EM Slit:	5.0 nm
PMT Voltage:	700 V
Response:	Auto 
Corrected spectra:	Off
Shutter control:	On
Contour interval:	25.000

Peak integration
Integration method:	Rectangular
Sensitivity:	1
Threshold:	1.000

Peaks
No.	ApexEX/EM(nm)	Height(Data)
1	205.0/305.0	738.5
2	205.0/340.0	470.6
3	205.0/460.0	353.2
4	210.0/335.0	458.0
5	215.0/305.0	529.0
6	215.0/465.0	382.2
7	215.0/495.0	285.9
8	215.0/520.0	230.6
9	215.0/540.0	153.2
10	220.0/300.0	550.5
11	220.0/315.0	682.9
12	220.0/390.0	686.8
13	220.0/435.0	651.3
14	220.0/480.0	349.3
15	220.0/545.0	107.1
16	225.0/310.0	595.3
17	225.0/325.0	691.9
18	225.0/365.0	680.8
19	225.0/405.0	802.6
20	225.0/415.0	766.9
21	225.0/485.0	333.8
22	225.0/520.0	190.8
23	230.0/350.0	705.3
24	230.0/385.0	707.2
25	230.0/410.0	756.4
26	230.0/425.0	744.9
27	230.0/435.0	711.9
28	230.0/495.0	353.6
29	235.0/455.0	636.2
30	235.0/505.0	288.0
31	240.0/375.0	611.2
32	240.0/405.0	743.2
33	240.0/500.0	364.2
34	245.0/400.0	778.8
35	245.0/420.0	802.3
36	245.0/435.0	773.5
37	245.0/445.0	762.0
38	245.0/535.0	178.8
39	250.0/530.0	211.6
40	255.0/410.0	810.5
41	255.0/440.0	771.4
42	260.0/425.0	782.7
43	265.0/375.0	607.8
44	265.0/400.0	699.2
45	265.0/440.0	767.9
46	265.0/505.0	402.1
47	270.0/420.0	755.3
48	270.0/435.0	777.5
49	270.0/490.0	485.6
50	275.0/305.0	958.9
51	275.0/365.0	597.3
52	275.0/375.0	624.8
53	275.0/405.0	739.6
54	275.0/425.0	740.0
55	275.0/440.0	780.0
56	280.0/310.0	 1116
57	280.0/335.0	530.9
58	280.0/350.0	557.5
59	280.0/380.0	634.3
60	280.0/400.0	703.2
61	285.0/315.0	983.5
62	285.0/355.0	550.9
63	285.0/375.0	623.7
64	285.0/385.0	640.2
65	290.0/320.0	791.0
66	295.0/325.0	652.5
67	300.0/335.0	597.4
68	305.0/340.0	578.4
69	305.0/385.0	519.4
70	305.0/410.0	598.9
71	310.0/345.0	555.0
72	315.0/350.0	516.9
73	315.0/410.0	613.1
74	320.0/360.0	521.3
75	320.0/440.0	525.6
76	325.0/365.0	554.9
