Sample:	'SLABO1-5-5-320
File name:	3H2.FD3
Run Date:	16:51:19, 08/24/2022
Operator:	Administrator
Comment:	'

Instrument
Model:	F-7000 FL Spectrophotometer
Serial Number:	2354-007
ROM Version:	5J14000 06

Instrument Parameters
Measurement type:	3-D Scan
Data mode:	Fluorescence
EX  Start WL:	200.0 nm
EX  End WL:	450.0 nm
EX Sampling Interval:	5.0 nm
EM  Start WL:	280.0 nm
EM  End WL:	550.0 nm
EM Sampling Interval:	5.0 nm
Scan speed:	12000 nm/min
EX Slit:	5.0 nm
EM Slit:	5.0 nm
PMT Voltage:	700 V
Response:	Auto 
Corrected spectra:	Off
Shutter control:	On
Contour interval:	25.000

Peak integration
Integration method:	Rectangular
Sensitivity:	1
Threshold:	1.000

Peaks
No.	ApexEX/EM(nm)	Height(Data)
1	205.0/325.0	663.8
2	205.0/355.0	440.4
3	205.0/475.0	292.2
4	205.0/540.0	117.2
5	210.0/345.0	510.1
6	210.0/360.0	426.6
7	210.0/375.0	410.8
8	210.0/385.0	459.7
9	210.0/490.0	187.1
10	210.0/500.0	237.2
11	210.0/530.0	134.3
12	210.0/545.0	128.1
13	215.0/505.0	194.1
14	215.0/520.0	157.3
15	215.0/535.0	122.5
16	220.0/300.0	791.9
17	220.0/400.0	556.5
18	220.0/410.0	516.3
19	220.0/455.0	383.7
20	220.0/465.0	378.4
21	220.0/525.0	156.8
22	225.0/310.0	782.3
23	225.0/330.0	757.5
24	225.0/385.0	508.3
25	225.0/415.0	533.4
26	225.0/435.0	509.8
27	225.0/490.0	289.0
28	225.0/510.0	208.6
29	225.0/530.0	158.4
30	225.0/540.0	133.6
31	230.0/340.0	661.2
32	230.0/370.0	530.5
33	230.0/380.0	519.2
34	230.0/395.0	530.5
35	230.0/405.0	550.1
36	230.0/420.0	540.5
37	230.0/440.0	477.2
38	230.0/475.0	364.4
39	230.0/500.0	235.0
40	235.0/365.0	527.5
41	235.0/410.0	548.9
42	235.0/430.0	569.3
43	235.0/445.0	513.3
44	235.0/545.0	132.4
45	245.0/390.0	535.4
46	245.0/430.0	575.4
47	245.0/515.0	238.6
48	250.0/375.0	442.8
49	250.0/410.0	584.3
50	250.0/435.0	553.1
51	250.0/450.0	557.2
52	255.0/345.0	316.1
53	255.0/425.0	566.7
