Sample:	'SLABO1-5-5-320
File name:	BlankSample.FD3
Run Date:	14:48:59, 08/17/2022
Operator:	Administrator
Comment:	'

Instrument
Model:	F-7000 FL Spectrophotometer
Serial Number:	2354-007
ROM Version:	5J14000 06

Instrument Parameters
Measurement type:	3-D Scan
Data mode:	Fluorescence
EX  Start WL:	200.0 nm
EX  End WL:	450.0 nm
EX Sampling Interval:	5.0 nm
EM  Start WL:	280.0 nm
EM  End WL:	550.0 nm
EM Sampling Interval:	5.0 nm
Scan speed:	12000 nm/min
EX Slit:	5.0 nm
EM Slit:	5.0 nm
PMT Voltage:	700 V
Response:	Auto 
Corrected spectra:	Off
Shutter control:	On
Contour interval:	25.000

Peak integration
Integration method:	Rectangular
Sensitivity:	1
Threshold:	1.000

Peaks
No.	ApexEX/EM(nm)	Height(Data)
1	205.0/425.0	60.42
2	205.0/465.0	51.99
3	205.0/475.0	36.14
4	205.0/525.0	34.51
5	210.0/295.0	107.8
6	210.0/310.0	125.9
7	210.0/370.0	86.20
8	210.0/380.0	88.81
9	210.0/390.0	62.23
10	210.0/440.0	35.32
11	210.0/490.0	23.32
12	210.0/510.0	35.20
13	215.0/285.0	36.46
14	215.0/400.0	68.81
15	215.0/450.0	57.82
16	215.0/500.0	27.09
17	215.0/530.0	25.36
18	220.0/360.0	179.3
19	220.0/370.0	132.3
20	220.0/385.0	135.7
21	220.0/460.0	38.88
22	220.0/475.0	34.09
23	220.0/525.0	8.666
24	225.0/305.0	166.0
25	225.0/335.0	220.6
26	225.0/350.0	239.7
27	225.0/375.0	138.0
28	225.0/415.0	57.93
29	225.0/430.0	51.10
30	225.0/465.0	35.86
31	225.0/515.0	21.62
32	230.0/300.0	122.8
33	230.0/400.0	62.92
34	230.0/410.0	57.74
35	230.0/485.0	14.74
36	230.0/535.0	14.10
37	235.0/395.0	48.10
38	235.0/425.0	33.60
39	235.0/460.0	34.66
40	235.0/470.0	22.17
41	240.0/410.0	25.51
42	240.0/435.0	38.07
43	240.0/475.0	23.53
44	240.0/500.0	10.18
45	240.0/530.0	9.352
46	240.0/540.0	7.030
47	245.0/370.0	53.73
48	245.0/390.0	45.98
49	245.0/420.0	33.75
50	245.0/510.0	14.63
51	250.0/295.0	205.1
52	250.0/335.0	54.06
53	250.0/400.0	30.78
54	250.0/415.0	30.83
55	250.0/460.0	40.56
56	250.0/475.0	33.46
57	250.0/520.0	6.262
58	250.0/545.0	12.58
59	255.0/290.0	184.1
60	255.0/380.0	58.61
61	255.0/435.0	36.80
62	255.0/465.0	33.87
63	255.0/530.0	8.857
64	260.0/285.0	212.9
65	260.0/505.0	15.56
66	265.0/290.0	268.3
67	265.0/425.0	34.65
68	270.0/395.0	67.83
69	270.0/435.0	31.56
70	270.0/450.0	27.29
71	270.0/480.0	16.60
72	270.0/495.0	13.81
73	275.0/305.0	543.9
74	275.0/355.0	152.6
75	275.0/490.0	12.74
76	280.0/310.0	620.6
77	280.0/345.0	167.5
78	280.0/455.0	18.42
79	280.0/470.0	17.01
80	280.0/505.0	12.95
81	280.0/520.0	8.638
82	280.0/530.0	7.275
83	285.0/315.0	606.8
84	285.0/415.0	42.56
85	285.0/450.0	21.92
86	285.0/480.0	13.61
87	285.0/510.0	6.330
88	290.0/320.0	554.4
89	290.0/385.0	84.32
90	290.0/485.0	9.077
91	290.0/505.0	7.369
92	295.0/325.0	429.8
93	295.0/435.0	19.94
94	300.0/335.0	409.6
95	300.0/470.0	11.30
96	300.0/500.0	7.194
97	300.0/540.0	4.501
98	305.0/340.0	399.2
99	305.0/445.0	15.27
100	305.0/480.0	7.432
101	310.0/345.0	367.9
102	310.0/410.0	20.93
103	310.0/420.0	19.63
104	310.0/485.0	7.232
105	315.0/350.0	307.1
106	315.0/455.0	12.63
107	315.0/525.0	4.415
108	320.0/360.0	282.6
109	320.0/450.0	11.16
110	320.0/505.0	5.680
111	325.0/365.0	279.1
112	325.0/395.0	15.27
113	330.0/370.0	271.1
114	330.0/445.0	11.37
115	330.0/470.0	9.028
116	335.0/375.0	227.7
117	335.0/410.0	13.26
118	335.0/430.0	13.57
119	335.0/510.0	4.724
120	340.0/385.0	197.7
121	340.0/480.0	6.630
122	340.0/495.0	5.372
123	340.0/545.0	3.887
124	345.0/390.0	191.3
125	345.0/435.0	11.84
126	345.0/460.0	9.801
127	345.0/470.0	8.765
128	350.0/395.0	175.8
129	350.0/475.0	7.449
130	350.0/485.0	5.987
131	355.0/400.0	149.0
132	355.0/515.0	4.420
133	360.0/410.0	145.9
134	360.0/480.0	6.735
135	360.0/495.0	6.323
136	365.0/300.0	1.845
137	365.0/415.0	133.5
138	365.0/450.0	8.095
139	370.0/420.0	121.2
140	370.0/530.0	3.200
141	375.0/310.0	1.954
142	375.0/430.0	108.5
143	380.0/435.0	99.30
144	385.0/440.0	84.19
145	390.0/450.0	73.07
146	395.0/455.0	65.69
147	395.0/520.0	3.042
148	400.0/460.0	60.80
149	410.0/475.0	44.32
150	415.0/480.0	39.04
151	420.0/485.0	32.54
152	425.0/495.0	29.06
153	430.0/500.0	24.98
154	435.0/505.0	23.58
155	440.0/515.0	23.70
156	445.0/520.0	19.26

Data Points
	200.0	205.0	210.0	215.0	220.0	225.0	230.0	235.0	240.0	245.0	250.0	255.0	260.0	265.0	270.0	275.0	280.0	285.0	290.0	295.0	300.0	305.0	310.0	315.0	320.0	325.0	330.0	335.0	340.0	345.0	350.0	355.0	360.0	365.0	370.0	375.0	380.0	385.0	390.0	395.0	400.0	405.0	410.0	415.0	420.0	425.0	430.0	435.0	440.0	445.0	450.0
280.0	-7.058	0.385	7.534	1.333	8.209	-3.092	3.400	8.588	11.00	44.59	66.21	81.64	61.53	16.07	4.080	218.0	 1514	864.5	26.09	4.573	3.146	3.080	2.796	1.879	1.183	0.860	1.119	0.933	0.741	0.703	0.471	0.973	0.646	0.788	0.439	0.855	0.225	0.598	0.650	0.448	0.878	0.373	0.199	0.282	0.649	0.457	0.192	0.801	0.260	0.304	0.359
285.0	26.52	5.145	26.96	36.46	7.324	13.91	10.46	15.23	35.78	98.52	134.6	142.2	212.9	89.99	25.35	25.29	509.9	 3777	 2849	182.4	2.950	4.096	4.002	2.035	1.758	1.108	0.649	0.319	1.056	0.324	1.378	0.629	0.484	0.353	0.562	1.180	0.472	0.552	0.983	0.848	0.459	0.625	0.645	0.192	0.318	0.199	0.283	0.494	0.365	0.492	0.179
290.0	98.11	54.58	29.08	26.76	31.08	17.28	37.69	32.13	48.85	146.8	173.4	184.1	171.7	268.3	112.9	32.62	59.63	 1139	 6734	 4378	231.5	8.244	5.404	3.106	1.828	2.158	1.046	1.210	1.065	1.180	0.593	0.305	0.620	1.070	0.528	0.316	0.990	0.623	0.813	0.488	0.537	0.764	0.305	0.497	0.214	0.131	0.802	0.280	0.746	0.598	0.183
295.0	90.51	93.66	107.8	43.48	40.69	79.75	88.55	44.11	75.36	104.9	205.1	162.3	129.5	247.6	390.8	103.3	64.40	121.7	 1760	 9188	 5304	283.5	5.410	4.032	4.096	3.534	2.025	1.535	1.660	0.744	1.406	1.076	0.745	0.566	1.190	0.888	1.096	0.916	0.421	0.782	0.508	0.774	0.555	0.410	0.507	0.686	0.709	0.763	0.936	0.258	0.490
300.0	213.0	77.83	82.99	64.83	76.67	100.2	122.8	79.02	89.93	118.6	178.6	150.1	111.0	113.6	414.1	422.6	121.3	74.82	151.1	 2197	9999.9	 6136	296.7	8.890	4.764	3.635	2.412	1.922	1.258	1.738	1.376	1.391	0.689	1.845	1.107	0.724	0.951	0.785	0.332	1.260	0.629	0.877	1.398	0.445	0.629	0.646	0.624	0.599	0.737	0.637	0.695
305.0	127.2	54.88	112.0	106.5	90.67	166.0	105.1	79.37	76.60	81.91	113.1	97.54	91.73	77.47	137.9	543.9	399.4	102.5	50.93	160.8	 2259	9999.9	 6189	310.5	5.776	4.349	2.629	3.843	2.024	1.510	1.916	1.982	1.691	0.536	1.109	1.094	1.077	0.404	1.082	0.949	0.869	0.614	0.549	0.453	0.907	1.309	0.909	0.664	0.597	1.169	0.806
