365.0	474.0	698.9	 1139	 1214	 1990	 2323	 2350	 2069	 1632	 1546	 1572	 1783	 1976	 2452	 2894	 3239	 3562	 3418	 3023	 2274	 1682	 1407	 1239	 1120	 1103	 1187	871.1	584.8	446.5	316.1	226.6	411.2	 4212	9999.9	9999.9	423.8	23.39	14.23	9.277	7.614	5.435	4.427	3.894	3.830	3.627	4.821	5.082	5.593	6.023	7.691	8.083
370.0	334.7	677.1	982.3	 1273	 2034	 2325	 2250	 1923	 1780	 1630	 1787	 1761	 1973	 2309	 2799	 3090	 3263	 3259	 2948	 2334	 1755	 1506	 1365	 1289	 1201	 1185	 1151	823.2	578.6	425.9	290.0	219.1	380.3	 4259	9999.9	9999.9	409.1	21.06	14.07	10.29	7.790	6.079	5.133	4.470	5.384	5.371	4.713	5.902	6.809	7.705	7.281
375.0	414.6	636.6	893.5	 1290	 1734	 2268	 2208	 1791	 1699	 1643	 1630	 1686	 1908	 2219	 2603	 2957	 3122	 3084	 2781	 2244	 1798	 1598	 1517	 1409	 1308	 1263	 1213	 1133	739.0	554.6	398.1	272.3	198.6	381.3	 4046	9999.9	9999.9	443.7	20.16	13.34	9.906	7.484	4.553	4.271	6.094	5.890	5.612	4.226	6.197	6.558	7.154
380.0	334.6	587.4	881.0	 1321	 1692	 2191	 2177	 1736	 1646	 1614	 1693	 1738	 1880	 2170	 2430	 2748	 2920	 2903	 2623	 2195	 1821	 1676	 1577	 1523	 1453	 1352	 1242	 1201	 1003	692.3	503.2	365.9	261.3	197.8	372.7	 4015	9999.9	9999.9	386.5	20.72	12.29	9.400	7.189	5.368	5.866	4.554	5.717	5.227	5.707	6.680	6.316
385.0	385.2	666.3	822.1	 1254	 1626	 1976	 1936	 1737	 1691	 1685	 1655	 1728	 1763	 2090	 2337	 2546	 2797	 2748	 2568	 2105	 1831	 1669	 1670	 1592	 1527	 1443	 1317	 1169	 1170	912.6	626.5	473.1	362.3	266.9	204.4	370.2	 3569	9999.9	9999.9	408.4	21.51	13.67	10.17	7.762	6.345	5.060	4.692	6.323	5.377	6.002	8.097
390.0	323.6	494.8	833.7	 1109	 1538	 1877	 1778	 1661	 1661	 1608	 1632	 1728	 1723	 1928	 2189	 2422	 2544	 2603	 2379	 2023	 1802	 1719	 1682	 1654	 1620	 1525	 1418	 1251	 1120	 1115	818.6	597.8	469.0	359.9	264.4	197.6	335.5	 3274	9999.9	9999.9	365.9	18.76	12.81	10.21	8.745	7.199	5.565	6.589	4.771	6.406	8.293
395.0	310.7	580.9	852.7	 1022	 1564	 1807	 1798	 1645	 1659	 1653	 1738	 1688	 1766	 1839	 2045	 2277	 2408	 2385	 2355	 1990	 1790	 1679	 1686	 1679	 1667	 1580	 1478	 1343	 1203	 1111	 1068	764.8	594.8	471.1	357.7	265.2	198.1	321.9	 3137	9999.9	9999.9	361.2	18.76	12.93	9.820	8.270	6.317	5.650	6.685	6.520	7.198
400.0	258.4	614.0	765.1	 1172	 1407	 1590	 1633	 1652	 1692	 1726	 1719	 1643	 1694	 1773	 1969	 2141	 2297	 2285	 2194	 1914	 1758	 1663	 1674	 1662	 1681	 1649	 1509	 1404	 1279	 1181	 1111	 1000	747.7	605.0	483.1	373.9	248.4	185.4	300.6	 3062	9999.9	 9686	332.8	19.37	14.03	10.60	7.833	7.196	5.842	6.553	6.380
405.0	240.0	559.8	795.0	 1077	 1412	 1570	 1646	 1711	 1504	 1670	 1662	 1660	 1650	 1796	 1953	 2134	 2243	 2219	 2104	 1882	 1740	 1684	 1668	 1659	 1675	 1657	 1562	 1489	 1388	 1268	 1157	 1109	964.4	745.3	614.0	458.8	339.3	234.3	172.3	288.0	 2764	9999.9	 9637	287.5	15.90	11.71	9.774	9.242	6.028	7.798	5.878
410.0	281.7	552.7	717.4	800.7	 1205	 1480	 1559	 1529	 1594	 1641	 1656	 1601	 1704	 1839	 1891	 2041	 2167	 2106	 1980	 1771	 1659	 1650	 1625	 1645	 1687	 1655	 1627	 1542	 1444	 1333	 1239	 1154	 1172	958.5	716.7	570.0	428.4	314.5	215.9	161.3	266.1	 2719	9999.9	 8546	293.1	17.07	10.21	10.56	8.073	6.694	6.989
415.0	302.6	559.0	721.6	974.2	 1174	 1458	 1465	 1429	 1589	 1585	 1678	 1627	 1621	 1785	 1902	 2033	 2106	 2042	 1920	 1683	 1599	 1570	 1608	 1604	 1673	 1651	 1609	 1621	 1535	 1430	 1338	 1241	 1194	 1154	906.3	684.4	519.2	385.7	278.6	183.7	144.9	255.6	 2688	9999.9	 8909	279.5	16.04	11.96	9.801	8.249	6.179
420.0	245.9	565.1	706.4	894.1	 1114	 1311	 1383	 1464	 1510	 1652	 1645	 1636	 1729	 1793	 1930	 2012	 2107	 1995	 1884	 1647	 1511	 1498	 1498	 1585	 1593	 1620	 1597	 1618	 1557	 1457	 1400	 1324	 1216	 1195	 1109	809.2	619.0	481.6	335.8	247.3	172.5	118.6	240.8	 2755	9999.9	 7701	245.3	17.31	12.14	9.038	8.103
425.0	229.7	478.7	595.7	822.4	 1154	 1140	 1330	 1487	 1492	 1537	 1592	 1694	 1753	 1758	 1883	 1980	 1975	 1899	 1733	 1569	 1431	 1458	 1489	 1508	 1536	 1584	 1585	 1614	 1573	 1509	 1459	 1385	 1297	 1213	 1167	963.3	717.5	541.1	411.2	301.2	208.4	148.1	105.6	242.7	 2625	9999.9	 7148	234.4	15.03	10.32	9.813
430.0	296.9	409.8	628.8	745.3	996.5	 1165	 1285	 1370	 1482	 1461	 1589	 1681	 1751	 1841	 1885	 1979	 2021	 1904	 1677	 1520	 1429	 1366	 1422	 1439	 1513	 1564	 1559	 1545	 1562	 1525	 1476	 1420	 1366	 1247	 1178	 1066	832.2	604.8	456.0	354.1	252.0	184.8	127.7	100.0	223.4	 2585	9999.9	 7361	205.2	14.55	10.28
435.0	210.0	352.9	509.0	715.3	960.2	 1041	 1258	 1365	 1472	 1519	 1642	 1717	 1702	 1806	 1935	 2049	 2031	 1864	 1698	 1456	 1307	 1313	 1379	 1403	 1436	 1450	 1522	 1539	 1562	 1547	 1511	 1468	 1414	 1321	 1197	 1070	936.1	721.1	516.0	391.5	302.3	228.0	166.5	120.7	95.10	223.2	 2322	9999.9	 6512	191.5	14.88
440.0	291.4	360.8	553.5	717.7	858.8	 1000	 1249	 1299	 1464	 1401	 1659	 1657	 1748	 1752	 1913	 1983	 1900	 1816	 1553	 1355	 1304	 1282	 1287	 1329	 1368	 1410	 1457	 1496	 1487	 1516	 1510	 1467	 1401	 1364	 1222	 1073	930.1	811.9	581.4	448.0	340.5	262.6	197.4	152.6	110.6	93.66	204.7	 2372	9999.9	 6372	163.9
445.0	216.1	388.5	596.6	702.3	858.5	 1075	 1104	 1248	 1328	 1373	 1473	 1687	 1756	 1817	 1879	 1921	 1855	 1721	 1519	 1320	 1228	 1175	 1186	 1269	 1291	 1354	 1408	 1452	 1442	 1482	 1469	 1436	 1416	 1361	 1273	 1105	934.5	818.5	679.3	498.4	379.0	292.6	232.1	182.4	140.7	105.6	87.38	206.2	 2344	9999.9	 5441
450.0	187.6	382.9	555.2	509.1	850.4	980.1	 1017	 1218	 1244	 1288	 1585	 1530	 1625	 1673	 1780	 1812	 1836	 1612	 1404	 1203	 1126	 1083	 1145	 1172	 1217	 1272	 1333	 1369	 1382	 1418	 1425	 1413	 1374	 1326	 1256	 1104	923.9	786.2	695.5	568.4	415.6	314.4	263.5	211.4	168.9	133.9	104.5	86.50	198.4	 2223	9999.9
455.0	239.9	331.4	466.8	533.6	710.0	843.3	 1009	 1087	 1231	 1329	 1441	 1407	 1610	 1668	 1703	 1778	 1739	 1581	 1312	 1148	 1090	 1042	 1018	 1129	 1132	 1183	 1233	 1266	 1337	 1322	 1332	 1340	 1334	 1288	 1198	 1083	919.0	773.0	673.8	606.7	448.8	350.7	293.6	231.1	197.1	163.1	122.4	94.22	73.40	186.3	 2227
460.0	177.1	284.0	353.9	501.2	596.2	701.8	 1014	 1049	 1141	 1229	 1242	 1460	 1529	 1608	 1560	 1680	 1680	 1472	 1251	 1096	995.1	986.8	996.5	 1005	 1045	 1079	 1132	 1176	 1224	 1235	 1272	 1277	 1233	 1214	 1155	 1048	901.3	777.0	650.0	569.9	512.8	388.6	312.7	254.0	215.4	177.6	150.6	117.8	85.62	69.37	185.1
465.0	135.2	329.1	410.4	532.6	551.5	692.3	833.8	917.2	963.4	 1124	 1229	 1397	 1394	 1462	 1529	 1569	 1540	 1378	 1141	 1015	903.4	897.8	906.5	934.5	961.6	 1004	 1032	 1081	 1096	 1163	 1175	 1180	 1204	 1157	 1095	976.6	862.5	750.7	630.0	547.8	496.9	434.9	341.5	289.5	241.6	197.3	166.1	126.1	101.4	78.15	66.06
470.0	205.8	276.6	346.4	451.4	457.3	675.9	862.1	832.5	 1015	 1060	 1150	 1194	 1333	 1384	 1433	 1541	 1432	 1325	 1104	917.9	866.2	832.3	821.2	848.2	895.7	915.8	958.2	 1014	 1019	 1050	 1078	 1067	 1072	 1081	 1036	925.4	831.1	715.0	622.2	523.2	450.7	432.0	372.6	288.0	240.0	211.2	172.7	140.5	109.6	83.61	61.92
475.0	115.9	296.5	386.7	367.6	503.9	644.5	789.8	800.0	867.3	967.0	 1000	 1133	 1195	 1269	 1367	 1296	 1259	 1149	983.8	862.2	769.6	749.6	754.7	765.0	787.4	814.9	861.7	893.9	928.9	982.5	980.0	999.7	997.6	975.9	955.2	861.4	774.2	678.9	596.7	500.4	439.5	392.3	378.5	301.1	251.2	215.0	186.8	145.1	114.1	92.89	71.78
480.0	156.4	249.6	284.4	396.8	449.1	572.4	621.4	682.6	789.4	914.1	945.9	 1063	 1115	 1143	 1166	 1212	 1178	 1056	946.8	763.2	709.1	686.3	689.8	730.4	719.2	746.6	781.2	842.6	849.1	866.8	880.3	893.5	895.0	908.0	872.7	821.1	739.7	647.2	551.8	489.0	433.4	365.8	350.3	329.3	271.3	226.3	194.8	156.1	121.6	100.3	78.18
485.0	157.6	205.8	328.9	426.9	417.2	434.1	635.4	628.2	754.8	843.6	874.6	947.2	961.9	 1028	 1081	 1149	 1074	967.0	815.0	730.9	678.3	650.9	654.0	638.6	669.8	675.8	713.0	758.0	790.4	805.4	820.2	856.0	845.7	865.2	837.3	768.1	675.4	615.5	540.2	471.6	420.6	372.2	332.8	327.6	286.2	230.2	193.4	159.8	135.0	107.2	86.86
490.0	140.4	177.7	283.1	355.8	375.9	429.9	526.6	597.1	701.7	782.9	863.2	885.3	897.9	927.1	 1006	 1055	990.7	919.0	796.1	660.1	617.7	606.3	590.9	615.4	601.4	649.7	682.2	683.9	714.9	740.5	742.7	753.8	771.6	777.3	751.4	719.3	642.0	581.4	501.3	450.0	402.8	353.3	318.8	296.5	285.5	245.0	206.3	172.4	143.3	115.1	92.31
495.0	120.9	175.4	217.6	218.7	302.4	405.2	474.0	582.7	649.7	758.1	747.9	823.2	855.0	961.6	952.9	979.1	911.0	849.0	707.6	635.2	575.7	570.8	546.6	557.6	561.1	585.2	591.4	639.8	647.7	667.4	681.8	694.4	714.0	710.9	701.9	652.6	594.1	532.2	475.9	425.0	384.2	343.8	305.6	286.0	275.8	259.7	213.2	170.4	148.3	123.7	105.6
500.0	114.0	142.6	198.9	277.5	326.7	447.6	444.3	459.8	500.4	667.5	714.1	804.7	767.8	821.7	850.1	864.2	863.1	824.1	667.9	552.7	543.4	485.7	500.0	519.2	512.5	518.4	528.8	572.8	600.6	606.9	630.7	638.6	642.6	653.0	647.4	602.7	536.9	490.8	448.5	404.1	380.0	326.8	304.6	278.1	255.7	250.0	221.2	186.1	150.1	124.9	104.7
505.0	107.5	208.5	138.8	246.6	291.1	353.8	420.0	470.4	577.6	633.4	677.8	658.9	683.4	781.3	786.6	797.0	773.2	687.6	634.2	543.5	470.6	467.2	463.2	471.9	470.9	477.4	488.2	524.5	526.9	545.8	556.0	589.8	581.7	616.9	591.5	546.0	504.2	452.1	407.0	371.5	337.1	308.6	289.6	271.9	238.0	221.6	214.9	199.2	158.9	126.4	112.5
510.0	89.10	113.0	106.4	191.8	231.7	292.5	394.5	451.8	477.4	538.1	557.4	606.1	679.7	729.7	739.3	729.9	699.0	651.2	519.0	480.3	442.4	421.0	423.7	415.2	429.4	425.4	454.5	473.2	481.5	485.4	487.2	523.9	521.5	540.2	522.4	517.5	454.5	423.4	379.4	352.7	315.8	287.0	266.5	243.8	224.7	204.7	200.9	195.7	165.6	125.4	110.4
515.0	27.41	108.7	131.5	192.5	227.6	254.7	346.6	377.6	466.0	461.4	532.9	537.6	613.7	618.6	668.0	618.0	608.9	561.7	501.8	430.6	384.4	397.0	393.5	375.3	381.7	359.8	401.8	418.3	413.5	440.7	428.5	465.7	453.1	476.3	469.5	452.6	408.7	382.9	351.5	316.1	299.1	272.8	256.5	235.7	220.3	196.4	180.2	181.1	175.0	141.6	119.9
520.0	120.8	90.61	101.5	175.9	224.4	256.6	268.2	370.9	388.5	431.0	480.6	456.9	520.7	576.4	555.6	597.9	553.5	532.8	465.6	404.6	357.0	348.5	349.1	330.3	356.7	353.4	378.6	360.5	364.6	383.8	377.8	407.8	419.2	433.6	413.0	400.2	389.8	347.1	315.4	291.6	267.8	246.5	236.4	213.9	202.6	190.7	167.0	145.8	152.9	145.4	117.6
525.0	91.39	103.7	129.4	154.5	178.3	199.2	284.5	298.1	332.6	380.0	470.2	419.2	486.7	497.6	523.3	538.1	495.8	439.8	405.7	353.2	336.0	301.0	304.6	307.5	312.7	306.7	321.0	328.4	338.4	349.8	350.6	354.0	383.2	387.5	388.3	358.0	348.8	309.2	293.6	272.4	247.3	232.8	214.1	204.3	184.9	175.2	161.3	141.2	146.7	139.4	120.2
530.0	61.66	68.59	135.5	119.5	223.7	228.1	264.1	254.5	302.1	386.2	352.7	353.2	429.8	459.6	474.6	455.1	436.8	411.2	353.6	311.9	284.2	284.1	271.6	266.9	287.9	275.8	287.3	296.1	290.1	304.5	307.2	322.6	329.0	345.0	332.4	323.5	308.1	283.7	252.0	246.1	220.2	205.6	200.1	190.8	174.2	162.6	148.8	134.6	128.3	119.5	119.3
535.0	63.50	53.76	121.1	72.32	205.2	176.3	213.0	229.2	287.5	326.4	318.0	347.5	385.9	376.6	416.0	418.9	396.6	399.7	332.0	279.1	258.9	263.8	236.0	237.2	240.2	245.8	251.5	248.5	269.5	267.8	265.4	280.7	293.3	293.0	309.7	292.3	276.2	253.3	224.0	217.0	204.2	186.3	178.2	173.3	155.2	143.9	143.9	125.7	109.4	115.2	101.2
540.0	41.65	55.45	96.29	116.1	110.5	175.9	187.2	205.7	274.2	288.9	282.9	326.4	329.1	369.9	390.7	388.0	355.9	334.5	295.8	249.9	228.8	217.3	214.8	217.0	207.9	228.9	217.6	224.1	213.2	233.4	251.8	242.6	258.9	270.7	261.6	255.5	239.7	229.6	204.1	193.7	175.5	168.3	163.2	151.5	140.4	135.2	133.9	116.3	110.3	97.49	94.09
545.0	42.48	46.85	77.01	106.7	120.2	160.0	188.6	170.6	203.2	226.6	259.8	268.6	317.4	330.2	337.2	350.8	337.0	304.1	258.4	251.2	206.2	197.3	195.4	184.3	183.9	185.3	194.6	198.2	201.7	201.0	205.8	214.7	219.1	233.3	241.3	222.0	219.9	193.3	173.7	175.2	154.7	147.8	141.2	138.8	128.9	126.6	109.6	106.2	96.78	90.73	79.70
550.0	33.31	86.77	93.36	92.50	126.1	207.0	161.1	182.1	193.5	201.7	245.8	248.1	281.9	261.0	313.5	354.8	332.9	272.6	237.7	219.8	187.0	169.2	170.1	175.7	174.5	166.8	181.6	184.8	175.7	178.1	200.1	202.7	216.8	211.0	215.9	193.2	194.6	181.0	164.7	156.6	150.1	139.9	124.6	119.9	114.8	116.9	99.27	95.80	94.11	83.22	76.15
