Sample:	'SLABO1-5-5-320
File name:	2N8.FD3
Run Date:	15:15:25, 08/17/2022
Operator:	Administrator
Comment:	'

Instrument
Model:	F-7000 FL Spectrophotometer
Serial Number:	2354-007
ROM Version:	5J14000 06

Instrument Parameters
Measurement type:	3-D Scan
Data mode:	Fluorescence
EX  Start WL:	200.0 nm
EX  End WL:	450.0 nm
EX Sampling Interval:	5.0 nm
EM  Start WL:	280.0 nm
EM  End WL:	550.0 nm
EM Sampling Interval:	5.0 nm
Scan speed:	12000 nm/min
EX Slit:	5.0 nm
EM Slit:	5.0 nm
PMT Voltage:	700 V
Response:	Auto 
Corrected spectra:	Off
Shutter control:	On
Contour interval:	25.000

Peak integration
Integration method:	Rectangular
Sensitivity:	1
Threshold:	1.000

Peaks
No.	ApexEX/EM(nm)	Height(Data)
1	225.0/350.0	 2625
2	230.0/340.0	 2586
3	235.0/405.0	 1711
4	245.0/400.0	 1726
5	245.0/420.0	 1652
6	250.0/295.0	687.2
7	250.0/395.0	 1738
8	250.0/415.0	 1678
9	275.0/435.0	 2049
10	280.0/355.0	 3705
11	320.0/400.0	 1681
12	320.0/410.0	 1687
13	340.0/285.0	3.420
14	365.0/305.0	4.043
15	385.0/305.0	3.418
16	400.0/340.0	4.561
17	420.0/320.0	4.948
18	440.0/305.0	5.720
19	445.0/345.0	8.786

Data Points
	200.0	205.0	210.0	215.0	220.0	225.0	230.0	235.0	240.0	245.0	250.0	255.0	260.0	265.0	270.0	275.0	280.0	285.0	290.0	295.0	300.0	305.0	310.0	315.0	320.0	325.0	330.0	335.0	340.0	345.0	350.0	355.0	360.0	365.0	370.0	375.0	380.0	385.0	390.0	395.0	400.0	405.0	410.0	415.0	420.0	425.0	430.0	435.0	440.0	445.0	450.0
280.0	62.11	45.08	56.69	27.06	48.38	48.82	22.66	23.09	49.20	121.3	198.5	220.0	104.3	53.00	32.03	392.5	 2274	914.2	29.01	6.269	3.964	4.028	4.944	1.487	2.155	3.055	1.634	1.744	1.315	1.937	1.713	3.570	1.819	1.827	2.682	1.462	1.106	1.303	0.680	1.670	0.823	1.097	0.612	0.876	1.082	0.252	1.031	0.843	0.861	0.553	1.063
285.0	229.3	225.3	150.3	221.1	197.0	265.6	141.6	121.1	153.6	354.4	465.2	438.1	365.5	192.9	109.7	115.0	959.5	 6401	 3307	201.4	8.224	5.399	4.624	3.826	3.545	2.583	1.519	2.421	3.420	1.936	1.438	2.872	1.547	1.645	1.561	1.103	2.129	1.557	1.553	1.938	1.143	1.261	0.769	0.729	1.249	1.243	1.311	0.967	0.916	1.237	0.819
290.0	371.3	465.8	438.1	410.6	626.1	609.1	363.3	235.0	233.8	489.1	618.0	584.7	487.5	484.1	345.7	316.5	298.0	 2394	9999.9	 5291	253.7	9.349	7.263	8.524	5.445	3.081	3.169	3.551	2.518	2.539	1.353	2.460	1.987	2.801	2.201	1.087	1.400	1.344	1.302	1.358	1.610	1.559	1.838	1.329	1.633	1.274	1.699	1.805	2.987	1.540	2.385
295.0	567.3	521.4	523.7	688.4	801.3	820.3	728.0	419.4	332.6	486.9	687.2	653.5	596.3	620.3	766.2	651.9	512.0	472.1	 3578	9999.9	 7226	323.3	10.57	7.713	8.513	5.557	4.734	3.313	2.179	2.905	1.745	2.172	2.190	2.305	2.638	1.128	1.687	2.365	2.288	2.451	1.981	1.964	1.883	1.800	2.602	1.932	2.290	3.096	2.650	2.581	2.829
300.0	683.5	658.3	736.2	953.4	 1135	 1296	962.5	606.3	420.3	498.7	657.0	648.9	657.3	739.3	 1113	 1198	929.9	613.7	495.5	 4339	9999.9	 8751	324.8	16.06	11.50	8.282	6.363	5.310	4.423	2.806	3.273	3.231	3.312	2.040	2.288	1.186	2.354	2.650	2.819	2.574	1.864	3.078	2.591	2.766	2.521	2.548	2.599	2.894	4.608	4.054	4.276
305.0	826.4	 1008	852.0	996.0	 1275	 1325	 1122	729.4	520.6	553.2	636.7	691.1	737.5	872.9	 1180	 1695	 1524	955.3	496.3	486.4	 4581	9999.9	 9838	387.8	16.27	9.524	6.938	7.784	3.921	3.405	3.053	3.495	2.431	4.043	1.978	1.605	2.590	3.418	2.340	3.014	1.509	3.162	2.056	2.796	3.753	2.628	2.938	3.816	5.720	3.234	5.641
310.0	731.7	747.3	910.0	 1041	 1318	 1516	 1335	851.3	605.3	602.0	676.3	766.7	822.0	 1080	 1398	 1665	 2036	 1381	789.1	402.6	460.1	 4852	9999.9	9999.9	376.1	14.50	11.71	8.091	6.025	4.620	3.449	4.985	2.545	2.852	3.354	2.802	2.407	2.175	1.754	2.243	3.128	3.150	2.518	2.212	2.960	3.045	3.659	5.125	4.270	4.908	5.935
315.0	785.7	806.7	996.4	 1087	 1380	 1600	 1544	 1048	725.6	655.8	733.7	856.2	894.2	 1282	 1590	 1905	 2045	 2039	 1181	579.1	286.0	425.0	 5908	9999.9	9999.9	338.7	14.08	11.73	8.524	8.523	5.054	5.003	4.159	3.239	3.038	3.689	2.250	3.079	1.299	3.389	3.469	2.848	4.115	3.136	3.832	3.560	3.141	4.109	4.942	4.997	5.657
320.0	717.3	739.1	920.5	 1078	 1525	 1862	 1814	 1125	798.5	766.9	858.8	988.6	 1145	 1459	 1849	 2175	 2278	 2157	 1828	872.4	401.0	227.6	497.4	 5630	9999.9	9999.9	325.5	17.55	13.95	9.399	8.207	5.107	3.781	4.387	3.304	3.956	2.411	2.362	2.227	2.783	2.765	3.377	3.865	2.740	4.948	3.950	3.845	4.394	6.078	4.856	5.782
325.0	657.2	692.2	 1191	 1219	 1729	 2047	 1968	 1405	 1029	880.8	954.2	 1062	 1407	 1722	 2125	 2458	 2684	 2298	 2038	 1415	605.1	307.7	201.1	457.8	 5462	9999.9	9999.9	345.9	17.57	15.35	10.84	7.549	6.930	5.195	3.789	3.808	3.385	1.787	2.062	3.543	3.054	2.306	3.631	3.287	3.928	4.230	4.535	5.213	6.159	6.860	7.899
330.0	632.7	979.0	 1234	 1237	 1930	 2274	 2336	 1708	 1113	 1004	 1008	 1249	 1511	 1845	 2388	 2803	 3013	 2799	 2159	 1606	 1037	450.8	272.3	196.2	448.9	 5112	9999.9	9999.9	347.6	21.23	14.66	10.84	10.57	5.400	7.192	3.150	4.168	2.732	2.873	2.908	2.846	2.991	3.335	2.849	3.355	4.228	4.037	5.584	6.833	8.022	8.763
335.0	566.3	919.8	 1111	 1441	 1939	 2372	 2431	 1723	 1271	 1072	 1149	 1355	 1570	 2088	 2546	 3014	 3341	 3067	 2433	 1575	 1230	738.5	394.6	263.2	189.1	440.7	 5241	9999.9	9999.9	345.2	22.89	15.51	10.07	8.435	6.738	5.238	3.960	3.171	3.093	2.686	3.090	2.605	2.681	3.082	4.438	4.759	5.330	5.026	6.754	7.891	8.337
340.0	556.4	763.8	 1120	 1512	 2073	 2548	 2586	 1947	 1372	 1158	 1168	 1379	 1746	 2151	 2808	 3269	 3442	 3241	 2709	 1764	 1157	 1045	612.5	352.6	256.9	205.8	457.9	 4957	9999.9	9999.9	386.4	25.02	13.42	12.64	9.623	5.155	6.369	3.486	3.244	3.030	4.561	2.766	2.986	3.890	4.830	3.747	4.821	5.311	6.176	6.961	8.264
345.0	381.0	773.8	 1199	 1646	 2152	 2576	 2569	 1945	 1436	 1226	 1325	 1517	 1843	 2320	 2823	 3336	 3586	 3442	 2888	 1906	 1199	942.4	922.2	577.0	365.4	280.8	231.8	450.9	 4652	9999.9	9999.9	404.3	22.83	14.97	13.18	8.668	6.270	4.863	4.194	3.959	2.794	3.174	3.270	3.138	4.352	4.572	4.404	5.962	7.886	8.786	8.463
350.0	440.7	800.3	 1083	 1474	 2281	 2625	 2546	 1967	 1502	 1295	 1346	 1546	 1921	 2443	 2951	 3365	 3574	 3564	 2947	 2079	 1357	967.1	957.8	916.0	557.6	401.9	320.2	244.9	441.9	 4604	9999.9	9999.9	394.9	21.77	15.88	10.86	7.572	4.570	4.324	4.275	3.864	3.406	3.712	3.613	5.133	4.902	6.095	5.748	7.269	8.158	7.295
355.0	545.3	733.1	926.2	 1592	 2203	 2622	 2415	 2054	 1528	 1441	 1479	 1578	 1968	 2384	 2925	 3383	 3705	 3531	 3024	 2131	 1493	 1143	971.4	998.3	913.3	606.7	437.6	347.4	261.2	437.5	 4379	9999.9	9999.9	419.3	25.19	14.61	11.95	8.313	6.131	5.212	3.186	3.351	4.077	3.181	3.597	3.526	5.742	5.858	6.574	8.468	7.091
360.0	449.0	698.0	 1000	 1537	 1986	 2608	 2495	 1934	 1570	 1467	 1529	 1642	 2058	 2450	 2885	 3282	 3581	 3479	 3016	 2196	 1633	 1259	 1083	 1011	 1107	872.8	602.6	468.1	343.1	242.1	408.0	 4423	9999.9	9999.9	372.2	23.73	15.23	10.41	7.638	6.416	4.082	4.111	3.065	4.009	5.390	4.497	6.251	5.901	6.866	6.789	9.430
