Sample:	'SLABO1-5-5-320
File name:	2P9.FD3
Run Date:	16:41:55, 08/17/2022
Operator:	Administrator
Comment:	'

Instrument
Model:	F-7000 FL Spectrophotometer
Serial Number:	2354-007
ROM Version:	5J14000 06

Instrument Parameters
Measurement type:	3-D Scan
Data mode:	Fluorescence
EX  Start WL:	200.0 nm
EX  End WL:	450.0 nm
EX Sampling Interval:	5.0 nm
EM  Start WL:	280.0 nm
EM  End WL:	550.0 nm
EM Sampling Interval:	5.0 nm
Scan speed:	12000 nm/min
EX Slit:	5.0 nm
EM Slit:	5.0 nm
PMT Voltage:	700 V
Response:	Auto 
Corrected spectra:	Off
Shutter control:	On
Contour interval:	25.000

Peak integration
Integration method:	Rectangular
Sensitivity:	1
Threshold:	1.000

Peaks
No.	ApexEX/EM(nm)	Height(Data)
1	205.0/310.0	428.9
2	205.0/525.0	406.9
3	210.0/315.0	504.7
4	210.0/350.0	607.0
5	210.0/365.0	718.9
6	215.0/330.0	598.9
7	220.0/300.0	391.0
8	220.0/535.0	540.6
9	230.0/305.0	400.6
10	270.0/300.0	437.9
11	275.0/305.0	626.5
12	275.0/425.0	 4267
13	280.0/310.0	808.9
14	285.0/315.0	850.3
15	290.0/320.0	835.9
16	295.0/330.0	860.2
17	320.0/420.0	 4049
18	325.0/415.0	 4031
19	330.0/425.0	 4096
20	375.0/295.0	12.23
21	380.0/300.0	12.11
22	400.0/305.0	9.134
23	410.0/315.0	9.528
24	410.0/330.0	12.18
25	430.0/325.0	7.798
26	435.0/330.0	8.349
27	445.0/300.0	5.218
28	445.0/365.0	10.79

Data Points
325.0	475.7	459.7	410.2	425.2	548.4	603.3	624.7	559.6	455.0	379.5	457.4	473.3	476.4	520.6	626.7	674.4	793.1	701.0	832.0	785.0	354.1	246.9	244.9	825.6	9999.9	9999.9	9999.9	 1657	115.4	84.54	64.57	47.25	35.95	28.10	23.58	19.98	16.48	13.49	12.82	13.79	11.08	9.455	10.10	8.256	6.790	6.212	7.798	6.030	6.447	5.902	4.969
330.0	411.4	522.2	396.7	598.9	513.9	604.6	686.6	604.5	503.0	483.5	532.0	527.9	550.4	575.2	705.7	766.7	883.4	798.4	725.0	860.2	654.6	367.3	262.9	260.3	829.6	9999.9	9999.9	9999.9	 1689	122.7	94.53	73.41	56.74	36.66	27.29	24.95	20.73	15.30	12.58	9.873	9.114	9.310	12.18	9.653	7.805	6.807	6.280	8.349	5.898	6.879	6.404
335.0	423.3	449.1	485.8	577.6	563.9	650.1	763.0	674.4	584.8	512.9	549.1	543.1	587.5	667.8	759.2	844.0	945.9	894.8	824.3	792.0	808.6	616.8	394.5	324.7	298.4	877.8	9999.9	9999.9	9999.9	 1791	134.5	97.22	77.28	56.12	41.57	30.01	23.19	18.96	14.90	13.07	12.13	10.32	10.58	9.112	9.150	7.400	6.516	7.307	6.364	6.765	6.950
340.0	421.3	354.5	555.8	597.8	555.9	631.2	780.5	709.1	618.3	581.3	597.7	616.3	661.2	745.2	852.8	954.6	 1006	982.0	950.8	891.7	793.6	882.9	612.0	425.5	367.8	340.1	872.8	9999.9	9999.9	9999.9	 2045	143.0	103.9	79.24	55.52	45.59	30.27	25.94	15.78	14.53	14.02	10.78	11.57	10.42	8.503	6.659	8.144	8.122	6.904	8.416	7.518
345.0	466.5	536.3	530.8	617.9	668.9	729.7	859.9	795.4	675.4	766.0	739.1	743.5	762.5	835.7	845.3	 1066	 1067	 1109	 1081	997.8	852.2	860.1	959.8	663.6	525.9	438.2	366.7	915.2	9999.9	9999.9	9999.9	 2354	148.8	110.2	78.94	63.14	39.14	26.81	26.13	14.50	15.30	12.60	10.99	10.11	9.364	8.060	8.275	7.463	8.001	7.542	6.800
350.0	495.9	415.5	607.0	602.4	600.1	812.8	948.9	842.0	870.3	845.5	829.2	812.1	873.6	938.2	 1050	 1105	 1308	 1285	 1205	 1167	 1001	960.6	 1000	 1054	756.7	612.7	486.3	432.8	947.3	9999.9	9999.9	9999.9	 2435	161.0	117.0	83.98	58.53	38.53	25.80	23.27	15.80	14.24	10.18	11.17	9.971	7.264	7.539	8.460	7.474	7.018	7.636
355.0	568.6	461.9	490.2	682.6	737.8	873.8	 1053	969.2	920.2	947.1	937.4	990.1	 1006	 1067	 1225	 1309	 1486	 1404	 1345	 1322	 1198	 1148	 1128	 1251	 1206	874.6	704.5	579.7	479.8	995.8	9999.9	9999.9	9999.9	 2625	165.8	117.6	79.26	56.19	40.29	27.90	21.46	15.54	14.62	12.33	11.47	9.475	7.875	8.422	7.894	7.522	8.460
360.0	516.3	548.3	603.1	616.7	887.3	962.3	 1042	 1049	 1164	 1115	 1069	 1089	 1220	 1310	 1351	 1462	 1632	 1596	 1556	 1507	 1433	 1363	 1370	 1362	 1455	 1293	996.0	803.2	659.3	557.2	 1031	9999.9	9999.9	9999.9	 2520	161.6	109.4	81.77	52.72	36.45	27.10	22.31	16.93	14.17	11.97	12.00	10.45	8.767	9.745	6.947	7.819
365.0	507.3	670.4	718.9	651.9	974.8	 1065	 1178	 1311	 1227	 1276	 1329	 1384	 1386	 1482	 1604	 1686	 1866	 1784	 1792	 1772	 1683	 1591	 1612	 1603	 1569	 1704	 1355	 1098	921.2	729.6	603.1	 1031	9999.9	9999.9	9999.9	 2802	164.1	115.6	72.93	51.35	35.12	27.40	18.78	14.30	12.08	10.60	12.61	9.344	10.67	10.79	9.467
370.0	566.8	581.5	695.6	862.9	 1032	 1152	 1341	 1317	 1495	 1484	 1472	 1578	 1663	 1718	 1878	 1951	 2088	 1938	 1997	 1954	 1855	 1906	 1926	 1921	 1859	 1871	 1813	 1484	 1197	952.8	752.3	596.0	 1053	9999.9	9999.9	9999.9	 2779	164.5	106.3	70.63	53.55	34.51	25.10	18.51	15.03	13.66	11.83	10.05	10.80	9.677	9.443
