Sample:	'SLABO1-5-5-320
File name:	3N11.FD3
Run Date:	15:46:42, 08/24/2022
Operator:	Administrator
Comment:	'

Instrument
Model:	F-7000 FL Spectrophotometer
Serial Number:	2354-007
ROM Version:	5J14000 06

Instrument Parameters
Measurement type:	3-D Scan
Data mode:	Fluorescence
EX  Start WL:	200.0 nm
EX  End WL:	450.0 nm
EX Sampling Interval:	5.0 nm
EM  Start WL:	280.0 nm
EM  End WL:	550.0 nm
EM Sampling Interval:	5.0 nm
Scan speed:	12000 nm/min
EX Slit:	5.0 nm
EM Slit:	5.0 nm
PMT Voltage:	700 V
Response:	Auto 
Corrected spectra:	Off
Shutter control:	On
Contour interval:	25.000

Peak integration
Integration method:	Rectangular
Sensitivity:	1
Threshold:	1.000

Peaks
No.	ApexEX/EM(nm)	Height(Data)
1	205.0/475.0	141.9
2	210.0/315.0	525.1
3	210.0/330.0	560.4
4	210.0/370.0	301.0
5	210.0/425.0	294.3
6	210.0/480.0	169.1
7	215.0/310.0	577.5
8	215.0/395.0	356.1
9	215.0/475.0	175.1
10	215.0/545.0	85.08
11	220.0/305.0	691.4
12	220.0/350.0	418.9
13	220.0/370.0	399.8
14	220.0/385.0	350.1
15	220.0/415.0	306.5
16	220.0/440.0	374.6
17	220.0/490.0	211.0
18	220.0/505.0	141.9
19	225.0/295.0	598.9
20	225.0/315.0	546.4
21	225.0/330.0	616.9
22	225.0/355.0	429.7
23	225.0/375.0	390.3
24	225.0/525.0	129.5
25	225.0/545.0	70.37
26	230.0/350.0	499.1
27	230.0/400.0	418.7
28	230.0/415.0	416.9
29	230.0/425.0	359.8
30	230.0/440.0	352.3
31	235.0/395.0	367.4
32	235.0/410.0	396.5
33	235.0/445.0	351.1
34	235.0/490.0	197.9
35	235.0/535.0	112.5
36	240.0/365.0	353.3
37	240.0/405.0	367.6
38	240.0/530.0	110.1
39	240.0/540.0	86.27
40	245.0/410.0	390.5
41	245.0/545.0	93.23
42	250.0/325.0	279.0
43	250.0/370.0	335.9
44	250.0/395.0	372.4
45	250.0/420.0	384.8
46	250.0/430.0	381.5
47	250.0/520.0	154.3
48	255.0/295.0	277.4
49	255.0/330.0	293.1
50	255.0/340.0	294.8
51	255.0/415.0	381.6
52	260.0/285.0	217.7
53	260.0/405.0	372.4
54	260.0/440.0	387.8
55	260.0/455.0	366.2
56	260.0/500.0	224.6
57	265.0/290.0	357.9
58	265.0/420.0	382.6
59	265.0/430.0	383.7
60	265.0/490.0	236.0
61	270.0/445.0	414.1
62	270.0/475.0	301.7
63	270.0/495.0	236.0
64	275.0/305.0	684.1
65	275.0/330.0	418.9
66	275.0/355.0	401.3
67	275.0/370.0	399.1
68	275.0/380.0	377.8
69	275.0/430.0	389.2
70	275.0/460.0	333.4
71	275.0/490.0	253.3
72	280.0/310.0	848.0
73	280.0/340.0	422.0
74	280.0/350.0	420.6
75	280.0/360.0	432.6
76	280.0/390.0	373.5
77	280.0/400.0	385.3
78	280.0/410.0	397.0
79	280.0/420.0	374.4
80	280.0/465.0	332.3
81	285.0/315.0	849.5
82	285.0/395.0	373.7
