Sample:	'SLABO1-5-5-320
File name:	3H3.FD3
Run Date:	16:55:46, 08/24/2022
Operator:	Administrator
Comment:	'

Instrument
Model:	F-7000 FL Spectrophotometer
Serial Number:	2354-007
ROM Version:	5J14000 06

Instrument Parameters
Measurement type:	3-D Scan
Data mode:	Fluorescence
EX  Start WL:	200.0 nm
EX  End WL:	450.0 nm
EX Sampling Interval:	5.0 nm
EM  Start WL:	280.0 nm
EM  End WL:	550.0 nm
EM Sampling Interval:	5.0 nm
Scan speed:	12000 nm/min
EX Slit:	5.0 nm
EM Slit:	5.0 nm
PMT Voltage:	700 V
Response:	Auto 
Corrected spectra:	Off
Shutter control:	On
Contour interval:	25.000

Peak integration
Integration method:	Rectangular
Sensitivity:	1
Threshold:	1.000

Peaks
No.	ApexEX/EM(nm)	Height(Data)
1	205.0/325.0	604.6
2	205.0/430.0	376.8
3	205.0/485.0	244.7
4	205.0/510.0	149.0
5	205.0/530.0	124.8
6	205.0/545.0	110.8
7	210.0/315.0	695.9
8	210.0/335.0	659.9
9	210.0/345.0	574.4
10	210.0/400.0	454.2
11	210.0/500.0	212.4
12	210.0/535.0	142.0
13	215.0/305.0	644.7
14	215.0/320.0	692.1
15	215.0/370.0	585.2
16	215.0/385.0	545.1
17	215.0/450.0	382.6
18	215.0/465.0	376.6
19	220.0/295.0	581.2
20	220.0/315.0	650.7
21	220.0/400.0	560.6
22	220.0/505.0	191.0
23	220.0/530.0	138.8
24	220.0/540.0	109.9
25	225.0/300.0	656.3
26	225.0/335.0	837.8
27	225.0/470.0	402.4
28	225.0/515.0	176.0
29	230.0/330.0	756.4
30	230.0/340.0	826.0
31	230.0/360.0	720.1
32	230.0/405.0	605.2
33	230.0/435.0	552.7
34	230.0/490.0	300.8
35	230.0/500.0	235.5
36	230.0/525.0	169.4
37	230.0/535.0	166.6
38	235.0/395.0	602.7
39	235.0/415.0	595.5
40	235.0/440.0	507.4
41	235.0/510.0	224.5
42	240.0/405.0	609.5
43	240.0/525.0	171.3
44	245.0/380.0	572.4
45	245.0/425.0	576.5
46	250.0/295.0	211.6
47	250.0/415.0	609.7
48	255.0/355.0	435.0
49	255.0/370.0	490.7
50	255.0/435.0	601.8
51	255.0/530.0	170.2
52	260.0/350.0	434.7
53	260.0/430.0	581.8
54	260.0/465.0	500.2
55	265.0/375.0	508.4
56	265.0/400.0	527.4
57	265.0/420.0	572.3
58	265.0/440.0	567.2
59	265.0/455.0	539.8
60	270.0/415.0	584.9
61	270.0/435.0	551.1
62	270.0/445.0	583.2
63	275.0/305.0	744.9
64	275.0/380.0	543.3
65	275.0/425.0	560.8
66	280.0/310.0	904.7
67	280.0/330.0	540.2
68	280.0/345.0	564.8
69	280.0/395.0	559.1
70	280.0/420.0	555.9
71	285.0/315.0	895.5
72	285.0/365.0	526.0
73	285.0/375.0	542.2
74	290.0/320.0	797.5
75	290.0/390.0	522.2
76	295.0/325.0	664.9
77	300.0/335.0	616.0
78	300.0/395.0	520.7
79	305.0/340.0	598.2
80	305.0/405.0	508.1
81	310.0/345.0	549.8
82	310.0/415.0	507.5
83	315.0/350.0	511.5
84	315.0/390.0	491.5
85	315.0/405.0	512.0
86	320.0/360.0	527.8
87	320.0/410.0	530.6
88	325.0/365.0	558.5
89	325.0/420.0	517.5
90	330.0/370.0	553.4
91	330.0/415.0	516.2
92	335.0/375.0	543.4
93	335.0/435.0	485.1
94	340.0/385.0	550.4
95	340.0/445.0	448.8
96	345.0/390.0	529.0
97	345.0/425.0	470.7
98	350.0/395.0	506.2
99	355.0/405.0	474.6
100	360.0/410.0	476.9
101	365.0/415.0	470.1
102	370.0/420.0	437.2
103	375.0/430.0	397.2
104	380.0/435.0	350.4
105	385.0/315.0	12.09
106	390.0/305.0	10.59
107	390.0/450.0	270.4
108	395.0/455.0	233.7
109	400.0/460.0	203.9
110	405.0/310.0	8.553
111	405.0/470.0	167.0
112	410.0/345.0	11.23
113	410.0/475.0	151.4
114	415.0/480.0	129.5
115	420.0/330.0	8.431
116	420.0/490.0	116.6
117	425.0/495.0	103.7
118	430.0/325.0	8.030
119	430.0/500.0	89.32
120	435.0/510.0	77.57
121	440.0/515.0	67.77
122	445.0/305.0	6.329
123	445.0/350.0	7.947
124	445.0/520.0	59.52

Data Points
	200.0	205.0	210.0	215.0	220.0	225.0	230.0	235.0	240.0	245.0	250.0	255.0	260.0	265.0	270.0	275.0	280.0	285.0	290.0	295.0	300.0	305.0	310.0	315.0	320.0	325.0	330.0	335.0	340.0	345.0	350.0	355.0	360.0	365.0	370.0	375.0	380.0	385.0	390.0	395.0	400.0	405.0	410.0	415.0	420.0	425.0	430.0	435.0	440.0	445.0	450.0
280.0	105.9	49.10	55.75	74.05	48.90	51.42	22.80	11.72	17.60	29.09	57.15	92.90	55.06	24.13	13.14	 2548	9999.9	 5166	142.3	25.64	21.83	21.25	15.66	12.93	15.34	14.28	13.99	8.568	6.018	7.603	7.942	7.771	9.221	5.597	7.246	8.934	5.592	5.209	4.886	5.104	4.078	3.764	2.449	3.348	3.054	2.388	3.125	2.948	2.361	2.619	2.279
285.0	308.4	151.1	181.1	122.6	192.4	199.1	113.5	57.16	54.36	87.46	98.60	126.3	184.9	133.7	42.99	207.3	 5426	9999.9	9999.9	980.6	37.15	29.57	25.41	22.03	14.36	15.23	12.30	9.991	7.926	9.870	8.306	9.029	8.025	8.345	7.368	7.489	6.128	5.993	4.794	5.923	6.497	3.579	3.405	2.061	3.449	3.558	3.792	3.321	2.606	2.573	2.393
290.0	508.9	360.9	273.5	359.5	366.9	347.6	274.0	137.1	113.8	94.03	175.2	157.6	207.6	311.9	169.7	101.9	415.7	9999.9	9999.9	9999.9	 1327	44.90	37.22	34.12	28.37	17.79	13.88	11.95	12.40	10.69	10.25	8.410	9.939	9.040	8.302	6.614	6.855	7.429	6.057	5.702	4.757	3.422	4.019	2.860	4.112	2.407	3.243	2.990	3.731	3.324	2.800
295.0	741.3	409.6	493.4	444.1	581.2	470.1	348.8	244.3	135.2	155.3	211.6	210.9	173.6	319.7	453.6	221.9	181.8	761.2	9999.9	9999.9	9999.9	 1638	64.07	43.39	35.92	31.52	23.36	16.08	14.31	14.65	12.62	13.01	10.15	9.809	10.83	7.931	8.104	7.091	8.096	6.632	6.059	5.313	6.180	5.256	4.567	4.409	3.526	4.703	4.490	3.316	3.694
300.0	666.9	589.4	555.1	561.9	505.3	656.3	409.5	275.1	168.0	168.6	201.2	194.6	209.4	237.5	506.1	612.1	257.7	216.2	786.0	9999.9	9999.9	9999.9	 1702	67.39	53.73	36.95	33.33	21.48	19.52	16.30	13.49	13.44	10.04	12.04	12.04	10.44	8.128	8.831	7.765	7.019	7.110	5.842	5.844	5.585	4.730	5.245	5.192	5.029	5.286	5.583	5.231
305.0	843.1	588.5	548.6	644.7	616.6	637.7	538.4	342.2	205.7	206.8	183.7	223.4	251.0	255.5	373.8	744.9	625.7	294.1	206.9	763.6	9999.9	9999.9	9999.9	 2020	75.56	56.40	48.20	36.32	24.99	20.77	14.89	17.84	11.24	12.26	13.37	10.27	9.110	9.608	10.59	7.653	7.156	6.411	6.084	6.293	6.167	5.549	4.870	4.400	5.308	6.329	5.703
310.0	732.3	620.3	648.4	607.8	595.6	642.7	531.9	404.2	243.0	224.3	236.0	251.4	239.8	282.5	358.5	465.6	904.7	520.0	234.2	169.5	771.0	9999.9	9999.9	9999.9	 2033	86.34	61.39	53.88	37.79	27.70	21.57	17.41	17.69	13.80	13.83	12.29	10.22	10.04	8.580	7.543	7.638	8.553	6.327	6.840	6.731	4.864	4.749	4.969	5.122	5.758	5.329
