Sample:	'SLABO1-5-5-320
File name:	2H1.FD3
Run Date:	16:37:44, 08/17/2022
Operator:	Administrator
Comment:	'

Instrument
Model:	F-7000 FL Spectrophotometer
Serial Number:	2354-007
ROM Version:	5J14000 06

Instrument Parameters
Measurement type:	3-D Scan
Data mode:	Fluorescence
EX  Start WL:	200.0 nm
EX  End WL:	450.0 nm
EX Sampling Interval:	5.0 nm
EM  Start WL:	280.0 nm
EM  End WL:	550.0 nm
EM Sampling Interval:	5.0 nm
Scan speed:	12000 nm/min
EX Slit:	5.0 nm
EM Slit:	5.0 nm
PMT Voltage:	700 V
Response:	Auto 
Corrected spectra:	Off
Shutter control:	On
Contour interval:	25.000

Peak integration
Integration method:	Rectangular
Sensitivity:	1
Threshold:	1.000

Peaks
No.	ApexEX/EM(nm)	Height(Data)
1	205.0/300.0	516.8
2	210.0/310.0	558.6
3	210.0/325.0	707.8
4	220.0/325.0	727.2
5	255.0/295.0	550.4
6	270.0/425.0	 3639
7	275.0/305.0	684.7
8	275.0/435.0	 3686
9	280.0/310.0	898.1
10	285.0/315.0	938.2
11	290.0/325.0	912.2
12	295.0/330.0	867.9
13	320.0/410.0	 3330
14	325.0/420.0	 3436
15	330.0/415.0	 3396
16	335.0/425.0	 3382
17	425.0/315.0	8.023
18	440.0/325.0	8.379

Data Points
	200.0	205.0	210.0	215.0	220.0	225.0	230.0	235.0	240.0	245.0	250.0	255.0	260.0	265.0	270.0	275.0	280.0	285.0	290.0	295.0	300.0	305.0	310.0	315.0	320.0	325.0	330.0	335.0	340.0	345.0	350.0	355.0	360.0	365.0	370.0	375.0	380.0	385.0	390.0	395.0	400.0	405.0	410.0	415.0	420.0	425.0	430.0	435.0	440.0	445.0	450.0
280.0	67.89	6.102	39.34	27.51	33.10	66.47	27.88	35.91	54.99	113.5	169.1	159.9	99.78	38.19	17.35	 2066	9999.9	 4041	100.4	21.88	24.94	25.47	15.69	15.64	16.17	14.96	13.05	10.46	9.975	10.40	11.44	7.276	10.70	9.734	7.140	9.248	6.197	6.739	6.222	5.144	4.621	3.958	3.280	2.793	2.825	3.273	2.800	3.108	2.281	2.224	2.370
285.0	176.3	161.3	133.4	106.0	141.7	147.3	101.8	86.83	126.9	264.2	434.2	372.0	308.7	130.1	67.66	171.7	 4922	9999.9	9999.9	731.2	44.28	29.96	29.40	23.63	15.49	17.93	13.35	14.85	12.14	12.17	10.77	11.86	10.12	9.415	8.648	9.084	7.829	7.430	7.183	5.846	4.832	5.217	4.037	4.528	3.375	3.664	3.217	2.823	2.344	3.414	2.077
290.0	220.5	235.9	166.4	155.2	261.2	254.4	157.1	128.0	189.5	386.4	541.3	509.2	380.3	309.7	167.0	115.4	401.7	9999.9	9999.9	9999.9	973.2	50.31	42.31	30.82	23.92	20.01	16.10	14.61	15.87	11.27	11.76	12.03	11.35	10.57	10.01	10.65	9.110	8.236	7.186	5.830	6.498	5.312	5.178	4.496	4.502	4.245	3.180	3.927	3.943	3.198	3.800
295.0	295.8	322.6	289.2	272.5	356.8	320.3	283.8	223.4	247.2	403.6	545.5	550.4	359.8	356.4	407.0	224.2	198.2	770.0	9999.9	9999.9	9999.9	 1233	59.41	45.27	34.81	29.17	21.46	19.25	20.58	16.15	13.91	14.37	12.66	10.90	11.16	10.94	11.03	8.409	9.561	8.554	6.426	5.832	5.895	5.885	4.783	4.345	4.454	4.054	3.964	3.315	3.760
300.0	428.5	516.8	481.6	389.0	428.2	495.2	390.0	309.4	258.1	352.7	471.6	476.0	342.0	303.9	493.3	496.0	297.8	257.8	803.3	9999.9	9999.9	9999.9	 1292	64.00	58.17	49.52	34.40	28.21	24.63	21.04	16.66	15.53	15.02	14.01	12.94	13.89	9.774	9.351	10.13	7.089	7.425	6.078	5.608	4.791	4.698	4.137	5.290	4.490	4.591	4.150	3.900
305.0	408.2	508.5	394.3	420.7	424.0	467.3	443.4	358.1	259.4	332.0	439.1	427.0	337.6	322.5	404.4	684.7	576.5	335.7	270.7	801.7	9999.9	9999.9	9999.9	 1539	88.96	69.46	48.59	42.24	32.08	22.52	19.78	19.36	15.56	16.07	13.64	13.03	10.50	10.47	10.31	9.091	9.157	7.903	6.752	7.395	5.993	4.970	5.906	4.445	5.647	5.292	5.579
310.0	516.7	515.1	558.6	423.4	515.4	593.1	543.4	360.2	329.2	360.6	356.5	389.5	376.9	398.4	423.2	551.6	898.1	603.5	313.4	254.4	805.3	9999.9	9999.9	9999.9	 1606	93.09	75.39	62.77	46.46	38.16	25.63	25.10	20.48	16.00	12.67	13.99	12.25	11.42	7.999	9.856	9.159	7.762	8.609	7.820	5.675	6.741	6.496	5.354	6.435	6.002	5.450
315.0	433.8	500.6	542.0	529.1	516.5	606.8	567.8	416.5	319.0	323.5	345.4	368.8	407.3	459.8	504.6	548.8	706.4	938.2	539.9	277.8	226.9	836.9	9999.9	9999.9	9999.9	 1443	107.0	85.61	59.67	49.05	32.97	28.69	24.45	16.82	16.08	15.98	12.57	14.21	10.11	9.614	8.946	9.938	7.077	7.321	7.002	8.023	7.812	7.443	5.817	7.079	5.725
320.0	605.8	523.2	505.6	553.3	619.9	652.8	598.6	507.9	368.2	357.2	410.9	388.8	471.3	501.8	559.0	666.6	737.8	869.3	850.6	436.1	246.0	250.3	833.0	9999.9	9999.9	9999.9	 1448	123.8	95.80	71.74	50.79	35.53	31.44	23.87	22.96	19.12	15.95	11.41	11.09	10.63	10.15	9.536	8.230	7.239	7.786	7.161	6.358	6.496	6.872	5.435	5.638
325.0	534.5	614.2	707.8	593.7	727.2	613.5	818.9	631.8	470.9	369.6	416.0	482.0	528.4	578.0	684.1	776.5	856.2	797.9	912.2	780.5	368.6	273.4	260.1	853.6	9999.9	9999.9	9999.9	 1627	133.2	101.8	71.68	57.81	41.81	31.15	24.55	21.46	17.07	14.49	14.22	13.29	11.32	10.66	9.152	7.972	6.914	6.627	7.772	6.572	8.379	5.973	5.618
330.0	435.4	585.2	563.7	614.2	701.7	911.4	746.7	719.8	561.7	458.8	514.8	543.9	551.1	633.5	725.1	928.0	971.4	871.9	828.4	867.9	725.4	361.7	297.7	286.3	864.0	9999.9	9999.9	9999.9	 1657	147.2	101.0	79.75	55.85	39.69	32.23	23.12	22.21	16.17	13.70	11.24	10.52	10.33	10.63	8.114	7.424	8.351	7.394	7.203	7.173	8.449	6.428
335.0	477.8	592.0	574.4	632.7	710.9	872.9	937.6	719.5	621.5	555.7	557.7	585.5	633.4	690.6	806.7	991.8	 1043	 1006	908.5	811.6	851.9	658.2	388.6	334.6	294.6	888.2	9999.9	9999.9	9999.9	 1752	152.0	112.5	80.98	59.73	42.18	32.25	28.39	20.75	14.25	15.55	10.81	12.75	10.59	8.341	9.401	8.628	8.439	8.240	6.867	6.350	7.529
340.0	523.8	654.4	512.6	684.1	775.9	919.2	 1008	909.1	686.0	599.8	619.2	662.7	650.0	806.6	922.2	 1035	 1157	 1107	 1054	871.6	792.1	895.7	628.7	445.7	367.7	346.3	902.2	9999.9	9999.9	9999.9	 2010	153.2	115.6	91.72	67.76	42.84	30.29	21.71	19.51	18.07	13.35	12.60	10.28	8.385	9.639	7.980	8.050	7.414	6.456	8.267	8.087
345.0	423.4	589.8	630.4	737.8	701.5	994.3	 1030	 1049	791.3	727.8	740.3	746.5	767.0	859.5	 1041	 1199	 1238	 1253	 1151	 1066	867.2	855.1	976.2	664.4	509.8	453.4	364.5	938.5	9999.9	9999.9	9999.9	 2251	168.9	116.6	86.62	66.04	45.18	28.39	25.08	19.26	15.80	12.23	10.68	12.03	8.829	9.443	9.348	8.154	7.312	7.897	9.048
350.0	603.8	579.3	664.6	744.7	858.0	 1022	 1028	 1053	907.3	871.4	902.5	869.3	826.8	978.8	 1230	 1276	 1383	 1355	 1327	 1172	 1036	942.9	 1042	 1058	774.4	590.9	494.7	447.4	988.3	9999.9	9999.9	9999.9	 2339	173.0	118.1	85.47	63.45	44.47	32.74	23.02	18.03	13.17	12.98	11.72	10.08	10.64	9.671	10.31	7.952	8.687	9.206
355.0	548.4	478.7	710.3	759.1	966.9	 1121	 1114	 1157	 1015	957.5	949.8	987.6	 1056	 1139	 1314	 1455	 1530	 1561	 1515	 1338	 1246	 1180	 1115	 1238	 1227	871.9	720.4	573.0	480.2	 1000	9999.9	9999.9	9999.9	 2601	176.4	115.9	85.16	65.28	39.56	28.51	21.10	16.81	13.51	13.30	11.39	9.810	8.439	10.05	8.770	8.742	8.325
360.0	586.1	575.8	592.2	878.6	920.0	 1176	 1214	 1223	 1188	 1175	 1126	 1119	 1273	 1371	 1473	 1590	 1729	 1677	 1666	 1493	 1423	 1371	 1336	 1356	 1477	 1251	975.7	804.7	644.1	541.3	 1027	9999.9	9999.9	9999.9	 2435	179.1	125.0	80.72	58.29	34.71	25.57	20.90	18.02	13.68	13.56	9.121	10.87	10.67	9.855	8.738	8.789
365.0	514.3	553.7	711.4	925.0	921.1	 1243	 1365	 1316	 1363	 1241	 1245	 1460	 1389	 1569	 1669	 1764	 1879	 1846	 1863	 1725	 1649	 1597	 1592	 1581	 1572	 1631	 1325	 1058	855.1	702.7	574.9	 1029	9999.9	9999.9	9999.9	 2763	176.0	119.5	74.04	54.84	36.73	26.39	21.62	17.33	13.29	11.86	10.14	9.534	8.786	10.97	8.615
370.0	694.9	547.4	838.9	937.1	 1156	 1306	 1414	 1537	 1427	 1454	 1444	 1507	 1620	 1714	 1871	 2011	 2068	 2097	 2045	 1903	 1865	 1815	 1853	 1874	 1815	 1774	 1763	 1399	 1131	923.3	709.0	589.6	 1043	9999.9	9999.9	9999.9	 2745	169.5	106.8	71.43	53.72	37.86	24.73	20.43	14.73	14.88	13.26	11.00	10.89	11.69	9.878
375.0	492.4	637.2	 1015	907.4	 1327	 1502	 1532	 1604	 1609	 1644	 1751	 1781	 1962	 1931	 2107	 2222	 2142	 2221	 2184	 2115	 2054	 2054	 2089	 2112	 2106	 1989	 1994	 1843	 1445	 1182	945.1	715.6	585.7	 1045	9999.9	9999.9	9999.9	 2907	156.7	104.9	66.55	52.31	36.51	24.07	20.23	18.11	13.34	12.59	10.94	9.983	9.708
380.0	491.7	694.0	816.6	 1013	 1216	 1428	 1816	 1863	 1809	 1919	 1957	 1953	 2091	 2130	 2318	 2374	 2355	 2372	 2296	 2289	 2267	 2292	 2376	 2352	 2323	 2261	 2152	 2096	 1836	 1447	 1202	945.8	719.3	560.3	 1031	9999.9	9999.9	9999.9	 2684	153.2	94.77	67.08	46.97	37.04	24.72	22.98	16.31	15.32	13.05	12.70	11.50
385.0	639.3	673.7	952.5	 1059	 1320	 1654	 1737	 1965	 2068	 2046	 2134	 2171	 2176	 2403	 2477	 2495	 2593	 2575	 2510	 2495	 2470	 2476	 2542	 2633	 2614	 2472	 2368	 2242	 2162	 1854	 1484	 1202	930.5	737.5	571.5	 1025	9999.9	9999.9	9999.9	 2716	145.0	93.87	60.94	46.14	30.83	26.15	20.95	17.53	13.91	12.44	13.18
390.0	626.5	816.2	 1069	 1381	 1453	 1633	 1939	 2071	 2311	 2437	 2331	 2375	 2443	 2665	 2744	 2777	 2858	 2716	 2664	 2644	 2622	 2661	 2707	 2781	 2779	 2721	 2646	 2499	 2310	 2219	 1850	 1464	 1158	929.5	720.8	565.8	 1019	9999.9	9999.9	9999.9	 2610	129.1	87.92	60.98	44.50	31.01	22.40	18.18	16.77	14.86	12.30
395.0	747.2	902.4	992.2	 1169	 1658	 2002	 2094	 2180	 2349	 2427	 2579	 2549	 2748	 2825	 2865	 2872	 2894	 2901	 2853	 2751	 2769	 2835	 2927	 3018	 3012	 2928	 2827	 2714	 2529	 2346	 2182	 1753	 1453	 1171	950.4	701.3	546.6	989.1	9999.9	9999.9	9999.9	 2695	120.9	83.85	57.79	42.57	30.53	23.20	21.44	16.55	14.01
400.0	574.3	936.3	 1181	 1352	 1591	 2072	 2217	 2360	 2341	 2576	 2704	 2732	 2821	 2942	 3053	 3155	 3071	 3037	 2919	 2883	 2854	 2955	 3025	 3118	 3157	 3105	 2997	 2873	 2718	 2548	 2336	 2151	 1780	 1427	 1160	899.7	644.3	518.7	976.8	9999.9	9999.9	9999.9	 2337	122.0	77.56	54.17	37.85	27.13	22.39	20.88	18.49
405.0	659.9	 1044	 1014	 1468	 1692	 2107	 2276	 2493	 2575	 2681	 2865	 2837	 3005	 3191	 3181	 3329	 3259	 3148	 3022	 3024	 2971	 3017	 3193	 3164	 3232	 3249	 3162	 3089	 2892	 2734	 2503	 2383	 2079	 1738	 1396	 1127	846.1	610.7	482.8	950.4	9999.9	9999.9	9999.9	 2100	101.8	73.30	56.85	39.13	25.97	20.94	20.01
410.0	556.4	781.4	970.4	 1426	 1840	 2038	 2287	 2392	 2784	 2779	 2948	 3012	 3235	 3227	 3309	 3405	 3326	 3295	 3152	 3057	 3057	 3091	 3201	 3274	 3330	 3314	 3262	 3202	 3067	 2918	 2674	 2507	 2316	 2021	 1686	 1345	 1036	771.0	564.3	439.8	905.7	9999.9	9999.9	9999.9	 1935	101.6	68.48	47.24	32.45	27.95	20.48
415.0	631.4	827.2	 1168	 1450	 1700	 2141	 2342	 2436	 2795	 2888	 2959	 3169	 3238	 3486	 3521	 3520	 3407	 3247	 3128	 3087	 3081	 3080	 3257	 3263	 3293	 3371	 3396	 3316	 3213	 3014	 2859	 2628	 2520	 2350	 1962	 1552	 1208	939.1	702.7	523.3	404.0	896.4	9999.9	9999.9	9999.9	 2034	100.3	59.58	45.64	34.94	28.87
420.0	736.9	906.0	 1013	 1431	 1896	 2206	 2412	 2512	 2731	 2920	 3079	 3172	 3399	 3473	 3627	 3618	 3471	 3246	 3225	 3044	 3060	 3102	 3191	 3274	 3362	 3436	 3351	 3358	 3222	 3128	 2972	 2811	 2637	 2456	 2188	 1725	 1409	 1089	839.6	610.4	454.0	368.3	880.7	9999.9	9999.9	9999.9	 1746	87.62	60.60	45.91	35.87
425.0	724.6	785.0	 1154	 1649	 1599	 2078	 2419	 2439	 2641	 2838	 2952	 3246	 3293	 3409	 3639	 3636	 3518	 3387	 3205	 3028	 3003	 3028	 3220	 3219	 3307	 3327	 3360	 3382	 3306	 3203	 3037	 2880	 2678	 2505	 2324	 2016	 1560	 1242	970.1	730.8	562.6	402.6	341.8	859.1	9999.9	9999.9	9999.9	 1522	89.68	59.50	41.67
430.0	753.4	762.8	 1305	 1441	 1811	 1897	 2291	 2643	 2722	 2853	 3043	 3238	 3363	 3463	 3635	 3591	 3569	 3375	 3150	 3001	 2918	 3018	 3070	 3163	 3263	 3314	 3310	 3298	 3287	 3226	 3082	 2943	 2803	 2620	 2429	 2124	 1758	 1376	 1095	840.2	648.1	486.4	366.5	317.8	837.9	9999.9	9999.9	9999.9	 1361	81.54	57.49
435.0	653.6	814.7	 1130	 1226	 1827	 1975	 2454	 2388	 2536	 2836	 3025	 3141	 3347	 3415	 3611	 3686	 3599	 3351	 3103	 2962	 2939	 2933	 3051	 3123	 3195	 3247	 3297	 3325	 3284	 3194	 3088	 2959	 2915	 2682	 2445	 2143	 1932	 1547	 1229	961.2	757.8	578.8	448.7	342.4	307.5	823.7	9999.9	9999.9	9999.9	 1342	77.60
440.0	659.1	793.0	 1197	 1344	 1720	 2146	 2210	 2360	 2543	 2862	 3094	 3051	 3308	 3462	 3600	 3593	 3588	 3374	 3102	 2939	 2886	 2856	 2972	 3017	 3143	 3120	 3165	 3200	 3230	 3139	 3041	 2975	 2798	 2705	 2503	 2203	 1970	 1690	 1323	 1071	842.9	657.5	526.7	409.7	316.1	287.4	828.6	9999.9	9999.9	9999.9	 1200
445.0	637.7	886.3	 1214	 1262	 1692	 1926	 2229	 2349	 2604	 2704	 2948	 3063	 3297	 3424	 3582	 3583	 3513	 3205	 2996	 2809	 2816	 2743	 2827	 2881	 2928	 3034	 3055	 3141	 3106	 3082	 2998	 2906	 2826	 2721	 2521	 2248	 1969	 1704	 1441	 1152	938.1	736.5	596.3	471.8	371.7	305.1	283.8	808.9	9999.9	9999.9	9999.9
450.0	545.8	720.7	 1123	 1288	 1557	 1886	 2054	 2302	 2448	 2633	 2876	 2950	 3146	 3210	 3469	 3574	 3377	 3172	 2865	 2773	 2650	 2628	 2705	 2822	 2843	 2946	 2952	 2990	 2998	 2950	 2909	 2825	 2764	 2665	 2487	 2227	 1978	 1710	 1487	 1249	984.1	800.1	646.4	532.5	418.6	342.6	277.3	263.8	810.1	9999.9	9999.9
455.0	590.7	706.7	 1026	 1236	 1378	 1915	 2020	 2136	 2294	 2525	 2556	 2833	 2939	 3185	 3378	 3474	 3318	 3053	 2827	 2634	 2495	 2502	 2578	 2598	 2656	 2729	 2776	 2796	 2830	 2815	 2785	 2675	 2640	 2586	 2412	 2189	 1921	 1698	 1461	 1292	 1071	843.8	709.4	592.4	479.4	393.4	317.0	264.7	246.2	799.2	9999.9
460.0	525.3	715.3	 1018	 1258	 1359	 1606	 1883	 2090	 2095	 2361	 2532	 2669	 2915	 3081	 3207	 3235	 3149	 2930	 2720	 2516	 2466	 2372	 2404	 2437	 2516	 2593	 2599	 2621	 2678	 2621	 2637	 2573	 2511	 2472	 2333	 2171	 1893	 1683	 1455	 1276	 1108	920.0	753.7	626.8	529.8	435.4	356.8	297.4	241.7	233.9	775.8
465.0	516.0	726.6	896.3	977.1	 1264	 1589	 1938	 1816	 2127	 2206	 2476	 2572	 2791	 2914	 3005	 3079	 3030	 2849	 2554	 2387	 2286	 2208	 2244	 2275	 2364	 2401	 2395	 2468	 2502	 2516	 2451	 2419	 2398	 2294	 2254	 2049	 1793	 1640	 1415	 1223	 1104	965.2	787.5	660.9	560.0	480.1	397.4	327.3	264.4	216.2	217.3
470.0	605.4	627.7	815.4	 1003	 1303	 1343	 1648	 1741	 1901	 2011	 2221	 2284	 2520	 2746	 2851	 2918	 2839	 2620	 2432	 2242	 2111	 2077	 2104	 2112	 2129	 2193	 2250	 2233	 2323	 2294	 2279	 2266	 2239	 2140	 2099	 1921	 1756	 1574	 1358	 1195	 1058	960.1	836.6	699.1	585.9	486.3	414.7	367.5	294.8	240.3	195.3
475.0	467.4	627.2	822.1	893.0	 1080	 1301	 1460	 1571	 1698	 1878	 2063	 2172	 2364	 2487	 2594	 2611	 2682	 2499	 2260	 2070	 1989	 1904	 1902	 1944	 1983	 2001	 2086	 2079	 2109	 2072	 2092	 2064	 2045	 2010	 1974	 1827	 1665	 1491	 1296	 1161	 1010	924.8	837.5	697.6	607.7	520.6	451.7	378.1	312.8	267.8	206.9
