Sample:	'SLABO1-5-5-320
File name:	3P3.FD3
Run Date:	16:03:39, 08/24/2022
Operator:	Administrator
Comment:	'

Instrument
Model:	F-7000 FL Spectrophotometer
Serial Number:	2354-007
ROM Version:	5J14000 06

Instrument Parameters
Measurement type:	3-D Scan
Data mode:	Fluorescence
EX  Start WL:	200.0 nm
EX  End WL:	450.0 nm
EX Sampling Interval:	5.0 nm
EM  Start WL:	280.0 nm
EM  End WL:	550.0 nm
EM Sampling Interval:	5.0 nm
Scan speed:	12000 nm/min
EX Slit:	5.0 nm
EM Slit:	5.0 nm
PMT Voltage:	700 V
Response:	Auto 
Corrected spectra:	Off
Shutter control:	On
Contour interval:	25.000

Peak integration
Integration method:	Rectangular
Sensitivity:	1
Threshold:	1.000

Peaks
No.	ApexEX/EM(nm)	Height(Data)
1	205.0/440.0	318.6
2	205.0/535.0	103.5
3	210.0/355.0	380.0
4	210.0/500.0	177.0
5	210.0/545.0	89.47
6	215.0/400.0	445.0
7	215.0/480.0	280.8
8	215.0/525.0	126.9
9	220.0/305.0	696.9
10	220.0/420.0	486.3
11	220.0/500.0	254.3
12	220.0/520.0	160.1
13	225.0/300.0	611.1
14	225.0/315.0	612.4
15	225.0/325.0	560.0
16	225.0/395.0	600.5
17	225.0/480.0	336.4
18	225.0/540.0	114.1
19	230.0/345.0	592.5
20	230.0/380.0	558.7
21	230.0/525.0	168.3
22	235.0/350.0	539.5
23	235.0/375.0	562.5
24	235.0/385.0	583.2
25	235.0/420.0	626.5
26	235.0/435.0	609.5
27	235.0/510.0	238.5
28	235.0/520.0	216.8
29	240.0/365.0	523.0
30	240.0/380.0	586.3
31	240.0/390.0	599.0
32	240.0/410.0	663.0
33	240.0/425.0	616.3
34	240.0/535.0	155.5
35	245.0/400.0	631.1
36	250.0/300.0	284.6
37	250.0/410.0	650.5
38	250.0/420.0	649.4
39	250.0/445.0	633.0
40	250.0/460.0	559.7
41	250.0/520.0	235.6
42	255.0/390.0	629.9
43	255.0/425.0	629.9
44	255.0/490.0	423.4
45	260.0/385.0	594.7
46	260.0/450.0	605.1
47	260.0/470.0	531.2
48	260.0/500.0	373.6
49	260.0/545.0	162.4
50	265.0/290.0	338.3
51	265.0/380.0	580.9
52	265.0/395.0	635.1
53	265.0/415.0	674.9
54	265.0/425.0	671.1
55	270.0/375.0	572.1
56	270.0/390.0	640.7
57	275.0/305.0	667.2
58	275.0/410.0	666.8
59	275.0/425.0	667.1
60	275.0/440.0	634.9
61	280.0/310.0	834.7
62	280.0/370.0	523.5
63	280.0/405.0	661.1
64	285.0/315.0	821.7
65	285.0/335.0	379.1
66	290.0/320.0	706.0
67	290.0/395.0	592.1
68	295.0/325.0	605.3
69	300.0/335.0	569.9
70	300.0/410.0	577.3
71	305.0/340.0	560.0
72	310.0/345.0	551.1
73	310.0/400.0	585.1
74	315.0/350.0	501.7
75	320.0/360.0	546.3
76	325.0/365.0	595.7
77	325.0/405.0	611.3
78	330.0/370.0	588.6
79	330.0/415.0	597.9
80	335.0/375.0	597.4
81	340.0/385.0	581.2
82	345.0/390.0	578.6
83	350.0/395.0	557.8
84	355.0/405.0	518.8
85	360.0/410.0	545.6
86	365.0/415.0	517.4
87	370.0/420.0	498.2
88	375.0/430.0	445.9
89	385.0/310.0	6.580
90	390.0/450.0	295.8
91	395.0/455.0	269.9
92	405.0/320.0	5.294
93	405.0/470.0	205.2
94	410.0/475.0	183.9
95	415.0/480.0	167.3
96	425.0/495.0	135.7
97	430.0/310.0	4.317
98	430.0/500.0	113.6
99	435.0/325.0	4.100
100	435.0/510.0	104.9
101	440.0/315.0	4.274
