Sample:	'SLABO1-5-5-320
File name:	3H6.FD3
Run Date:	17:08:22, 08/24/2022
Operator:	Administrator
Comment:	'

Instrument
Model:	F-7000 FL Spectrophotometer
Serial Number:	2354-007
ROM Version:	5J14000 06

Instrument Parameters
Measurement type:	3-D Scan
Data mode:	Fluorescence
EX  Start WL:	200.0 nm
EX  End WL:	450.0 nm
EX Sampling Interval:	5.0 nm
EM  Start WL:	280.0 nm
EM  End WL:	550.0 nm
EM Sampling Interval:	5.0 nm
Scan speed:	12000 nm/min
EX Slit:	5.0 nm
EM Slit:	5.0 nm
PMT Voltage:	700 V
Response:	Auto 
Corrected spectra:	Off
Shutter control:	On
Contour interval:	25.000

Peak integration
Integration method:	Rectangular
Sensitivity:	1
Threshold:	1.000

Peaks
No.	ApexEX/EM(nm)	Height(Data)
1	205.0/345.0	622.9
2	205.0/365.0	561.2
3	205.0/535.0	165.8
4	210.0/375.0	503.7
5	210.0/405.0	551.9
6	210.0/495.0	253.6
7	210.0/545.0	131.9
8	215.0/335.0	694.6
9	215.0/395.0	566.1
10	215.0/435.0	558.8
11	215.0/465.0	421.5
12	215.0/480.0	334.0
13	220.0/305.0	793.4
14	220.0/520.0	207.6
15	225.0/300.0	742.2
16	225.0/315.0	826.9
17	225.0/380.0	692.2
18	225.0/390.0	678.3
19	225.0/480.0	371.7
20	225.0/505.0	265.0
21	225.0/530.0	191.5
22	225.0/540.0	159.5
23	230.0/340.0	935.9
24	230.0/355.0	790.7
25	230.0/370.0	704.1
26	230.0/410.0	740.7
27	230.0/485.0	388.2
28	235.0/380.0	716.3
29	235.0/405.0	710.7
30	235.0/490.0	360.1
31	235.0/545.0	149.4
32	240.0/375.0	664.9
33	240.0/495.0	383.8
34	240.0/535.0	194.1
35	245.0/390.0	683.6
36	245.0/425.0	743.4
37	245.0/465.0	591.5
38	250.0/295.0	693.5
39	250.0/400.0	744.0
40	250.0/435.0	735.8
41	255.0/425.0	732.9
42	255.0/490.0	460.8
43	260.0/390.0	628.2
44	260.0/415.0	712.5
45	265.0/410.0	689.5
46	270.0/405.0	705.3
47	270.0/460.0	651.8
48	270.0/490.0	484.6
49	275.0/305.0	809.5
50	275.0/375.0	607.3
51	275.0/420.0	744.6
52	280.0/310.0	940.0
53	280.0/345.0	630.1
54	280.0/370.0	610.3
55	280.0/385.0	634.9
56	280.0/415.0	737.3
57	280.0/430.0	708.1
58	285.0/315.0	931.4
59	285.0/355.0	619.9
60	285.0/395.0	653.0
61	285.0/420.0	707.6
62	290.0/320.0	812.2
63	290.0/360.0	599.4
64	295.0/400.0	657.6
65	300.0/335.0	641.8
66	305.0/340.0	622.5
67	305.0/415.0	638.1
68	310.0/345.0	569.8
69	315.0/350.0	549.8
70	315.0/425.0	644.6
71	320.0/360.0	572.7
72	325.0/365.0	591.3
73	325.0/415.0	655.9
74	330.0/370.0	596.0
75	335.0/375.0	565.5
76	335.0/420.0	653.9
77	340.0/385.0	588.5
78	340.0/435.0	629.7
79	345.0/390.0	604.6
80	350.0/395.0	566.1
81	355.0/405.0	580.7
82	360.0/410.0	598.0
83	365.0/415.0	586.2
84	370.0/425.0	528.8
85	375.0/300.0	12.67
86	375.0/430.0	486.0
87	380.0/290.0	10.33
88	385.0/295.0	10.14
89	390.0/320.0	13.83
90	395.0/290.0	7.630
91	395.0/325.0	13.98
92	400.0/295.0	8.478
