Sample:	'SLABO1-5-5-320
File name:	3H5.FD3
Run Date:	17:04:14, 08/24/2022
Operator:	Administrator
Comment:	'

Instrument
Model:	F-7000 FL Spectrophotometer
Serial Number:	2354-007
ROM Version:	5J14000 06

Instrument Parameters
Measurement type:	3-D Scan
Data mode:	Fluorescence
EX  Start WL:	200.0 nm
EX  End WL:	450.0 nm
EX Sampling Interval:	5.0 nm
EM  Start WL:	280.0 nm
EM  End WL:	550.0 nm
EM Sampling Interval:	5.0 nm
Scan speed:	12000 nm/min
EX Slit:	5.0 nm
EM Slit:	5.0 nm
PMT Voltage:	700 V
Response:	Auto 
Corrected spectra:	Off
Shutter control:	On
Contour interval:	25.000

Peak integration
Integration method:	Rectangular
Sensitivity:	1
Threshold:	1.000

Peaks
No.	ApexEX/EM(nm)	Height(Data)
1	205.0/330.0	688.2
2	205.0/350.0	709.1
3	205.0/365.0	650.5
4	205.0/380.0	695.5
5	205.0/390.0	621.5
6	205.0/435.0	405.3
7	205.0/445.0	405.9
8	205.0/475.0	385.9
9	205.0/505.0	186.8
10	205.0/520.0	168.6
11	210.0/370.0	602.4
12	210.0/440.0	373.8
13	210.0/460.0	388.1
14	215.0/360.0	595.3
15	215.0/390.0	605.6
16	215.0/410.0	564.4
17	215.0/515.0	162.1
18	215.0/525.0	150.5
19	220.0/300.0	680.4
20	220.0/310.0	694.3
21	220.0/325.0	641.3
22	220.0/335.0	601.0
23	220.0/370.0	590.7
24	220.0/420.0	594.6
25	220.0/465.0	433.6
26	220.0/490.0	261.3
27	225.0/320.0	685.2
28	225.0/340.0	628.8
29	225.0/360.0	536.8
30	225.0/385.0	570.0
31	225.0/395.0	621.7
32	225.0/405.0	623.7
33	225.0/415.0	561.7
34	225.0/440.0	478.9
35	225.0/475.0	352.6
36	225.0/500.0	232.3
37	225.0/520.0	175.2
38	225.0/535.0	152.1
39	230.0/330.0	565.9
40	230.0/365.0	518.0
41	230.0/375.0	538.9
42	230.0/410.0	600.9
43	230.0/435.0	511.2
44	230.0/505.0	255.0
45	230.0/515.0	165.1
46	235.0/385.0	576.7
47	235.0/405.0	553.6
48	235.0/430.0	500.7
49	235.0/440.0	499.4
50	235.0/450.0	460.8
51	235.0/495.0	242.6
52	240.0/410.0	557.0
53	240.0/420.0	539.0
54	240.0/435.0	513.7
55	240.0/510.0	192.9
56	245.0/310.0	270.2
57	245.0/380.0	477.0
58	245.0/400.0	566.3
59	245.0/415.0	513.9
60	245.0/470.0	351.4
61	245.0/540.0	116.8
62	250.0/295.0	303.9
63	250.0/405.0	492.1
64	250.0/445.0	512.7
65	255.0/440.0	477.3
66	255.0/485.0	308.0
67	255.0/525.0	152.2
68	265.0/365.0	400.8
69	265.0/395.0	442.4
70	265.0/490.0	315.8
71	270.0/415.0	485.4
72	270.0/425.0	476.1
73	270.0/445.0	454.4
74	270.0/460.0	437.4
