Sample:	'SLABO1-5-5-320
File name:	2N10.FD3
Run Date:	14:53:30, 08/17/2022
Operator:	Administrator
Comment:	'

Instrument
Model:	F-7000 FL Spectrophotometer
Serial Number:	2354-007
ROM Version:	5J14000 06

Instrument Parameters
Measurement type:	3-D Scan
Data mode:	Fluorescence
EX  Start WL:	200.0 nm
EX  End WL:	450.0 nm
EX Sampling Interval:	5.0 nm
EM  Start WL:	280.0 nm
EM  End WL:	550.0 nm
EM Sampling Interval:	5.0 nm
Scan speed:	12000 nm/min
EX Slit:	5.0 nm
EM Slit:	5.0 nm
PMT Voltage:	700 V
Response:	Auto 
Corrected spectra:	Off
Shutter control:	On
Contour interval:	25.000

Peak integration
Integration method:	Rectangular
Sensitivity:	1
Threshold:	1.000

Peaks
No.	ApexEX/EM(nm)	Height(Data)
1	205.0/315.0	822.6
2	205.0/335.0	814.5
3	205.0/360.0	778.9
4	205.0/505.0	255.4
5	205.0/535.0	173.9
6	210.0/325.0	801.1
7	210.0/380.0	711.5
8	210.0/395.0	698.2
9	210.0/405.0	668.4
10	210.0/435.0	523.2
11	210.0/500.0	266.1
12	215.0/305.0	717.2
13	215.0/375.0	683.8
14	215.0/385.0	646.8
15	215.0/410.0	669.0
16	215.0/440.0	547.6
17	215.0/470.0	435.2
18	215.0/510.0	260.8
19	215.0/545.0	157.8
20	220.0/315.0	729.2
21	220.0/330.0	690.1
22	220.0/350.0	733.7
23	220.0/365.0	663.0
24	220.0/380.0	738.4
25	220.0/395.0	692.6
26	225.0/300.0	598.0
27	225.0/320.0	673.6
28	225.0/360.0	668.8
29	225.0/375.0	689.5
30	225.0/400.0	760.1
31	225.0/425.0	664.0
32	225.0/460.0	544.6
33	225.0/485.0	399.0
34	225.0/500.0	311.1
35	230.0/330.0	633.7
36	230.0/370.0	601.7
37	230.0/390.0	641.7
38	230.0/410.0	674.3
39	230.0/420.0	665.9
40	230.0/450.0	572.3
41	230.0/520.0	219.8
42	235.0/380.0	628.3
43	235.0/395.0	634.7
44	235.0/405.0	690.9
45	235.0/425.0	649.9
46	235.0/435.0	664.8
47	240.0/365.0	526.1
48	240.0/420.0	650.9
49	240.0/510.0	279.6
50	240.0/530.0	183.1
51	245.0/380.0	579.6
52	245.0/395.0	635.6
53	250.0/295.0	603.4
54	250.0/335.0	318.8
55	250.0/405.0	674.5
56	255.0/325.0	325.6
57	255.0/415.0	700.1
58	255.0/425.0	692.0
59	260.0/330.0	312.6
60	260.0/450.0	683.4
61	265.0/405.0	662.9
62	265.0/440.0	708.6
63	265.0/460.0	635.1
64	270.0/315.0	312.1
65	270.0/455.0	677.9
66	275.0/305.0	573.0
67	275.0/340.0	379.8
68	275.0/425.0	726.8
69	275.0/445.0	737.4
70	280.0/310.0	654.0
71	280.0/410.0	677.2
72	280.0/440.0	698.3
73	280.0/490.0	471.8
74	285.0/315.0	651.6
75	285.0/420.0	703.4
76	285.0/460.0	615.9
77	290.0/320.0	609.4
78	290.0/385.0	571.6
79	295.0/330.0	517.2
80	295.0/405.0	633.4
81	300.0/335.0	504.9
82	300.0/415.0	626.1
83	305.0/340.0	501.1
84	310.0/345.0	505.2
85	310.0/410.0	669.0
86	315.0/350.0	488.2
87	320.0/360.0	539.4
88	320.0/405.0	673.5
89	325.0/365.0	569.6
90	325.0/410.0	673.1
91	330.0/370.0	604.7
92	330.0/415.0	674.9
93	335.0/380.0	612.3
94	335.0/440.0	635.1
95	340.0/385.0	626.3
96	340.0/430.0	660.9
97	345.0/390.0	606.1
98	350.0/395.0	594.0
99	355.0/405.0	584.3
100	360.0/410.0	597.4
101	365.0/415.0	598.6
102	370.0/425.0	553.8
103	405.0/335.0	20.93
104	410.0/475.0	225.0
105	415.0/325.0	14.64
106	420.0/300.0	9.280
107	420.0/310.0	11.15
108	420.0/490.0	168.2
109	425.0/320.0	10.82
110	430.0/350.0	15.54
111	430.0/360.0	16.16
112	435.0/510.0	119.1
113	440.0/515.0	106.0
114	445.0/310.0	9.340
115	445.0/520.0	92.93

Data Points
	200.0	205.0	210.0	215.0	220.0	225.0	230.0	235.0	240.0	245.0	250.0	255.0	260.0	265.0	270.0	275.0	280.0	285.0	290.0	295.0	300.0	305.0	310.0	315.0	320.0	325.0	330.0	335.0	340.0	345.0	350.0	355.0	360.0	365.0	370.0	375.0	380.0	385.0	390.0	395.0	400.0	405.0	410.0	415.0	420.0	425.0	430.0	435.0	440.0	445.0	450.0
280.0	106.4	29.57	35.70	35.26	35.29	75.12	26.71	28.33	55.30	130.0	182.8	179.4	94.48	41.92	19.20	 4331	9999.9	 7337	169.0	40.42	38.38	33.67	28.49	26.70	21.82	21.47	19.78	19.64	16.57	15.83	15.84	15.81	16.35	13.50	12.59	10.98	9.881	8.885	9.167	7.774	5.975	6.183	5.689	4.022	4.103	3.812	4.018	4.525	3.883	3.418	3.118
285.0	295.6	219.9	109.5	224.0	211.0	182.3	89.55	83.20	130.3	296.1	431.1	400.5	320.0	131.6	71.24	314.6	 9775	9999.9	9999.9	 1209	61.94	58.32	51.06	38.05	29.42	25.39	21.84	22.80	19.34	18.29	16.27	14.85	16.64	14.80	15.40	13.59	11.23	9.570	8.917	8.765	7.285	6.628	6.269	5.461	5.318	3.875	4.233	4.139	4.524	4.119	3.195
